idx,year,journal,title,doi,url,pmid,note,bucket
17,2026,J Med Chem,(N)-Methanocarba Adenosine Derivatives as Dual Modulators of P-Glycoprotein and ABCG2 Transporters.,10.1021/acs.jmedchem.5c03705,https://doi.org/10.1021/acs.jmedchem.5c03705,41703909,原创双靶小分子(标题层面),jmc100_core
18,2026,J Med Chem,Discovery of Novel CBP/p300 and BRD4 Dual-Target PROTACs with Potent Antitumor Activity in Prostate Cancer.,10.1021/acs.jmedchem.5c03168,https://doi.org/10.1021/acs.jmedchem.5c03168,41650352,降解剂/PROTAC类,jmc100_core
19,2025,J Med Chem,Design and Optimization of LOXL2 and sGC Dual-Target Regulators Targeting Extracellular Matrix Dysregulation and Vasodilation for the Treatment of Pulmonary Arterial Hypertension.,10.1021/acs.jmedchem.5c03039,https://doi.org/10.1021/acs.jmedchem.5c03039,41389019,原创双靶小分子(标题层面),jmc100_core
20,2025,J Med Chem,Discovery of the First Potent PI3K/mTOR Dual-Targeting PROTAC Degrader for Efficient Modulation of the PI3K/AKT/mTOR Pathway.,10.1021/acs.jmedchem.5c02244,https://doi.org/10.1021/acs.jmedchem.5c02244,41332195,降解剂/PROTAC类,jmc100_core
21,2025,J Med Chem,Discovery of Novel and Highly Potent Wee1 and HDAC Dual-Target Inhibitors for the Treatment of Acute Myeloid Leukemia.,10.1021/acs.jmedchem.5c01789,https://doi.org/10.1021/acs.jmedchem.5c01789,41147365,原创双靶小分子(标题层面),jmc100_core
22,2025,J Med Chem,Discovery of Cdc20/Hsp90 Dual-Target Inhibitors with Potent Antitumor Activity for Therapy of Acquired Resistant Melanoma.,10.1021/acs.jmedchem.5c01444,https://doi.org/10.1021/acs.jmedchem.5c01444,41103026,原创双靶小分子(标题层面),jmc100_core
23,2025,J Med Chem,"Design, Synthesis, and Biological Evaluation of Quinoline-Based Hydroxamic Acid Derivatives as Dual DNMT and HDAC Inhibitors with Potent Anti-Breast Cancer Activity.",10.1021/acs.jmedchem.5c01092,https://doi.org/10.1021/acs.jmedchem.5c01092,40878672,原创双靶小分子(标题层面),jmc100_core
24,2025,J Med Chem,Structure-Based Discovery of Hsp90/HDAC6 Dual Inhibitors Targeting Aggressive Prostate Cancer.,10.1021/acs.jmedchem.5c00717,https://doi.org/10.1021/acs.jmedchem.5c00717,40699153,原创双靶小分子(标题层面),jmc100_core
25,2025,J Med Chem,Discovery of Diaryl Piperidone-Sulfonamide as a Novel Dual-Target Inhibitor of STAT3/CAIX Inducing Ferroptosis in Triple-Negative Breast Cancer Cells.,10.1021/acs.jmedchem.5c00126,https://doi.org/10.1021/acs.jmedchem.5c00126,40515697,原创双靶小分子(标题层面),jmc100_core
26,2025,J Med Chem,Discovery of BAY 3389934 Hydrochloride: A Potent and Selective Small-Molecule Dual Factor IIa/Xa Inhibitor with Short Half-Life for the Acute Treatment of Sepsis-Induced Coagulopathy.,10.1021/acs.jmedchem.5c00538,https://doi.org/10.1021/acs.jmedchem.5c00538,40498640,原创双靶小分子(标题层面),jmc100_core
27,2025,J Med Chem,Design and Synthesis of PARP/CDK6 Dual-Target Inhibitors Modulating of Wnt/β-Catenin Signaling Pathway for the Treatment of BRCA Wild-Type TNBC.,10.1021/acs.jmedchem.5c01058,https://doi.org/10.1021/acs.jmedchem.5c01058,40492684,原创双靶小分子(标题层面),jmc100_core
28,2025,J Med Chem,Rational Design of Novel Quinazolinone-Pyrrolodihydropyrrolone Analogs as PIM/HDAC Dual-Target Inhibitors for the Treatment of Acute Myelocytic Leukemia.,10.1021/acs.jmedchem.5c00040,https://doi.org/10.1021/acs.jmedchem.5c00040,40444519,原创双靶小分子(标题层面),jmc100_core
29,2025,J Med Chem,Identification of a RANKL/TNF-α Dual-Inhibitor as a Potential Disease-Modifying Agent for the Treatment of Knee Osteoarthritis.,10.1021/acs.jmedchem.5c00394,https://doi.org/10.1021/acs.jmedchem.5c00394,40358029,原创双靶小分子(标题层面),jmc100_core
30,2025,J Med Chem,Discovery of Potent PDEδ/NAMPT Dual Inhibitors: Preclinical Evaluation in KRAS Mutant Pancreatic Cancer Cells.,10.1021/acs.jmedchem.4c02636,https://doi.org/10.1021/acs.jmedchem.4c02636,40289347,原创双靶小分子(标题层面),jmc100_core
31,2025,J Med Chem,Toward Dual-Target Glycomimetics against Two Bacterial Lectins to Fight Pseudomonas aeruginosa-Burkholderia cenocepacia Infections: A Biophysical Study.,10.1021/acs.jmedchem.5c00405,https://doi.org/10.1021/acs.jmedchem.5c00405,40279549,原创双靶小分子(标题层面),jmc100_core
32,2025,J Med Chem,Structure-Based Design of New LSD1/EGFR(L858R/T790M) Dual Inhibitors for Treating EGFR Mutant NSCLC Cancers.,10.1021/acs.jmedchem.5c00267,https://doi.org/10.1021/acs.jmedchem.5c00267,40015914,原创双靶小分子(标题层面),jmc100_core
33,2025,J Med Chem,Discovery of Novel and Highly Potent Dual PD-L1/Histone Deacetylase 6 Inhibitors with Favorable Pharmacokinetics for Cancer Immunotherapy.,10.1021/acs.jmedchem.4c02510,https://doi.org/10.1021/acs.jmedchem.4c02510,39979078,原创双靶小分子(标题层面),jmc100_core
34,2025,J Med Chem,"Design, Synthesis, and Biological Evaluation of Novel Orally Available Covalent CDK12/13 Dual Inhibitors for the Treatment of Tumors.",10.1021/acs.jmedchem.4c01616,https://doi.org/10.1021/acs.jmedchem.4c01616,39948720,原创双靶小分子(标题层面),jmc100_core
35,2025,J Med Chem,"Design, Synthesis, and Activity Evaluation of Novel Bifenamide Dual-Target Antibacterial Inhibitors and Carrier Based on Infectious Microenvironment.",10.1021/acs.jmedchem.4c02913,https://doi.org/10.1021/acs.jmedchem.4c02913,39935372,原创双靶小分子(标题层面),jmc100_core
36,2025,J Med Chem,"Design, Synthesis, and Biological Evaluation of Thieno[3,2-d]pyrimidine Derivatives as the First Bifunctional PI3Kδ Isoform Selective/Bromodomain and Extra-Terminal Inhibitors.",10.1021/acs.jmedchem.4c02478,https://doi.org/10.1021/acs.jmedchem.4c02478,39853339,原创双靶小分子(标题层面),jmc100_core
37,2025,J Med Chem,Discovery of WDR5-MLL1 and HDAC Dual-Target Inhibitors for the Treatment of Acute Myeloid Leukemia.,10.1021/acs.jmedchem.4c01720,https://doi.org/10.1021/acs.jmedchem.4c01720,39804067,原创双靶小分子(标题层面),jmc100_core
38,2025,J Med Chem,"Discovery of FHD-286, a First-in-Class, Orally Bioavailable, Allosteric Dual Inhibitor of the Brahma Homologue (BRM) and Brahma-Related Gene 1 (BRG1) ATPase Activity for the Treatment of SWItch/Sucrose Non-Fermentable (SWI/SNF) Dependent Cancers.",10.1021/acs.jmedchem.4c02535,https://doi.org/10.1021/acs.jmedchem.4c02535,39801091,原创双靶小分子(标题层面),jmc100_core
39,2025,J Med Chem,Lanosterol 14α-Demethylase (CYP51)/Heat Shock Protein 90 (Hsp90) Dual Inhibitors for the Treatment of Invasive Candidiasis.,10.1021/acs.jmedchem.4c02305,https://doi.org/10.1021/acs.jmedchem.4c02305,39754582,原创双靶小分子(标题层面),jmc100_core
40,2025,J Med Chem,Novel PD-L1/VISTA Dual Inhibitor as Potential Immunotherapy Agents.,10.1021/acs.jmedchem.4c01640,https://doi.org/10.1021/acs.jmedchem.4c01640,39731560,原创双靶小分子(标题层面),jmc100_core
41,2025,J Med Chem,"Indolo[3,2-c]isoquinoline Hydroxamic Acid Derivatives as Novel Orally Topoisomerase-Histone Deacetylase Dual Inhibitors for NSCLC Therapy.",10.1021/acs.jmedchem.4c01859,https://doi.org/10.1021/acs.jmedchem.4c01859,39442082,原创双靶小分子(标题层面),jmc100_core
42,2024,J Med Chem,Discovery of Dual CDK6/BRD4 Inhibitor Inducing Apoptosis and Increasing the Sensitivity of Ferroptosis in Triple-Negative Breast Cancer.,10.1021/acs.jmedchem.4c01976,https://doi.org/10.1021/acs.jmedchem.4c01976,39575863,原创双靶小分子(标题层面),jmc100_core
43,2024,J Med Chem,Discovery of the First-in-Class Dual-Target ROCK/HDAC Inhibitor with Potent Antitumor Efficacy in Vivo That Trigger Antitumor Immunity.,10.1021/acs.jmedchem.4c02183,https://doi.org/10.1021/acs.jmedchem.4c02183,39523548,原创双靶小分子(标题层面),jmc100_core
44,2024,J Med Chem,Discovery of Novel 2-Aminopyridine-Based and 2-Aminopyrimidine-Based Derivatives as Potent CDK/HDAC Dual Inhibitors for the Treatment of Refractory Solid Tumors and Hematological Malignancies.,10.1021/acs.jmedchem.4c00837,https://doi.org/10.1021/acs.jmedchem.4c00837,39178382,原创双靶小分子(标题层面),jmc100_core
45,2024,J Med Chem,Discovery of a Potent and Orally Bioavailable Xanthine Oxidase/Urate Transporter 1 Dual Inhibitor as a Potential Treatment for Hyperuricemia and Gout.,10.1021/acs.jmedchem.4c01480,https://doi.org/10.1021/acs.jmedchem.4c01480,39108024,原创双靶小分子(标题层面),jmc100_core
46,2024,J Med Chem,"Discovery of Indolo[3,2-c]isoquinoline Derivatives as Novel Top1/2 Dual Inhibitors with Orally Efficacious Antitumor Activity and Low Toxicity.",10.1021/acs.jmedchem.4c00982,https://doi.org/10.1021/acs.jmedchem.4c00982,39106476,原创双靶小分子(标题层面),jmc100_core
47,2024,J Med Chem,Discovery and Optimization of Hsp110 and sGC Dual-Target Regulators for the Treatment of Pulmonary Arterial Hypertension.,10.1021/acs.jmedchem.4c01364,https://doi.org/10.1021/acs.jmedchem.4c01364,39058542,原创双靶小分子(标题层面),jmc100_core
48,2024,J Med Chem,Discovery of a Highly Potent Lysine Methyltransferases G9a/NSD2 Dual Inhibitor to Treat Solid Tumors.,10.1021/acs.jmedchem.4c00640,https://doi.org/10.1021/acs.jmedchem.4c00640,39008565,原创双靶小分子(标题层面),jmc100_core
49,2024,J Med Chem,"Design, Synthesis, and Activity Evaluation of Novel Benzazole Bifunctional Antifungal Inhibitors with an LDH Carrier.",10.1021/acs.jmedchem.4c01057,https://doi.org/10.1021/acs.jmedchem.4c01057,38888292,原创双靶小分子(标题层面),jmc100_core
50,2024,J Med Chem,Systematic Investigation of Dual-Target-Directed Ligands.,10.1021/acs.jmedchem.4c00838,https://doi.org/10.1021/acs.jmedchem.4c00838,38843874,原创双靶小分子(标题层面),jmc100_core
51,2024,J Med Chem,Discovery of Novel Small-Molecule-Based Potential PD-L1/EGFR Dual Inhibitors with High Druggability for Glioblastoma Immunotherapy.,10.1021/acs.jmedchem.4c00128,https://doi.org/10.1021/acs.jmedchem.4c00128,38739112,原创双靶小分子(标题层面),jmc100_core
52,2024,J Med Chem,Construction and Activity Evaluation of Novel Bifunctional Inhibitors and a COF Carrier Based on a Fungal Infection Microenvironment.,10.1021/acs.jmedchem.4c00710,https://doi.org/10.1021/acs.jmedchem.4c00710,38718180,原创双靶小分子(标题层面),jmc100_core
53,2024,J Med Chem,"Discovery and Mechanistic Studies of Dual-Target Hits for Carbonic Anhydrase IX and VEGFR-2 as Potential Agents for Solid Tumors: X-ray, In Vitro, In Vivo, and In Silico Investigations of Coumarin-Based Thiazoles.",10.1021/acs.jmedchem.4c00239,https://doi.org/10.1021/acs.jmedchem.4c00239,38642371,原创双靶小分子(标题层面),jmc100_core
54,2024,J Med Chem,Discovery of a Novel Thienopyrimidine Compound as a Urate Transporter 1 and Glucose Transporter 9 Dual Inhibitor with Improved Efficacy and Favorable Druggability.,10.1021/acs.jmedchem.4c00136,https://doi.org/10.1021/acs.jmedchem.4c00136,38482820,原创双靶小分子(标题层面),jmc100_core
55,2024,J Med Chem,Rational Design of PARP1/c-Met Dual Inhibitors for Overcoming PARP1 Inhibitor Resistance Induced by c-Met Overexpression.,10.1021/acs.jmedchem.4c00077,https://doi.org/10.1021/acs.jmedchem.4c00077,38477575,原创双靶小分子(标题层面),jmc100_core
56,2024,J Med Chem,"Design, Synthesis, and Structure-Activity Relationship of Novel Pyridazinone-Based PARP7/HDACs Dual Inhibitors for Elucidating the Relationship between Antitumor Immunity and HDACs Inhibition.",10.1021/acs.jmedchem.4c00090,https://doi.org/10.1021/acs.jmedchem.4c00090,38456618,原创双靶小分子(标题层面),jmc100_core
57,2024,J Med Chem,Design and Synthesis of Dual-Target Inhibitors Targeting Androgen Receptors and Glucocorticoid Receptors to Overcome Antiandrogen Resistance in Castration-Resistant Prostate Cancer.,10.1021/acs.jmedchem.3c01668,https://doi.org/10.1021/acs.jmedchem.3c01668,38385428,原创双靶小分子(标题层面),jmc100_core
58,2024,J Med Chem,Glycan-Modified Peptides for Dual Inhibition of Human Immunodeficiency Virus Entry into Dendritic Cells and T Cells.,10.1021/acs.jmedchem.4c00116,https://doi.org/10.1021/acs.jmedchem.4c00116,38364308,原创双靶小分子(标题层面),jmc100_core
59,2024,J Med Chem,"Design, Synthesis, and Biological Evaluation of Dual Inhibitors of EGFR(L858R/T790M)/ACK1 to Overcome Osimertinib Resistance in Nonsmall Cell Lung Cancers.",10.1021/acs.jmedchem.3c01934,https://doi.org/10.1021/acs.jmedchem.3c01934,38323982,原创双靶小分子(标题层面),jmc100_core
60,2024,J Med Chem,First-in-Class Dual EZH2-HSP90 Inhibitor Eliciting Striking Antiglioblastoma Activity In Vitro and In Vivo.,10.1021/acs.jmedchem.3c02053,https://doi.org/10.1021/acs.jmedchem.3c02053,38285511,原创双靶小分子(标题层面),jmc100_core
61,2023,J Med Chem,"Discovery of a Dual Tubulin and Neuropilin-1 (NRP1) Inhibitor with Potent In Vivo Anti-Tumor Activity via Pharmacophore-based Docking Screening, Structure Optimization, and Biological Evaluation.",10.1021/acs.jmedchem.3c01572,https://doi.org/10.1021/acs.jmedchem.3c01572,38093696,原创双靶小分子(标题层面),jmc100_core
62,2023,J Med Chem,Construction and Evaluation of Novel Dual-function Antifungal Inhibitors and Covalent Organic Framework Carriers Based on the Infection Microenvironment.,10.1021/acs.jmedchem.3c01372,https://doi.org/10.1021/acs.jmedchem.3c01372,37752076,原创双靶小分子(标题层面),jmc100_core
63,2023,J Med Chem,"Design, Synthesis, and Activity Evaluation of Novel Dual-Target Inhibitors with Antifungal and Immunoregulatory Properties.",10.1021/acs.jmedchem.3c00942,https://doi.org/10.1021/acs.jmedchem.3c00942,37705322,原创双靶小分子(标题层面),jmc100_core
64,2023,J Med Chem,Identification of Novel Dual-Target Estrogen Receptor α Degraders with Tubulin Inhibitory Activity for the Treatment of Endocrine-Resistant Breast Cancer.,10.1021/acs.jmedchem.3c00465,https://doi.org/10.1021/acs.jmedchem.3c00465,37584263,降解剂/PROTAC类,jmc100_core
65,2023,J Med Chem,Pharmacological and Physicochemical Properties Optimization for Dual-Target Dopamine D(3) (D(3)R) and μ-Opioid (MOR) Receptor Ligands as Potentially Safer Analgesics.,10.1021/acs.jmedchem.3c00417,https://doi.org/10.1021/acs.jmedchem.3c00417,37467430,原创双靶小分子(标题层面),jmc100_core
66,2023,J Med Chem,Discovery of the First-in-Class Intestinal Restricted FXR and FABP1 Dual Modulator ZLY28 for the Treatment of Nonalcoholic Fatty Liver Disease.,10.1021/acs.jmedchem.2c01918,https://doi.org/10.1021/acs.jmedchem.2c01918,37079895,原创双靶小分子(标题层面),jmc100_core
67,2023,J Med Chem,"Imidazo[1,2-a]Pyridine Derivatives as Novel Dual-Target Inhibitors of ABCB1 and ABCG2 for Reversing Multidrug Resistance.",10.1021/acs.jmedchem.2c01862,https://doi.org/10.1021/acs.jmedchem.2c01862,36780419,原创双靶小分子(标题层面),jmc100_core
68,2022,J Med Chem,Discovery of Potent OTUB1/USP8 Dual Inhibitors Targeting Proteostasis in Non-Small-Cell Lung Cancer.,10.1021/acs.jmedchem.2c00408,https://doi.org/10.1021/acs.jmedchem.2c00408,36221183,原创双靶小分子(标题层面),jmc100_core
69,2022,J Med Chem,Development of MAO-A and 5-HT(2A)R Dual Inhibitors with Improved Antidepressant Activity.,10.1021/acs.jmedchem.2c01271,https://doi.org/10.1021/acs.jmedchem.2c01271,36173886,原创双靶小分子(标题层面),jmc100_core
70,2022,J Med Chem,Discovery of Novel Src Homology-2 Domain-Containing Phosphatase 2 and Histone Deacetylase Dual Inhibitors with Potent Antitumor Efficacy and Enhanced Antitumor Immunity.,10.1021/acs.jmedchem.2c00866,https://doi.org/10.1021/acs.jmedchem.2c00866,36097406,原创双靶小分子(标题层面),jmc100_core
71,2022,J Med Chem,"Design, Synthesis, and Biological Evaluation of Dual-Target COX-2/CYP51 Inhibitors for the Treatment of Fungal Infectious Diseases.",10.1021/acs.jmedchem.2c00878,https://doi.org/10.1021/acs.jmedchem.2c00878,36074863,原创双靶小分子(标题层面),jmc100_core
72,2022,J Med Chem,"Discovery, Optimization, and Evaluation of Potent and Selective PI3Kδ-γ Dual Inhibitors for the Treatment of B-cell Malignancies.",10.1021/acs.jmedchem.2c00568,https://doi.org/10.1021/acs.jmedchem.2c00568,35831917,原创双靶小分子(标题层面),jmc100_core
73,2022,J Med Chem,Discovery of a Novel Src Homology-2 Domain Containing Protein Tyrosine Phosphatase-2 (SHP2) and Cyclin-Dependent Kinase 4 (CDK4) Dual Inhibitor for the Treatment of Triple-Negative Breast Cancer.,10.1021/acs.jmedchem.2c00063,https://doi.org/10.1021/acs.jmedchem.2c00063,35447031,原创双靶小分子(标题层面),jmc100_core
74,2022,J Med Chem,Development of Dual Inhibitors Targeting Epidermal Growth Factor Receptor in Cancer Therapy.,10.1021/acs.jmedchem.1c01714,https://doi.org/10.1021/acs.jmedchem.1c01714,35311289,原创双靶小分子(标题层面),jmc100_core
75,2022,J Med Chem,Discovery and In Vivo Proof of Concept of a Highly Potent Dual Inhibitor of Soluble Epoxide Hydrolase and Acetylcholinesterase for the Treatment of Alzheimer's Disease.,10.1021/acs.jmedchem.1c02150,https://doi.org/10.1021/acs.jmedchem.1c02150,35271276,原创双靶小分子(标题层面),jmc100_core
76,2021,J Med Chem,Discovery of Novel Dual-Target Inhibitor of Bromodomain-Containing Protein 4/Casein Kinase 2 Inducing Apoptosis and Autophagy-Associated Cell Death for Triple-Negative Breast Cancer Therapy.,10.1021/acs.jmedchem.1c01382,https://doi.org/10.1021/acs.jmedchem.1c01382,34908415,原创双靶小分子(标题层面),jmc100_core
77,2021,J Med Chem,"Identification of Clinical Candidate M2698, a Dual p70S6K and Akt Inhibitor, for Treatment of PAM Pathway-Altered Cancers.",10.1021/acs.jmedchem.1c01087,https://doi.org/10.1021/acs.jmedchem.1c01087,34596404,原创双靶小分子(标题层面),jmc100_core
78,2021,J Med Chem,Systematic Optimization of Potent and Orally Bioavailable Purine Scaffold as a Dual Inhibitor of Toll-Like Receptors 7 and 9.,10.1021/acs.jmedchem.1c00532,https://doi.org/10.1021/acs.jmedchem.1c00532,34142551,原创双靶小分子(标题层面),jmc100_core
79,2021,J Med Chem,Recent Progress on Tubulin Inhibitors with Dual Targeting Capabilities for Cancer Therapy.,10.1021/acs.jmedchem.1c00100,https://doi.org/10.1021/acs.jmedchem.1c00100,34101463,原创双靶小分子(标题层面),jmc100_core
80,2021,J Med Chem,Efficient Synthesis and Bioevaluation of Novel Dual Tubulin/Histone Deacetylase 3 Inhibitors as Potential Anticancer Agents.,10.1021/acs.jmedchem.1c00413,https://doi.org/10.1021/acs.jmedchem.1c00413,34097389,原创双靶小分子(标题层面),jmc100_core
81,2021,J Med Chem,"Design, Synthesis, and Bioactivity Evaluation of Dual-Target Inhibitors of Tubulin and Src Kinase Guided by Crystal Structure.",10.1021/acs.jmedchem.0c01961,https://doi.org/10.1021/acs.jmedchem.0c01961,34081857,原创双靶小分子(标题层面),jmc100_core
82,2021,J Med Chem,Discovery of STAT3 and Histone Deacetylase (HDAC) Dual-Pathway Inhibitors for the Treatment of Solid Cancer.,10.1021/acs.jmedchem.1c00136,https://doi.org/10.1021/acs.jmedchem.1c00136,34043359,原创双靶小分子(标题层面),jmc100_core
83,2021,J Med Chem,Novel Dual-Target μ-Opioid Receptor and Dopamine D(3) Receptor Ligands as Potential Nonaddictive Pharmacotherapeutics for Pain Management.,10.1021/acs.jmedchem.1c00611,https://doi.org/10.1021/acs.jmedchem.1c00611,34011153,原创双靶小分子(标题层面),jmc100_core
84,2021,J Med Chem,Discovery of a Potent Dual Inhibitor of Acetylcholinesterase and Butyrylcholinesterase with Antioxidant Activity that Alleviates Alzheimer-like Pathology in Old APP/PS1 Mice.,10.1021/acs.jmedchem.0c01775,https://doi.org/10.1021/acs.jmedchem.0c01775,33356266,原创双靶小分子(标题层面),jmc100_core
85,2020,J Med Chem,Switching a Xanthine Oxidase Inhibitor to a Dual-Target Antagonist of P2Y(1) and P2Y(12) as an Oral Antiplatelet Agent with a Wider Therapeutic Window in Rats than Ticagrelor.,10.1021/acs.jmedchem.0c01524,https://doi.org/10.1021/acs.jmedchem.0c01524,33307675,原创双靶小分子(标题层面),jmc100_core
86,2020,J Med Chem,MicroRNA-Based Multitarget Approach for Alzheimer's Disease: Discovery of the First-In-Class Dual Inhibitor of Acetylcholinesterase and MicroRNA-15b Biogenesis.,10.1021/acs.jmedchem.0c00756,https://doi.org/10.1021/acs.jmedchem.0c00756,32787143,原创双靶小分子(标题层面),jmc100_core
87,2020,J Med Chem,Chemoreactive-Inspired Discovery of Influenza A Virus Dual Inhibitor to Block Hemagglutinin-Mediated Adsorption and Membrane Fusion.,10.1021/acs.jmedchem.0c00312,https://doi.org/10.1021/acs.jmedchem.0c00312,32520560,原创双靶小分子(标题层面),jmc100_core
88,2020,J Med Chem,Molecular Basis for Omapatrilat and Sampatrilat Binding to Neprilysin-Implications for Dual Inhibitor Design with Angiotensin-Converting Enzyme.,10.1021/acs.jmedchem.0c00441,https://doi.org/10.1021/acs.jmedchem.0c00441,32337993,原创双靶小分子(标题层面),jmc100_core
89,2020,J Med Chem,Discovery of a Novel Dual-Target Inhibitor of ERK1 and ERK5 That Induces Regulated Cell Death to Overcome Compensatory Mechanism in Specific Tumor Types.,10.1021/acs.jmedchem.9b01896,https://doi.org/10.1021/acs.jmedchem.9b01896,32078308,原创双靶小分子(标题层面),jmc100_core
90,2020,J Med Chem,"Design, Synthesis, and Biological Evaluation of Imidazo[1,2-a]pyridine Derivatives as Novel PI3K/mTOR Dual Inhibitors.",10.1021/acs.jmedchem.9b01736,https://doi.org/10.1021/acs.jmedchem.9b01736,32069401,原创双靶小分子(标题层面),jmc100_core
91,2026,J Med Chem,Polypharmacological Targeting of G2019S Mutant LRRK2 and JNK3 for the Discovery of a Lead Compound against Parkinson's Disease.,10.1021/acs.jmedchem.6c01439,https://doi.org/10.1021/acs.jmedchem.6c01439,42329175,原创双靶小分子(标题层面),jmc100_core
92,2026,J Med Chem,Development of Novel Estradiol-Indole Hybrids Targeting SERT and ERβ as Potential Antidepressants.,10.1021/acs.jmedchem.6c00446,https://doi.org/10.1021/acs.jmedchem.6c00446,42154662,原创双靶小分子(标题层面),jmc100_core
93,2026,J Med Chem,"Structural Modification of Tranilast against Poxvirus Based on α, β-Unsaturated Acrylamide Covalent Warhead and Confirmation of the Targets and Mode of Action.",10.1021/acs.jmedchem.6c00193,https://doi.org/10.1021/acs.jmedchem.6c00193,42062233,原创双靶小分子(标题层面),jmc100_core
