id,smiles,core_smiles,max_tc_core,max_tc_full,erg_max,hinge_hits,nearest_anchor_core,mw,clogp,sa,reactivity_bucket,parent_source,stratum,pains_flag,nearest_erg,murcko,review_note,keep
CHEMBL2431066_ACR0,C=CC(=O)N(Cc1cncs1)[C@@H](Cc1ccccc1)C(=O)Nc1cc(-c2ccncc2)c[nH]c1=O,O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)[C@H](Cc1ccccc1)NCc1cncs1,0.1789,0.1881,0.7918,1,JNK-IN-8,485.57,3.66,3.372,ok,chembl,erg_median15,0,56d,O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)[C@H](Cc1ccccc1)NCc1cncs1,4-pyridyl-pyridone hinge; peptidic linker but ATP-plausible,yes
CHEMBL1859745_ACR0,C=CC(=O)N(CC1CCCCC1)/C(=N\O)c1ccc(Oc2ccc(-n3ccnc3)cc2)nc1,O/N=C(\NCC1CCCCC1)c1ccc(Oc2ccc(-n3ccnc3)cc2)nc1,0.1442,0.1736,0.7918,1,YL2056,445.52,4.79,3.012,ok,chembl,erg_median15,0,YL5084,N=C(NCC1CCCCC1)c1ccc(Oc2ccc(-n3ccnc3)cc2)nc1,N-hydroxyamidine/amidoxime liability; chelator/PAINS-adjacent,no
CHEMBL3893895_ACR0,C=CC(=O)N[C@@H](C)C(=O)Nc1ccc2c(n1)OC(CC)(CC)C(=O)N2c1ccc(Cl)cc1,CCC1(CC)Oc2nc(NC(=O)[C@H](C)N)ccc2N(c2ccc(Cl)cc2)C1=O,0.1489,0.1919,0.7918,1,56d,456.93,3.98,3.434,ok,chembl,erg_median15,0,JNK-IN-8,O=C1COc2ncccc2N1c1ccccc1,pyridobenzoxazinone; hinge-like bicycle; Ala-acrylamide acceptable,yes
CHEMBL1643859_ACR0,C=CC(=O)N1CCc2nc3ccnn3c(N3CC(Oc4ccc5c(c4)CC(=O)N5)C3)c2CC1,O=C1Cc2cc(OC3CN(c4c5c(nc6ccnn46)CCNCC5)C3)ccc2N1,0.1193,0.1417,0.7917,0,YL2056,444.5,1.6,3.129,ok,chembl,erg_median15,0,YL5084,O=C1Cc2cc(OC3CN(c4c5c(nc6ccnn46)CCNCC5)C3)ccc2N1,polycyclic fused heteroaryl; possible but crowded/complex,unsure
CHEMBL1425408_ACR0,C=CC(=O)NC1=C(C#N)C(c2ccccc2)c2c(CSc3nc(C)cc(C#N)c3C)n[nH]c2O1,Cc1cc(C#N)c(C)c(SCc2n[nH]c3c2C(c2ccccc2)C(C#N)=C(N)O3)n1,0.12,0.2095,0.7916,1,56d,468.54,4.15,3.968,ok,chembl,erg_median15,0,JNK-IN-8,C1=CC(c2ccccc2)c2c(CSc3ccccn3)n[nH]c2O1,MCR-like poly-CN thioether junk; not credible kinase binder,no
CHEMBL3656522_ACR0,C=CC(=O)NC1=N[C@@H](CCc2ccc(Nc3ncc(CCC)cn3)cc2)CO1,CCCc1cnc(Nc2ccc(CC[C@H]3COC(N)=N3)cc2)nc1,0.1905,0.2222,0.7916,0,JNK-IN-8,379.46,3.16,3.325,ok,chembl,erg_median15,0,JNK-IN-8,C1=N[C@@H](CCc2ccc(Nc3ncccn3)cc2)CO1,anilinopyrimidine hinge; warhead on amino-oxazoline exo-N,yes
CHEMBL3656510_ACR0,C=CC(=O)NC1=N[C@@H](CCc2ccc(Nc3ncc(CC)cn3)cc2)CO1,CCc1cnc(Nc2ccc(CC[C@H]3COC(N)=N3)cc2)nc1,0.1928,0.2333,0.7916,0,JNK-IN-8,365.44,2.77,3.321,ok,chembl,erg_median15,0,JNK-IN-8,C1=N[C@@H](CCc2ccc(Nc3ncccn3)cc2)CO1,ethyl analog of 3656522; same keep,yes
CHEMBL1808574_ACR0,C=CC(=O)N(CC)Cc1cncc(-c2ccc3[nH]nc(-c4nc5cc(Cl)c(C)cc5[nH]4)c3c2)c1C,CCNCc1cncc(-c2ccc3[nH]nc(-c4nc5cc(Cl)c(C)cc5[nH]4)c3c2)c1C,0.1386,0.1624,0.7913,2,JNK-IN-8,484.99,5.97,3.094,ok,chembl,erg_median15,0,56d,c1cncc(-c2ccc3[nH]nc(-c4nc5ccccc5[nH]4)c3c2)c1,benzimidazole–indazole–pyridine polyheteroaryl; strong kinase look,yes
CHEMBL557776_ACR0,C=CC(=O)N[C@@H](CC(=O)N1CCCN1C(=O)Nc1ccccc1)Cc1cc(F)c(F)cc1F,N[C@@H](CC(=O)N1CCCN1C(=O)Nc1ccccc1)Cc1cc(F)c(F)cc1F,0.1724,0.2174,0.791,0,56d,460.46,3.39,3.255,ok,chembl,erg_median15,0,56d,O=C(CCCc1ccccc1)N1CCCN1C(=O)Nc1ccccc1,pyrazolidine-urea peptidomimetic; no ATP hinge,no
CHEMBL1779691_ACR0,C=CC(=O)N[C@@H](CC(=O)N1CCN(Cn2nnc3ccccc32)C(=O)C1)Cc1cc(F)c(F)cc1F,N[C@@H](CC(=O)N1CCN(Cn2nnc3ccccc32)C(=O)C1)Cc1cc(F)c(F)cc1F,0.1619,0.1694,0.791,0,YL2056,500.48,1.78,3.388,ok,chembl,erg_median15,0,YL5084,O=C(CCCc1ccccc1)N1CCN(Cn2nnc3ccccc32)C(=O)C1,peptidic piperazinone + benzotriazole; no ATP hinge,no
CHEMBL3959236_ACR0,C=CC(=O)NCCc1cn(C(=O)c2ccc(NC(=O)N3Cc4ccncc4C3)cc2)cn1,NCCc1cn(C(=O)c2ccc(NC(=O)N3Cc4ccncc4C3)cc2)cn1,0.2135,0.2165,0.7907,1,JNK-IN-8,430.47,2.36,2.84,ok,chembl,erg_median15,0,JNK-IN-8,O=C(Nc1ccc(C(=O)n2ccnc2)cc1)N1Cc2ccncc2C1,isoindoline-pyridine urea; kinase-adjacent; ethyl-imidazole acrylamide OK,yes
CHEMBL2311929_ACR0,C=CC(=O)N[C@H](C(=O)NS(=O)(=O)c1cccc(-c2ccc3[nH]nc(Cl)c3c2)c1)[C@@H](C)O,C[C@@H](O)[C@H](N)C(=O)NS(=O)(=O)c1cccc(-c2ccc3[nH]nc(Cl)c3c2)c1,0.1648,0.1959,0.7905,0,JNK-IN-8,462.92,1.74,3.464,ok,chembl,erg_median15,0,56d,c1ccc(-c2ccc3[nH]ncc3c2)cc1,acylsulfonamide + indazole; acidic headgroup / non-ATP-like,no
CHEMBL235201_ACR0,C=CC(=O)N[C@H]1CN(c2cc(-c3ccc(OC)cc3)ncn2)C[C@@H]1c1ccccc1,COc1ccc(-c2cc(N3C[C@H](c4ccccc4)[C@@H](N)C3)ncn2)cc1,0.1684,0.193,0.7904,0,YL5084,400.48,3.43,3.165,ok,chembl,erg_median15,0,YL5084,c1ccc(-c2cc(N3CC[C@@H](c4ccccc4)C3)ncn2)cc1,4-aminopyrimidine + diaryl pyrrolidine; classic kinase; warhead on pyrrolidine N,yes
CHEMBL535559_ACR0,C=CC(=O)N(CCCCCC)C(=N)c1ccc2[nH]c(-c3ccc(O)cc3)nc2c1,CCCCCCNC(=N)c1ccc2[nH]c(-c3ccc(O)cc3)nc2c1,0.1209,0.1633,0.7903,1,56d,390.49,4.86,2.786,ok,chembl,erg_median15,0,56d,c1ccc(-c2nc3ccccc3[nH]2)cc1,benzimidazole OK but amidine + long hexyl; promiscuity risk,unsure
CHEMBL236492_ACR0,C=CC(=O)NCc1ccc2c(c1)nc(Cn1c(=O)cc(OC)c3ccccc31)n2CCCCF,COc1cc(=O)n(Cc2nc3cc(CN)ccc3n2CCCCF)c2ccccc12,0.1458,0.2323,0.7902,2,56d,462.53,3.96,2.708,ok,chembl,erg_median15,0,YL5084,O=c1ccc2ccccc2n1Cc1nc2ccccc2[nH]1,quinolinone–benzimidazole; kinase-adjacent; CH2 acrylamide OK,yes
CHEMBL3969548_ACR0,C=CC(=O)NC(C)C(=O)Nc1cc(-n2ccc3cccc(C)c32)cc(NC(=O)c2ccc(Cl)cn2)n1,Cc1cccc2ccn(-c3cc(NC(=O)c4ccc(Cl)cn4)nc(NC(=O)C(C)N)c3)c12,0.2198,0.2604,0.8481,1,56d,502.96,4.26,3.327,ok,chembl,tc_core_boundary10,0,56d,O=C(Nc1cc(-n2ccc3ccccc32)ccn1)c1ccccn1,indole–aminopyridine bis-amide; hinge-plausible; near sim boundary,yes
CHEMBL141259_ACR0,C=CC(=O)NC(=N)c1ccc2c(c1)ncn2CC(=O)Nc1ccc(-c2ccccc2)cc1,N=C(N)c1ccc2c(c1)ncn2CC(=O)Nc1ccc(-c2ccccc2)cc1,0.2198,0.2556,0.8407,0,YL2056,423.48,3.97,2.558,ok,chembl,tc_core_boundary10,0,56d,O=C(Cn1cnc2ccccc21)Nc1ccc(-c2ccccc2)cc1,acryloyl-amidine warhead unusual/reactive; not preferred Cys vector,no
CHEMBL343827_ACR0,C=CC(=O)NC(=N)c1ccc2ncn(CC(=O)Nc3ccc(-c4ccccc4)cc3)c2c1,N=C(N)c1ccc2ncn(CC(=O)Nc3ccc(-c4ccccc4)cc3)c2c1,0.2198,0.2692,0.8407,0,YL2056,423.48,3.97,2.566,ok,chembl,tc_core_boundary10,0,56d,O=C(Cn1cnc2ccccc21)Nc1ccc(-c2ccccc2)cc1,regioisomer of 141259; same amidino-warhead concern,no
CHEMBL3474643_ACR1,C=CC(=O)N1Cc2nc(-c3cccnc3)nc(NC(C)Cc3cc(C)n[nH]3)c2C1,Cc1cc(CC(C)Nc2nc(-c3cccnc3)nc3c2CNC3)[nH]n1,0.2198,0.2336,0.8297,2,JNK-IN-8,389.46,2.64,3.613,ok,chembl,tc_core_boundary10,0,JNK-IN-8,c1cncc(-c2nc3c(c(NCCc4ccn[nH]4)n2)CNC3)c1,fused pyrimidine + pyridine/pyrazole; kinase-like; ring acrylamide OK,yes
CHEMBL3658612_ACR0,C=CC(=O)NC1=N[C@](C)(c2cc(NC(=O)c3ncc(F)cc3F)ccc2F)CC(=C)O1,C=C1C[C@@](C)(c2cc(NC(=O)c3ncc(F)cc3F)ccc2F)N=C(N)O1,0.2198,0.2421,0.8296,1,JNK-IN-8,430.39,3.56,3.738,ok,chembl,tc_core_boundary10,0,56d,C=C1CC(c2cccc(NC(=O)c3ccccn3)c2)N=CO1,amino-oxazine acrylamide + exo-methylene; odd/reactive heterocycle,unsure
CHEMBL3680856_ACR0,C=CC(=O)NC1=N[C@](C)(c2cc(NC(=O)c3ncc(F)cc3F)ccc2F)[C@@H](F)CO1,C[C@]1(c2cc(NC(=O)c3ncc(F)cc3F)ccc2F)N=C(N)OC[C@@H]1F,0.2198,0.2268,0.8296,1,JNK-IN-8,436.37,2.99,3.935,ok,chembl,tc_core_boundary10,0,56d,O=C(Nc1cccc(C2CCOC=N2)c1)c1ccccn1,fluoro analog of 3658612; same heterocycle concern,unsure
CHEMBL4093765_ACR0,C=CC(=O)NCc1ccnc(Oc2cccc(C(=O)NCc3cc4ccccc4s3)c2)c1,NCc1ccnc(Oc2cccc(C(=O)NCc3cc4ccccc4s3)c2)c1,0.2198,0.2826,0.8104,1,JNK-IN-8,443.53,4.82,2.459,ok,chembl,tc_core_boundary10,0,56d,O=C(NCc1cc2ccccc2s1)c1cccc(Oc2ccccn2)c1,pyridinyl ether + benzothiophene amide; plausible hinge/extension,yes
CHEMBL591070_ACR0,C=CC(=O)NC1=NC(c2cccc(NC(=O)c3cccn3C)c2)(C2CCCCC2)C(=O)N1C,CN1C(=O)C(c2cccc(NC(=O)c3cccn3C)c2)(C2CCCCC2)N=C1N,0.2198,0.2632,0.8009,0,56d,447.54,3.18,3.506,ok,chembl,tc_core_boundary10,0,56d,O=C(Nc1cccc(C2(C3CCCCC3)N=CNC2=O)c1)c1ccc[nH]1,hydantoin + cyclohexyl; weak ATP-site resemblance,no
CHEMBL127680_ACR0,C=CC(=O)NC(=N)c1ccc(C(=O)Nc2ccc3c(c2)CCC(CC(=O)O)C3=O)cn1,N=C(N)c1ccc(C(=O)Nc2ccc3c(c2)CCC(CC(=O)O)C3=O)cn1,0.2198,0.25,0.7993,1,JNK-IN-8,420.43,2.18,3.356,ok,chembl,tc_core_boundary10,0,56d,O=C(Nc1ccc2c(c1)CCCC2=O)c1cccnc1,acryloyl-amidine + carboxylic acid tetralone; bad warhead + charged tail,no
CHEMBL2046628_ACR0,C=CC(=O)NCC1CCN(c2cccc(C(=O)c3cccnc3N)n2)C1,NCC1CCN(c2cccc(C(=O)c3cccnc3N)n2)C1,0.2198,0.1979,0.7969,1,YL2056,351.41,1.42,3.034,ok,chembl,tc_core_boundary10,0,YL5084,O=C(c1cccnc1)c1cccc(N2CCCC2)n1,2-aminonicotinoyl–pyridine; hinge-plausible; pyrrolidine linker OK,yes
CHEMBL333483_ACR0,C=CC(=O)NCc1ccccc1-c1cnc(Nc2ccc3c(C#N)cn(C)c3c2)o1,Cn1cc(C#N)c2ccc(Nc3ncc(-c4ccccc4CN)o3)cc21,0.1474,0.22,0.824,0,56d,397.44,4.25,2.832,ok,chembl,hinge0_erg_only10,0,JNK-IN-8,c1ccc(-c2cnc(Nc3ccc4cc[nH]c4c3)o2)cc1,aminooxazole–cyanoindole; hinge flag likely FN; kinase-ish,yes
CHEMBL1500653_ACR0,C=CC(=O)NCCc1nnc(SCC(=O)Nc2cccc(Cl)c2)o1,NCCc1nnc(SCC(=O)Nc2cccc(Cl)c2)o1,0.2024,0.2472,0.8185,0,56d,366.83,2.3,2.333,ok,chembl,hinge0_erg_only10,0,56d,O=C(CSc1nnco1)Nc1ccccc1,oxadiazole–thioether fragment; ErG-only false-positive look,no
CHEMBL327562_ACR0,C=CC(=O)NC(=N)c1cccc(Cn2c(C(=O)NCc3cc(F)cc(F)c3)cc3c(O)cccc32)c1,N=C(N)c1cccc(Cn2c(C(=O)NCc3cc(F)cc(F)c3)cc3c(O)cccc32)c1,0.1978,0.2396,0.8039,0,56d,488.49,4.23,2.901,ok,chembl,hinge0_erg_only10,0,56d,O=C(NCc1ccccc1)c1cc2ccccc2n1Cc1ccccc1,acryloyl-amidine on hydroxyindole; weird warhead + no clear hinge,no
CHEMBL466638_ACR0,C=CC(=O)N[C@@H](C)C(=O)NCc1cccc(-c2nn(C)cc2-c2nnc(-c3ccccc3)o2)c1,C[C@H](N)C(=O)NCc1cccc(-c2nn(C)cc2-c2nnc(-c3ccccc3)o2)c1,0.1957,0.2371,0.8001,0,56d,456.51,3.11,3.036,ok,chembl,hinge0_erg_only10,0,YL5084,c1ccc(-c2nnc(-c3c[nH]nc3-c3ccccc3)o2)cc1,pyrazole–oxadiazole stack; no credible ATP hinge,no
CHEMBL517121_ACR0,C=CC(=O)NC1C[C@@](CO[C@H](C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2ccccc2)NC1=O,C[C@@H](OC[C@@]1(c2ccccc2)CC(N)C(=O)N1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.1058,0.1569,0.792,0,YL5084,500.44,4.89,3.986,ok,chembl,hinge0_erg_only10,0,56d,O=C1CC[C@@](COCc2ccccc2)(c2ccccc2)N1,"bis-CF3 lactam; CNS/GPCR-like, not kinase ATP",no
CHEMBL484548_ACR1,C=CC(=O)N1CCN=C1c1ccc(-c2cc3cc(C4=NCCN4)cc(O)c3o2)cc1,Oc1cc(C2=NCCN2)cc2cc(-c3ccc(C4=NCCN4)cc3)oc12,0.1059,0.1515,0.7918,0,JNK-IN-8,400.44,2.93,3.201,ok,chembl,hinge0_erg_only10,0,YL5084,c1cc(-c2cc3cc(C4=NCCN4)ccc3o2)ccc1C1=NCCN1,bis-imidazoline benzofuran; chelator/PAINS-like,no
CHEMBL4091868_ACR0,C=CC(=O)N[C@H](COCc1ccccc1)c1nc(-c2ccc(OC(F)(F)F)cc2)c[nH]1,N[C@H](COCc1ccccc1)c1nc(-c2ccc(OC(F)(F)F)cc2)c[nH]1,0.1122,0.1735,0.7884,0,YL2056,431.41,4.54,3.205,ok,chembl,hinge0_erg_only10,0,56d,c1ccc(COCCc2nc(-c3ccccc3)c[nH]2)cc1,aryl-imidazole fragment-like; weak but not obvious junk,unsure
CHEMBL188782_ACR0,C=CC(=O)N1Cc2cc(S(=O)(=O)Nc3ccc(O)cc3)ccc2CC1CF,O=S(=O)(Nc1ccc(O)cc1)c1ccc2c(c1)CNC(CF)C2,0.0989,0.1458,0.7792,0,JNK-IN-8,390.44,2.6,3.12,ok,chembl,hinge0_erg_only10,1,JNK-IN-8,O=S(=O)(Nc1ccccc1)c1ccc2c(c1)CNCC2,PAINS=1; sulfonamide-phenol THIQ; reject,no
CHEMBL3355688_ACR0,C=CC(=O)NC[C@H]1CC[C@H](C(=O)N[C@@H](Cc2ccccc2)c2nn(-c3ccccc3)c(=O)[nH]2)CC1,NC[C@H]1CC[C@H](C(=O)N[C@@H](Cc2ccccc2)c2nn(-c3ccccc3)c(=O)[nH]2)CC1,0.1837,0.2041,0.7783,0,YL2056,473.58,3.07,3.128,ok,chembl,hinge0_erg_only10,0,56d,O=C(N[C@@H](Cc1ccccc1)c1nn(-c2ccccc2)c(=O)[nH]1)C1CCCCC1,triazolone peptidomimetic; no ATP hinge,no
CHEMBL1309819_ACR0,C=CC(=O)Nn1c(SCC(=O)Nc2ccc3c(c2)OCCO3)nnc1-c1ccc(OC)c(OC)c1,COc1ccc(-c2nnc(SCC(=O)Nc3ccc4c(c3)OCCO4)n2N)cc1OC,0.1875,0.1942,0.7777,0,JNK-IN-8,497.53,2.72,2.686,ok,chembl,hinge0_erg_only10,0,JNK-IN-8,O=C(CSc1nnc(-c2ccccc2)[nH]1)Nc1ccc2c(c1)OCCO2,N-aminotriazole hydrazine acrylamide + thioether; junk/reactive,no
