gene_A,gene_B,uniprot_A,uniprot_B,supply_bucket,same_class,metal_either,min_strict_hardneg,n_both_measured,pocket_A,pocket_B,n_holo_A,n_holo_B,h3_A,h3_B,h3_pass,example_pdbs_A,example_pdbs_B,n_shared_non_solvent_ligands,shared_chem_comp,structure_decision,include_for_fresh_roster,structure_note
ACHE,BCHE,P22303,P06276,same_protein_class,1,0,78,2537,hydrolase_gorge,hydrolase_gorge,74,110,1,1,1,4M0E;6NTO;5HF5;6O5V;4EY4;6WVO;5HF9;5HFA,6ZWI;6QAA;1P0I;2WSL;7AWG;7QHD;1XLW;2WIJ,7,DEP;EFS;FP1;LWL;QRH;THA;VX,include_candidate_conventional,1,H3 pass. Conventional small-molecule pockets (hydrolase_gorge/hydrolase_gorge); same-family homolog/isoform. Same-end ligand chem_comp overlap detected.
OPRM1,OPRD1,P35372,P41143,same_protein_class,1,0,64,3397,gpcr,gpcr,31,16,1,1,1,8Y72;9PY4;8EFO;8Y73;9PA2;9PA5;23SO;9VJT,4N6H;9CGK;4RWD;9XDQ;6PT2;9CGJ;8Y71;8F7S,1,A1D6B,include_candidate_gpcr_homolog,1,"H3 pass. Class A GPCR 7TM pocket is dockable in principle (membrane protein, lipid/detergent holos). Shared non-solvent chem_comp n=1."
OPRD1,OPRK1,P41143,P41145,same_protein_class,1,0,62,2812,gpcr,gpcr,16,28,1,1,1,4N6H;9CGK;4RWD;9XDQ;6PT2;9CGJ;8Y71;8F7S,7UL2;22ES;9PA4;9XDR;9ZZO;8DZR;9PA1;8DZS,1,A1D6B,include_candidate_gpcr_homolog,1,"H3 pass. Class A GPCR 7TM pocket is dockable in principle (membrane protein, lipid/detergent holos). Shared non-solvent chem_comp n=1."
F2,PRSS1,P00734,P07477,same_protein_class,1,0,62,733,serine_protease,serine_protease,429,10,1,1,1,5AFY;4UD9;4UE7;4UDW;4UEH;5AF9;3RM2;5AHG,2RA3;4WWY;4WXV;7QE9;1TRN;8ZIY;8ZJ4;7QE8,0,,include_candidate_conventional,1,"H3 pass. Conventional small-molecule pockets (serine_protease/serine_protease); same-family homolog/isoform. No shared non-solvent chem_comp in this coarse screen (does not prove absence of dual co-crystal). Pharmacological caveat: trypsin (PRSS1) is typically an antitarget, not a designed dual with thrombin."
CTSK,CTSS,P43235,P25774,same_protein_class,1,0,58,1058,cysteine_protease,cysteine_protease,65,60,1,1,1,4X6H;5TDI;6ASH;3KWZ;6QLM;3KX1;7QBN;4X6J,9GJ2;6YYR;3OVX;2H7J;6YYO;2HHN;8RND;4P6G,0,,include_candidate_conventional,1,H3 pass. Conventional small-molecule pockets (cysteine_protease/cysteine_protease); same-family homolog/isoform. No shared non-solvent chem_comp in this coarse screen (does not prove absence of dual co-crystal).
OPRM1,OPRK1,P35372,P41145,same_protein_class,1,0,56,3581,gpcr,gpcr,31,28,1,1,1,8Y72;9PY4;8EFO;8Y73;9PA2;9PA5;23SO;9VJT,7UL2;22ES;9PA4;9XDR;9ZZO;8DZR;9PA1;8DZS,5,1PC;A1BNM;A1D6B;A1D6C;JC9,include_candidate_gpcr_homolog,1,"H3 pass. Class A GPCR 7TM pocket is dockable in principle (membrane protein, lipid/detergent holos). Shared non-solvent chem_comp n=5."
S1PR3,S1PR1,Q99500,P21453,same_protein_class,1,0,55,1158,gpcr,gpcr,6,19,1,1,1,9W0H;7EW2;7EW3;7C4S;7EW4;9WP9,7TD4;9VNZ;9VO0;3V2Y;7VIF;7EO4;7VIE;7EO2,2,J89;S1P,include_candidate_gpcr_homolog,1,"H3 pass. Class A GPCR 7TM pocket is dockable in principle (membrane protein, lipid/detergent holos). Shared non-solvent chem_comp n=2."
JAK1,JAK2,P23458,O60674,same_protein_class,1,0,53,8513,kinase_atp,kinase_atp,47,167,1,1,1,6N7A;10PI;6N77;6N7C;6GGH;6RSH;8S85;6RSD,8BXH;7LL4;3UGC;7REE;8BA3;8BX9;7TEU;9TM5,9,0NH;1J5;9T6;A1C68;ADP;D7D;IZA;JAK;MI1,include_candidate_conventional,1,H3 pass. Conventional small-molecule pockets (kinase_atp/kinase_atp); same-family homolog/isoform. Same-end ligand chem_comp overlap detected.
JAK3,TYK2,P52333,P29597,same_protein_class,1,0,51,3030,kinase_atp,kinase_atp,43,51,1,1,1,5LWM;5LWN;6DUD;6DB4;6GL9;5TTU;3LXL;7Q6H,3LXP;8S99;4WOV;8S9A;8S98;5C03;5TKD;6NZE,4,9T6;IZA;MI1;OV5,include_candidate_conventional,1,H3 pass. Conventional small-molecule pockets (kinase_atp/kinase_atp); same-family homolog/isoform. Same-end ligand chem_comp overlap detected.
SMN1,LMNA,Q16637,P02545,qhts_or_common_counter_screen,0,0,341,9161,qhts_counterscreen,qhts_counterscreen,3,9,0,1,0,7W2P;4QQ6;7W30,7WZZ;7X1B;1IFR;7Z21;6GHD;7YVD;6RPR;6SNZ,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
ALDH1A1,MAPT,P00352,P10636,qhts_or_common_counter_screen,0,0,270,24818,qhts_counterscreen,qhts_counterscreen,22,57,1,1,1,7JWS;7JWV;7JWW;5L2M;5L2N;4WJ9;8T0T;4WP7,9GG8;9GG7;6FAU;4Y5I;6FAV;6FAW;9GHK;6FBW,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
TP53,LMNA,P04637,P02545,qhts_or_common_counter_screen,0,0,186,3131,qhts_counterscreen,qhts_counterscreen,251,9,1,1,1,9C5S;3D06;5MHC;6GGC;6SHZ;4MZI;6GGE;3LW1,7WZZ;7X1B;1IFR;7Z21;6GHD;7YVD;6RPR;6SNZ,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
MAPT,SMN1,P10636,Q16637,qhts_or_common_counter_screen,0,0,148,12000,qhts_counterscreen,qhts_counterscreen,57,3,1,0,0,9GG8;9GG7;6FAU;4Y5I;6FAV;6FAW;9GHK;6FBW,7W2P;4QQ6;7W30,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
ALDH1A1,LMNA,P00352,P02545,qhts_or_common_counter_screen,0,0,144,13563,qhts_counterscreen,qhts_counterscreen,22,9,1,1,1,7JWS;7JWV;7JWW;5L2M;5L2N;4WJ9;8T0T;4WP7,7WZZ;7X1B;1IFR;7Z21;6GHD;7YVD;6RPR;6SNZ,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
MAPT,LMNA,P10636,P02545,qhts_or_common_counter_screen,0,0,139,13587,qhts_counterscreen,qhts_counterscreen,57,9,1,1,1,9GG8;9GG7;6FAU;4Y5I;6FAV;6FAW;9GHK;6FBW,7WZZ;7X1B;1IFR;7Z21;6GHD;7YVD;6RPR;6SNZ,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
MAOA,MAOB,P21397,P27338,same_protein_class,1,0,128,2459,flavin_oxidase,flavin_oxidase,4,57,0,1,0,2Z5Y;2Z5X;2BXR;2BXS,9FJT;1S3E;28WL;2V5Z;2XFN;6FW0;9R3K;1S3B,1,FAD,fail_H3_holo,0,"FAIL H3 ≥5: human MAOA has exactly 4 inhibitor holos (2BXR/2BXS/2Z5X/2Z5Y, all ≤3.15 Å). Would pass if the suggested H3 gate were relaxed to ≥4. MAO dual inhibitors are a real drug class."
ALDH1A1,SMN1,P00352,Q16637,qhts_or_common_counter_screen,0,0,120,13536,qhts_counterscreen,qhts_counterscreen,22,3,1,0,0,7JWS;7JWV;7JWW;5L2M;5L2N;4WJ9;8T0T;4WP7,7W2P;4QQ6;7W30,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
POLB,MAPT,P06746,P10636,qhts_or_common_counter_screen,0,0,119,7628,qhts_counterscreen,qhts_counterscreen,424,57,1,1,1,9Y1J;4KLI;5WO0;9Y1E;9Y1G;2FMP;8VFF;5VS3,9GG8;9GG7;6FAU;4Y5I;6FAV;6FAW;9GHK;6FBW,1,GTP,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
ADORA1,ADORA2A,P30542,P29274,same_protein_class,1,0,119,3610,gpcr,gpcr,4,183,0,1,0,5UEN;7LD3;7LD4;5N2S,5NM4;9H37;5IU4;9H2X;4EIY;6LPJ;6LPK;7IO5,1,ADN,fail_H3_holo,0,"FAIL H3 ≥5: ADORA1 n_holo=4, ADORA3 n_holo=3 (plus two 3.60 Å EM entries 9EBH/9EBI outside the cut). A3 end is the bottleneck."
HDAC8,HDAC1,Q9BY41,Q13547,metal_enzyme,1,1,116,1968,zn_hydrolase,zn_hydrolase,53,6,1,1,1,5VI6;5DC8;5D1C;7JVU;5DC6;5BWZ;4QA5;4RN0,7SME;9R4I;4BKX;5ICN;8VPQ;8VRT,0,,exclude_metal,0,Zn-HDAC or carbonic anhydrase; original H4 excludes as sole primary.
TP53,MAPT,P04637,P10636,qhts_or_common_counter_screen,0,0,115,7105,qhts_counterscreen,qhts_counterscreen,251,57,1,1,1,9C5S;3D06;5MHC;6GGC;6SHZ;4MZI;6GGE;3LW1,9GG8;9GG7;6FAU;4Y5I;6FAV;6FAW;9GHK;6FBW,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
CYP2D6,CYP3A4,P10635,P08684,cyp_adme_panel,0,0,106,3611,heme_p450,heme_p450,14,122,1,1,1,3TBG;4WNU;4WNV;6CSD;6CSB;4XRZ;4XRY;4WNT,5VCC;9YK4;6MA8;4D6Z;5VCD;3NXU;1TQN;8EXB,1,HEM,exclude_cyp_adme,0,"ADME panel, not a dual-target design problem."
CYP2D6,CYP2C19,P10635,P33261,cyp_adme_panel,0,0,105,2619,heme_p450,heme_p450,14,1,1,0,0,3TBG;4WNU;4WNV;6CSD;6CSB;4XRZ;4XRY;4WNT,4GQS,1,HEM,exclude_cyp_adme,0,"ADME panel, not a dual-target design problem."
GAA,MAPT,P10253,P10636,qhts_or_common_counter_screen,0,0,101,8463,qhts_counterscreen,qhts_counterscreen,19,57,1,1,1,8CB1;9GTW;9GSV;9GTN;7P32;5NN4;7P2Z;5NN3,9GG8;9GG7;6FAU;4Y5I;6FAV;6FAW;9GHK;6FBW,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
POLB,SMN1,P06746,Q16637,qhts_or_common_counter_screen,0,0,101,2752,qhts_counterscreen,qhts_counterscreen,424,3,1,0,0,9Y1J;4KLI;5WO0;9Y1E;9Y1G;2FMP;8VFF;5VS3,7W2P;4QQ6;7W30,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
ALDH1A1,HTT,P00352,P42858,qhts_or_common_counter_screen,0,0,98,8336,qhts_counterscreen,qhts_counterscreen,22,9,1,1,1,7JWS;7JWV;7JWW;5L2M;5L2N;4WJ9;8T0T;4WP7,9YR6;4RAV;8VLX;4FEB;4FED;4FE8;4FEC;3IOT,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
PIK3CG,PIK3CB,P48736,P42338,same_protein_class,1,0,96,1912,kinase_atp,kinase_atp,104,0,1,0,0,6AUD;4ANV;3L54;4WWO;4ANW;6C1S;4HVB;1E8Z,,0,,fail_H3_holo,0,"FAIL H3: human PIK3CB (P42338) has zero PDB xrefs. Only mouse ortholog holos exist (2Y3A 3.30 Å, 4BFR 2.80 Å). A human-only fresh roster cannot include this pair without an ortholog-surrogate exception."
HDAC6,HDAC1,Q9UBN7,Q13547,metal_enzyme,0,1,93,3987,zn_hydrolase,zn_hydrolase,21,6,1,1,1,5B8D;5KH9;3C5K;5WPB;6CE8;6CEC;6CEE;8G43,7SME;9R4I;4BKX;5ICN;8VPQ;8VRT,0,,exclude_metal,0,Zn-HDAC or carbonic anhydrase; original H4 excludes as sole primary.
THRB,LMNA,P10828,P02545,qhts_or_common_counter_screen,0,0,92,852,nuclear_receptor_lbd,qhts_counterscreen,33,9,1,1,1,6KKB;2NLL;7WMH;1N46;2J4A;3D57;3GWS;2PIN,7WZZ;7X1B;1IFR;7Z21;6GHD;7YVD;6RPR;6SNZ,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
ALDH1A1,NPSR1,P00352,Q6W5P4,qhts_or_common_counter_screen,0,0,86,6864,qhts_counterscreen,gpcr,22,0,1,0,0,7JWS;7JWV;7JWW;5L2M;5L2N;4WJ9;8T0T;4WP7,,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
MAPK1,MAPT,P28482,P10636,qhts_or_common_counter_screen,0,0,85,5957,kinase_atp,qhts_counterscreen,155,57,1,1,1,8AOJ;4ZZN;6SLG;5WP1;4QTA;4QTE;2Y9Q;6QA3,9GG8;9GG7;6FAU;4Y5I;6FAV;6FAW;9GHK;6FBW,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
MAPK1,LMNA,P28482,P02545,qhts_or_common_counter_screen,0,0,80,3513,kinase_atp,qhts_counterscreen,155,9,1,1,1,8AOJ;4ZZN;6SLG;5WP1;4QTA;4QTE;2Y9Q;6QA3,7WZZ;7X1B;1IFR;7Z21;6GHD;7YVD;6RPR;6SNZ,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
MAPK1,SMN1,P28482,Q16637,qhts_or_common_counter_screen,0,0,80,3139,kinase_atp,qhts_counterscreen,155,3,1,0,0,8AOJ;4ZZN;6SLG;5WP1;4QTA;4QTE;2Y9Q;6QA3,7W2P;4QQ6;7W30,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
CYP2C9,CYP2C19,P11712,P33261,cyp_adme_panel,0,0,78,3187,heme_p450,heme_p450,15,1,1,0,0,1R9O;5A5I;5X23;5W0C;7RL2;5K7K;5XXI;4NZ2,4GQS,1,HEM,exclude_cyp_adme,0,"ADME panel, not a dual-target design problem."
POLB,LMNA,P06746,P02545,qhts_or_common_counter_screen,0,0,78,2924,qhts_counterscreen,qhts_counterscreen,424,9,1,1,1,9Y1J;4KLI;5WO0;9Y1E;9Y1G;2FMP;8VFF;5VS3,7WZZ;7X1B;1IFR;7Z21;6GHD;7YVD;6RPR;6SNZ,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
CYP2D6,CYP2C9,P10635,P11712,cyp_adme_panel,0,0,78,2303,heme_p450,heme_p450,14,15,1,1,1,3TBG;4WNU;4WNV;6CSD;6CSB;4XRZ;4XRY;4WNT,1R9O;5A5I;5X23;5W0C;7RL2;5K7K;5XXI;4NZ2,1,HEM,exclude_cyp_adme,0,"ADME panel, not a dual-target design problem."
SMN1,RAB9A,Q16637,P51151,qhts_or_common_counter_screen,0,0,77,8482,qhts_counterscreen,qhts_counterscreen,3,2,0,0,0,7W2P;4QQ6;7W30,1WMS;7E1T,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
ALDH1A1,MAPK1,P00352,P28482,qhts_or_common_counter_screen,0,0,77,5816,qhts_counterscreen,kinase_atp,22,155,1,1,1,7JWS;7JWV;7JWW;5L2M;5L2N;4WJ9;8T0T;4WP7,8AOJ;4ZZN;6SLG;5WP1;4QTA;4QTE;2Y9Q;6QA3,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
ADORA1,ADORA3,P30542,P0DMS8,same_protein_class,1,0,77,2396,gpcr,gpcr,4,3,0,0,0,5UEN;7LD3;7LD4;5N2S,8X17;9EHS;8X16,0,,fail_H3_holo,0,"FAIL H3 ≥5: ADORA1 n_holo=4, ADORA3 n_holo=3 (plus two 3.60 Å EM entries 9EBH/9EBI outside the cut). A3 end is the bottleneck."
CYP2C9,CYP3A4,P11712,P08684,cyp_adme_panel,0,0,75,3586,heme_p450,heme_p450,15,122,1,1,1,1R9O;5A5I;5X23;5W0C;7RL2;5K7K;5XXI;4NZ2,5VCC;9YK4;6MA8;4D6Z;5VCD;3NXU;1TQN;8EXB,1,HEM,exclude_cyp_adme,0,"ADME panel, not a dual-target design problem."
CA1,CA4,P00915,P22748,metal_enzyme,1,1,74,1457,zn_lyase,zn_lyase,57,10,1,1,1,7Q0D;8CDX;6I0J;6Y00;8S4F;6F3B;6I0L;5E2M,3FW3;5KU6;5JN8;3F7U;5JNA;5JNC;3F7B;5IPZ,3,AZM;MZM;TOR,exclude_metal,0,Zn-HDAC or carbonic anhydrase; original H4 excludes as sole primary.
GAA,LMNA,P10253,P02545,qhts_or_common_counter_screen,0,0,73,3553,qhts_counterscreen,qhts_counterscreen,19,9,1,1,1,8CB1;9GTW;9GSV;9GTN;7P32;5NN4;7P2Z;5NN3,7WZZ;7X1B;1IFR;7Z21;6GHD;7YVD;6RPR;6SNZ,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
CYP2C19,CYP3A4,P33261,P08684,cyp_adme_panel,0,0,73,3531,heme_p450,heme_p450,1,122,0,1,0,4GQS,5VCC;9YK4;6MA8;4D6Z;5VCD;3NXU;1TQN;8EXB,1,HEM,exclude_cyp_adme,0,"ADME panel, not a dual-target design problem."
HDAC3,HDAC6,O15379,Q9UBN7,metal_enzyme,0,1,72,1489,zn_hydrolase,zn_hydrolase,1,21,0,1,0,4A69,5B8D;5KH9;3C5K;5WPB;6CE8;6CEC;6CEE;8G43,0,,exclude_metal,0,Zn-HDAC or carbonic anhydrase; original H4 excludes as sole primary.
NPSR1,MAPT,Q6W5P4,P10636,qhts_or_common_counter_screen,0,0,71,6731,gpcr,qhts_counterscreen,0,57,0,1,0,,9GG8;9GG7;6FAU;4Y5I;6FAV;6FAW;9GHK;6FBW,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
CA2,CA9,P00918,Q16790,metal_enzyme,1,1,71,5234,zn_lyase,zn_lyase,1237,31,1,1,1,3K34;3KS3;5Y2S;6B00;6KLZ;6KM2;6ROB;3U7C,6RQQ;6RQU;6RQW;6Y74;5DVX;6G9U;6RQN;5FL4,7,7VZ;9FK;A1IEN;AZM;MUE;V14;V90,exclude_metal,0,Zn-HDAC or carbonic anhydrase; original H4 excludes as sole primary.
LMNA,BLM,P02545,P54132,qhts_or_common_counter_screen,0,0,70,752,qhts_counterscreen,qhts_counterscreen,9,10,1,1,1,7WZZ;7X1B;1IFR;7Z21;6GHD;7YVD;6RPR;6SNZ,7AUC;9P3E;5LUP;5MK5;4O3M;3WE2;4CDG;3WE3,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
GAA,SMN1,P10253,Q16637,qhts_or_common_counter_screen,0,0,69,3471,qhts_counterscreen,qhts_counterscreen,19,3,1,0,0,8CB1;9GTW;9GSV;9GTN;7P32;5NN4;7P2Z;5NN3,7W2P;4QQ6;7W30,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
TP53,SMN1,P04637,Q16637,qhts_or_common_counter_screen,0,0,68,3443,qhts_counterscreen,qhts_counterscreen,251,3,1,0,0,9C5S;3D06;5MHC;6GGC;6SHZ;4MZI;6GGE;3LW1,7W2P;4QQ6;7W30,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
L3MBTL1,SMN1,Q9Y468,Q16637,qhts_or_common_counter_screen,0,0,68,1972,chromatin_reader,qhts_counterscreen,17,3,1,0,0,1OZ2;2RHI;6BYB;1OYX;1OZ3;2RJE;2RHU;2RHY,7W2P;4QQ6;7W30,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
NPSR1,LMNA,Q6W5P4,P02545,qhts_or_common_counter_screen,0,0,67,4167,gpcr,qhts_counterscreen,0,9,0,1,0,,7WZZ;7X1B;1IFR;7Z21;6GHD;7YVD;6RPR;6SNZ,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
HTT,MAPT,P42858,P10636,qhts_or_common_counter_screen,0,0,65,8114,qhts_counterscreen,qhts_counterscreen,9,57,1,1,1,9YR6;4RAV;8VLX;4FEB;4FED;4FE8;4FEC;3IOT,9GG8;9GG7;6FAU;4Y5I;6FAV;6FAW;9GHK;6FBW,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
MAPT,RAB9A,P10636,P51151,qhts_or_common_counter_screen,0,0,65,6937,qhts_counterscreen,qhts_counterscreen,57,2,1,0,0,9GG8;9GG7;6FAU;4Y5I;6FAV;6FAW;9GHK;6FBW,1WMS;7E1T,2,GDP;GTP,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
ADORA2A,ADORA3,P29274,P0DMS8,same_protein_class,1,0,65,2345,gpcr,gpcr,183,3,1,0,0,5NM4;9H37;5IU4;9H2X;4EIY;6LPJ;6LPK;7IO5,8X17;9EHS;8X16,0,,fail_H3_holo,0,"FAIL H3 ≥5: ADORA1 n_holo=3, ADORA3 n_holo=3 (plus two 3.60 Å EM entries 9EBH/9EBI outside the cut). A3 end is the bottleneck."
TDP1,MAPT,Q9NUW8,P10636,qhts_or_common_counter_screen,0,0,64,5721,qhts_counterscreen,qhts_counterscreen,44,57,1,1,1,6N0D;6N0N;6W7J;6N19;6N0R;7UFZ;7UFY;8V0C,9GG8;9GG7;6FAU;4Y5I;6FAV;6FAW;9GHK;6FBW,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
LMNA,RAB9A,P02545,P51151,qhts_or_common_counter_screen,0,0,64,2974,qhts_counterscreen,qhts_counterscreen,9,2,1,0,0,7WZZ;7X1B;1IFR;7Z21;6GHD;7YVD;6RPR;6SNZ,1WMS;7E1T,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
TDP1,LMNA,Q9NUW8,P02545,qhts_or_common_counter_screen,0,0,64,2304,qhts_counterscreen,qhts_counterscreen,44,9,1,1,1,6N0D;6N0N;6W7J;6N19;6N0R;7UFZ;7UFY;8V0C,7WZZ;7X1B;1IFR;7Z21;6GHD;7YVD;6RPR;6SNZ,0,,exclude_qhts_counterscreen,0,Not a designed dual-target pair; PubChem-style shared libraries.
