gene,uniprot,pocket_class,n_holo_reso_le_3.5,h3_end_pass,example_pdbs,n_non_solvent_chem_comp,example_chem_comp
CA9,Q16790,zn_lyase,31,1,6RQQ;6RQU;6RQW;6Y74;5DVX;6G9U;6RQN;5FL4,23,7VZ;82E;9FK;A1H89;A1H92;A1IDV;A1IEN;A1JDL;AZM;ER5;ETK;IO6
CNR1,P21554,gpcr,26,1,23IV;23IW;5U09;7FEE;5TGZ;5XRA;8GHV;9B54,20,7DY;7IC;8D0;8D3;9GF;9GL;A1AIW;A1AKN;A1AKO;A1E5S;A1E5T;A1H66
CNR2,P34972,gpcr,13,1,12IZ;5ZTY;8GUR;12JA;6KPF;12IY;8GUS;8GUT,11,9GF;9JU;A1DB5;A1DB6;A1EOL;E3R;KNF;KO3;KO8;WI5;XWD
CREBBP,Q92793,hat_and_bromodomain,113,1,5I86;5J0D;5I89;5KTW;4NYX;5EP7;4NR7;6YIL,104,01K;0BC;15E;1VU;2LK;2LL;2LN;2LO;2O3;2O4;3OT;3PF
CTSK,P43235,cysteine_protease,65,1,4X6H;5TDI;6ASH;3KWZ;6QLM;3KX1;7QBN;4X6J,60,0D6;0LB;0LC;1XF;2CA;3FC;3XT;3Y1;3Y2;4PR;6HM;750
CTSS,P25774,cysteine_protease,60,1,9GJ2;6YYR;3OVX;2H7J;6YYO;2HHN;8RND;4P6G,58,2FC;2FZ;599;935;93N;B8J;B8S;B8V;B8Y;B9S;B9Y;BAJ
CYP2C19,P33261,heme_p450,1,0,4GQS,2,0XV;HEM
CYP2C9,P11712,heme_p450,15,1,1R9O;5A5I;5X23;5W0C;7RL2;5K7K;5XXI;4NZ2,12,2QJ;6RJ;6YF;9W6;CM5;FLP;FRU;HEC;HEM;LSN;SWF;XI1
CYP2D6,P10635,heme_p450,14,1,3TBG;4WNU;4WNV;6CSD;6CSB;4XRZ;4XRY;4WNT,12,2CV;AJN;CPS;HEM;P6M;P6U;PN0;QDN;QI9;RTZ;SI5;SI6
CYP3A4,P08684,heme_p450,122,1,5VCC;9YK4;6MA8;4D6Z;5VCD;3NXU;1TQN;8EXB,107,08J;08Y;1RD;2QH;5AW;6AW;7AW;80K;8AW;A1A06;A1A07;A1A08
F10,P00742,serine_protease,182,1,9I24;2JKH;2Y5F;2Y5G;2Y5H;3KL6;2PR3;6YYX,155,0G6;0GJ;230;237;2HG;439;443;44I;455;461;48U;48W
F2,P00734,serine_protease,429,1,5AFY;4UD9;4UE7;4UDW;4UEH;5AF9;3RM2;5AHG,289,00K;00L;00N;00P;00Q;00R;02N;02P;062;06P;08D;0BM
GAA,P10253,qhts_counterscreen,19,1,8CB1;9GTW;9GSV;9GTN;7P32;5NN4;7P2Z;5NN3,16,56I;A1IO5;A1IO6;A1IO7;A1IO8;A1IO9;A1IPA;A1IPB;A1IPC;BGC;MIG;NOJ
HCRTR1,O43613,gpcr,14,1,6TOD;6TOS;6TOT;6TO7;6TQ4;6TP6;6TQ6;6TQ9,15,4OT;7MA;JHC;NRE;NRK;NRZ;NS2;NT5;NV8;NVH;NVK;NVN
HCRTR2,O43614,gpcr,11,1,5WQC;5WS3;4S0V;6TPN;6TPJ;6TPG;7XRR;7L1V,7,7MA;A1MCY;A6F;NRK;NU8;SUV;XGD
HDAC1,Q13547,zn_hydrolase,6,1,7SME;9R4I;4BKX;5ICN;8VPQ;8VRT,1,IHP
HDAC2,Q92769,zn_hydrolase,47,1,7KBG;6WBZ;6WBW;7LTL;6XEB;7ZZP;6WHN;7MOT,39,20Y;2OP;6EZ;A1ACV;A1B1V;A1L47;A1L4X;EL8;IHP;IWX;KIZ;KJ6
HDAC3,O15379,zn_hydrolase,1,0,4A69,1,I0P
HDAC4,P56524,zn_hydrolase,15,1,3V31;2VQM;3UXG;5ZOO;3UZD;2VQQ;2VQJ;2VQO,7,9F4;DIO;EBE;HA3;KEE;OTF;TFG
HDAC6,Q9UBN7,zn_hydrolase,21,1,5B8D;5KH9;3C5K;5WPB;6CE8;6CEC;6CEE;8G43,17,6T4;6T5;6T7;6U6;9ZV;B8P;EY7;EYA;EYJ;EYM;EYP;EYV
HDAC8,Q9BY41,zn_hydrolase,53,1,5VI6;5DC8;5D1C;7JVU;5DC6;5BWZ;4QA5;4RN0,23,0DI;1DI;5YA;AGE;B3N;C7;CRI;DIO;FE2;GGG;GOK;IMD
HSD17B10,Q99714,qhts_counterscreen,15,1,2O23;9GCH;1U7T;1SO8;8CBK;9EY0;8CBL;9EY1,6,CDP;GTP;NAD;SAH;SAM;TDT
HTR6,P50406,gpcr,3,0,7YS6;8JLZ;7XTB,2,SRO;UQL
HTR7,P34969,gpcr,1,0,7XTC,1,8K3
HTT,P42858,qhts_counterscreen,9,1,9YR6;4RAV;8VLX;4FEB;4FED;4FE8;4FEC;3IOT,2,A1ACS;A1CYY
JAK1,P23458,kinase_atp,47,1,6N7A;10PI;6N77;6N7C;6GGH;6RSH;8S85;6RSD,44,0NH;0NL;0NT;0Q2;0UJ;15T;1J5;1J6;1Q3;1Q4;5JG;66P
JAK2,O60674,kinase_atp,167,1,8BXH;7LL4;3UGC;7REE;8BA3;8BX9;7TEU;9TM5,134,046;0NH;0NU;0NV;0TP;0X2;0X5;15V;17P;1J5;1K3;1M3
JAK3,P52333,kinase_atp,43,1,5LWM;5LWN;6DUD;6DB4;6GL9;5TTU;3LXL;7Q6H,45,19Q;19R;19S;1DT;1NX;37Q;3C9;3QX;4LH;4ST;79R;79S
L3MBTL1,Q9Y468,chromatin_reader,17,1,1OZ2;2RHI;6BYB;1OYX;1OZ3;2RJE;2RHU;2RHY,5,EC7;MLY;MLZ;P8H;UWN
LMNA,P02545,qhts_counterscreen,9,1,7WZZ;7X1B;1IFR;7Z21;6GHD;7YVD;6RPR;6SNZ,1,SEC
MAOA,P21397,flavin_oxidase,4,0,2Z5Y;2Z5X;2BXR;2BXS,4,DCX;FAD;HRM;MLG
MAOB,P27338,flavin_oxidase,57,1,9FJT;1S3E;28WL;2V5Z;2XFN;6FW0;9R3K;1S3B,50,1PB;3PL;4CR;5IH;5IK;A1IDI;A1JC6;A1JC8;A1JCO;A1JF0;AI0;ASS
MAPK1,P28482,kinase_atp,155,1,8AOJ;4ZZN;6SLG;5WP1;4QTA;4QTE;2Y9Q;6QA3,147,08G;19A;1FM;2AI;2SH;33A;35W;35X;362;363;36N;36O
MAPT,P10636,qhts_counterscreen,57,1,9GG8;9GG7;6FAU;4Y5I;6FAV;6FAW;9GHK;6FBW,30,49F;60H;8VH;A1AHG;A1B91;A1IF3;A1IF4;A1IF5;A1IGF;A1IGH;A1IKN;A1IKS
MTOR,P42345,kinase_atp,41,1,4DRI;5GPG;4DRJ;3FAP;8PPZ;8XI9;9PJ1;1NSG,20,0AN;17G;A1AID;A1BC8;ADP;AGS;ANP;ARD;ATP;GDP;GSP;GTP
NPC1,O15118,qhts_counterscreen,8,1,3GKJ;3GKI;3GKH;5KWY;5HNS;6W5S;5U74;5U73,4,C3S;HC3;POV;SCN
NPSR1,Q6W5P4,gpcr,0,0,,0,
OPRD1,P41143,gpcr,16,1,4N6H;9CGK;4RWD;9XDQ;6PT2;9CGJ;8Y71;8F7S,9,A1AWC;A1AWD;A1CLI;A1CLJ;A1D6B;A1D6F;A1LXY;EJ4;OWY
OPRK1,P41145,gpcr,28,1,7UL2;22ES;9PA4;9XDR;9ZZO;8DZR;9PA1;8DZS,23,1PC;A1AD5;A1AD6;A1BNM;A1D6B;A1D6C;A1E0F;A1EJF;A1EQK;A1LWX;CVV;FI6
OPRM1,P35372,gpcr,31,1,8Y72;9PY4;8EFO;8Y73;9PA2;9PA5;23SO;9VJT,19,1PC;7V7;8QY;A1APV;A1BNM;A1CHE;A1CIX;A1CMV;A1D6B;A1D6C;A1E5L;A1ESG
PIK3CA,P42336,kinase_atp,106,1,9CMK;9ASF;9CX0;7L1C;9CWY;8EXL;9CX1;9CML,88,144;1LT;2IX;2Q7;2ZV;3K6;4EL;4Q2;5H2;5H5;5XV;6CY
PIK3CB,P42338,kinase_atp,0,0,,0,
PIK3CG,P48736,kinase_atp,104,1,6AUD;4ANV;3L54;4WWO;4ANW;6C1S;4HVB;1E8Z,102,039;090;093;0KO;0SC;0SD;0SE;0TA;0TB;0TZ;0U0;0VU
POLB,P06746,qhts_counterscreen,424,1,9Y1J;4KLI;5WO0;9Y1E;9Y1G;2FMP;8VFF;5VS3,94,0KX;1FZ;1GC;1RY;1RZ;1S0;2PN;2RW;42E;43X;4BD;61C
PPARA,Q07869,nuclear_receptor_lbd,78,1,6KAX;6LXA;6KB1;6LX6;6KB0;9IWM;6LX9;6LX7,52,13M;2VN;471;4M5;544;65W;735;7HA;A1J4E;A1JTY;A1L0A;A1LZ0
PPARD,Q03181,nuclear_receptor_lbd,54,1,5U3Q;5Y7X;5U3T;5U42;5U3Z;5U3W;7WGN;5U3V,56,08S;1BO;1FA;1KF;331;3EQ;3OZ;401;433;7SM;7SS;7SV
PPARG,P37231,nuclear_receptor_lbd,363,1,9F7W;9V8G;9V8H;8FKC;6MS7;9V8D;3U9Q;8B94,296,072;082;0W3;14R;17L;208;21L;240;241;243;24L;2OH
PRSS1,P07477,serine_protease,10,1,2RA3;4WWY;4WXV;7QE9;1TRN;8ZIY;8ZJ4;7QE8,1,ISP
RAB9A,P51151,qhts_counterscreen,2,0,1WMS;7E1T,2,GDP;GTP
S1PR1,P21453,gpcr,19,1,7TD4;9VNZ;9VO0;3V2Y;7VIF;7EO4;7VIE;7EO2,11,7I4;A1ESY;A1ESZ;A1LYQ;J89;J8C;JER;JEU;JEX;ML5;S1P
S1PR3,Q99500,gpcr,6,1,9W0H;7EW2;7EW3;7C4S;7EW4;9WP9,5,A1EUC;A1EUH;J89;JF9;S1P
SLC6A2,P23975,slc_transporter,36,1,8ZP2;9KDA;9KDM;8HFE;8HFI;8ZOY;8ZP1;9KDH,28,1XR;41U;68P;A1D5S;A1D9Y;A1EA1;A1EBN;A1EBO;A1EET;A1EFM;A1EFR;A1LX3
SLC6A3,Q01959,slc_transporter,16,1,9EO4;9JKI;9JKJ;8Y2D;9J6S;8Y2G;9J6U;8Y2F,17,1XR;42L;A1AAF;A1D5S;A1D5U;A1EA0;A1EA1;A1EA2;A1EA3;A1EAZ;COC;CXQ
SLC6A4,P31645,slc_transporter,14,1,9HCO;7TXT;5I6X;5I71;9VWS;5I73;9IY7;6VRH,16,68P;69D;8PR;A1CIZ;A1EA1;ACA;C14;DD9;HP6;JC9;KWC;LNK
SMN1,Q16637,qhts_counterscreen,3,0,7W2P;4QQ6;7W30,3,36X;8AI;8AT
TDP1,Q9NUW8,qhts_counterscreen,44,1,6N0D;6N0N;6W7J;6N19;6N0R;7UFZ;7UFY;8V0C,38,A1AIM;GHM;GJP;GJS;GM7;GNJ;GNM;GNV;GNY;GOG;JTA;K7A
THRB,P10828,nuclear_receptor_lbd,33,1,6KKB;2NLL;7WMH;1N46;2J4A;3D57;3GWS;2PIN,23,442;4HY;8HO;9GC;9IF;9II;9IL;9IQ;9IT;9IW;A1EAC;A1EAE
TP53,P04637,qhts_counterscreen,251,1,9C5S;3D06;5MHC;6GGC;6SHZ;4MZI;6GGE;3LW1,104,3OD;4TQ;6SM;92O;9GH;9GK;9GN;9GQ;9GT;9GW;9GZ;9H2
TSHR,P16473,gpcr,8,1,2XWT;7UTZ;3G04;7XW6;7T9I;7T9N;7XW5;7T9M,2,HOI;Z41
TYK2,P29597,kinase_atp,51,1,3LXP;8S99;4WOV;8S9A;8S98;5C03;5TKD;6NZE,47,0X2;0X5;0X6;0XH;0XP;2TT;2YK;3SM;5U3;5U4;7GL;9T6
