document_chembl_id,source_type,title,journal,year,pubmed_id,doi,patent_id,publication_types,direct_url,chembl_url,pairs,ligands,targets,assay_chembl_ids,n_decisive_rows,required_action
CHEMBL1141539,article_unclassified,"Neutral 5-substituted 4-indazolylaminoquinazolines as potent, orally active inhibitors of erbB2 receptor tyrosine kinase.",Bioorganic & medicinal chemistry letters,2008,18313293,10.1016/j.bmcl.2008.02.035,,Journal Article,https://doi.org/10.1016/j.bmcl.2008.02.035,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1141539,EGFR/HER2,EH40_12,EGFR;HER2,CHEMBL928912;CHEMBL928913,2,classify_then_read_full_text_and_supporting_information
CHEMBL1141561,article_unclassified,"A new series of neutral 5-substituted 4-anilinoquinazolines as potent, orally active inhibitors of erbB2 receptor tyrosine kinase.",Bioorganic & medicinal chemistry letters,2008,18061446,10.1016/j.bmcl.2007.11.052,,Journal Article,https://doi.org/10.1016/j.bmcl.2007.11.052,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1141561,EGFR/HER2,EH120_082;EH120_095,EGFR;HER2,CHEMBL930659;CHEMBL930777;CHEMBL930778,4,classify_then_read_full_text_and_supporting_information
CHEMBL1142663,article_unclassified,"Optimization of 6,7-disubstituted-4-(arylamino)quinoline-3-carbonitriles as orally active, irreversible inhibitors of human epidermal growth factor receptor-2 kinase activity.",Journal of medicinal chemistry,2005,15715478,10.1021/jm040159c,,Journal Article,https://doi.org/10.1021/jm040159c,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1142663,EGFR/HER2,EH120_078;EH40_09,EGFR;HER2,CHEMBL873338;CHEMBL874202,4,classify_then_read_full_text_and_supporting_information
CHEMBL1143160,article_unclassified,"Novel 3-alkoxy-1H-pyrazolo[3,4-d]pyrimidines as EGFR and erbB2 receptor tyrosine kinase inhibitors.",Bioorganic & medicinal chemistry letters,2008,18182285,10.1016/j.bmcl.2007.12.035,,Journal Article,https://doi.org/10.1016/j.bmcl.2007.12.035,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1143160,EGFR/HER2,EH40_31,EGFR;HER2,CHEMBL947895;CHEMBL947896,2,classify_then_read_full_text_and_supporting_information
CHEMBL1143164,article_unclassified,Synthesis and structure-activity relationships of ring-opened 17-hydroxywortmannins: potent phosphoinositide 3-kinase inhibitors with improved properties and anticancer efficacy.,Journal of medicinal chemistry,2008,18269228,10.1021/jm7012858,,Journal Article,https://doi.org/10.1021/jm7012858,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1143164,PIK3CA/mTOR,PM48_25,mTOR,CHEMBL934449,1,classify_then_read_full_text_and_supporting_information
CHEMBL1145020,article_unclassified,"Synthesis and structure-activity relationships of 6,7-disubstituted 4-anilinoquinoline-3-carbonitriles. The design of an orally active, irreversible inhibitor of the tyrosine kinase activity of the epidermal growth factor receptor (EGFR) and the human epidermal growth factor receptor-2 (HER-2).",Journal of medicinal chemistry,2003,12502359,10.1021/jm020241c,,Journal Article,https://doi.org/10.1021/jm020241c,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1145020,EGFR/HER2,EH120_065;EH120_069,HER2,CHEMBL769139,2,classify_then_read_full_text_and_supporting_information
CHEMBL1145585,article_unclassified,Discovery of novel 4-amino-6-arylaminopyrimidine-5-carbaldehyde oximes as dual inhibitors of EGFR and ErbB-2 protein tyrosine kinases.,Bioorganic & medicinal chemistry letters,2008,18508264,10.1016/j.bmcl.2008.05.024,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1016/j.bmcl.2008.05.024,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1145585,EGFR/HER2,EH40_07,EGFR;HER2,CHEMBL934832;CHEMBL934833,2,classify_then_read_full_text_and_supporting_information
CHEMBL1145898,article_unclassified,Molecular docking studies of natural cholinesterase-inhibiting steroidal alkaloids from Sarcococca saligna.,Journal of medicinal chemistry,2003,14584959,10.1021/jm0309194,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm0309194,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1145898,AChE/BChE,AB_087,BChE,CHEMBL654391,1,classify_then_read_full_text_and_supporting_information
CHEMBL1147004,article_unclassified,Alkynyl pyrimidines as dual EGFR/ErbB2 kinase inhibitors.,Bioorganic & medicinal chemistry letters,2006,16483772,10.1016/j.bmcl.2006.01.111,,Journal Article,https://doi.org/10.1016/j.bmcl.2006.01.111,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1147004,EGFR/HER2,EH120_074,EGFR;HER2,CHEMBL861550;CHEMBL861551,2,classify_then_read_full_text_and_supporting_information
CHEMBL1147619,article_unclassified,"Syntheses and EGFR kinase inhibitory activity of 6-substituted-4-anilino [1,7] and [1,8] naphthyridine-3-carbonitriles.",Bioorganic & medicinal chemistry letters,2004,15006373,10.1016/j.bmcl.2004.01.034,,Journal Article,https://doi.org/10.1016/j.bmcl.2004.01.034,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1147619,EGFR/HER2,EH120_065;EH120_069,EGFR,CHEMBL677385,2,classify_then_read_full_text_and_supporting_information
CHEMBL1148382,article_unclassified,Synthesis and structure-activity relationship for a novel class of potent and selective carbamoyl-triazole based inhibitors of hormone sensitive lipase.,Journal of medicinal chemistry,2004,14711311,10.1021/jm031004s,,Journal Article,https://doi.org/10.1021/jm031004s,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1148382,AChE/BChE,AB_020,AChE;BChE,CHEMBL643384;CHEMBL654878,2,classify_then_read_full_text_and_supporting_information
CHEMBL1149275,article_unclassified,Structure-activity relationships of acetylcholinesterase noncovalent inhibitors based on a polyamine backbone. 3. Effect of replacing the inner polymethylene chain with cyclic moieties.,Journal of medicinal chemistry,2004,15588084,10.1021/jm0494366,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm0494366,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1149275,AChE/BChE,AB_040,AChE;BChE,CHEMBL917209;CHEMBL917210,2,classify_then_read_full_text_and_supporting_information
CHEMBL1150977,article_unclassified,A quantitative analysis of kinase inhibitor selectivity.,Nature biotechnology,2008,18183025,10.1038/nbt1358,,Journal Article,https://doi.org/10.1038/nbt1358,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1150977,EGFR/HER2,EH120_060;EH120_077,EGFR;HER2,CHEMBL1061143;CHEMBL1061896,3,classify_then_read_full_text_and_supporting_information
CHEMBL1153098,article_unclassified,"Discovery of 2-arylthieno[3,2-d]pyrimidines containing 8-oxa-3-azabi-cyclo[3.2.1]octane in the 4-position as potent inhibitors of mTOR with selectivity over PI3K.",Bioorganic & medicinal chemistry letters,2010,19897362,10.1016/j.bmcl.2009.10.075,,Journal Article,https://doi.org/10.1016/j.bmcl.2009.10.075,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1153098,PIK3CA/mTOR,PM48_36,PIK3CA;mTOR,CHEMBL1067293;CHEMBL1067294,2,classify_then_read_full_text_and_supporting_information
CHEMBL1153200,article_unclassified,"Discovery of 3,6-dihydro-2H-pyran as a morpholine replacement in 6-aryl-1H-pyrazolo[3,4-d]pyrimidines and 2-arylthieno[3,2-d]pyrimidines: ATP-competitive inhibitors of the mammalian target of rapamycin (mTOR).",Bioorganic & medicinal chemistry letters,2010,19963384,10.1016/j.bmcl.2009.11.050,,Journal Article,https://doi.org/10.1016/j.bmcl.2009.11.050,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1153200,PIK3CA/mTOR,PM48_33;PM48_38,PIK3CA;mTOR,CHEMBL1074679;CHEMBL1074680,4,classify_then_read_full_text_and_supporting_information
CHEMBL1153281,article_unclassified,Synthesis and evaluation of aniline headgroups for alkynyl thienopyrimidine dual EGFR/ErbB-2 kinase inhibitors.,Bioorganic & medicinal chemistry letters,2009,19208477,10.1016/j.bmcl.2009.01.080,,Comparative Study;Journal Article,https://doi.org/10.1016/j.bmcl.2009.01.080,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1153281,EGFR/HER2,EH40_35,EGFR;HER2,CHEMBL964194;CHEMBL964196,2,classify_then_read_full_text_and_supporting_information
CHEMBL1154343,article_unclassified,Synthesis and biological evaluation of pyrrolopyridazine derivatives as novel HER-2 tyrosine kinase inhibitors.,Bioorganic & medicinal chemistry letters,2009,19815412,10.1016/j.bmcl.2009.09.038,,Journal Article,https://doi.org/10.1016/j.bmcl.2009.09.038,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1154343,EGFR/HER2,EH120_080;EH120_089;EH120_099;EH40_22;EH40_29,EGFR;HER2,CHEMBL1116650;CHEMBL1116651;CHEMBL1116652;CHEMBL1116653,10,classify_then_read_full_text_and_supporting_information
CHEMBL1154681,article_unclassified,Structural aspects of flavonoids as inhibitors of human butyrylcholinesterase.,European journal of medicinal chemistry,2010,19879672,10.1016/j.ejmech.2009.09.041,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1016/j.ejmech.2009.09.041,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1154681,AChE/BChE,AB_041,BChE,CHEMBL1045780,1,classify_then_read_full_text_and_supporting_information
CHEMBL1154707,article_unclassified,Morpholine derivatives greatly enhance the selectivity of mammalian target of rapamycin (mTOR) inhibitors.,Journal of medicinal chemistry,2009,19916508,10.1021/jm901415x,,Journal Article,https://doi.org/10.1021/jm901415x,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1154707,PIK3CA/mTOR,PM48_37,PIK3CA;mTOR,CHEMBL1047613;CHEMBL1047614,2,classify_then_read_full_text_and_supporting_information
CHEMBL1155863,article_unclassified,"4-(1,3-Thiazol-2-yl)morpholine derivatives as inhibitors of phosphoinositide 3-kinase.",Bioorganic & medicinal chemistry letters,2008,18625552,10.1016/j.bmcl.2008.06.076,,Journal Article,https://doi.org/10.1016/j.bmcl.2008.06.076,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1155863,PIK3CA/PIK3CB,PAB_039,PIK3CA;PIK3CB,CHEMBL989175;CHEMBL989176,2,classify_then_read_full_text_and_supporting_information
CHEMBL1156873,article_unclassified,"Pyrazolopyrimidines as highly potent and selective, ATP-competitive inhibitors of the mammalian target of rapamycin (mTOR): optimization of the 1-substituent.",Bioorganic & medicinal chemistry letters,2010,20089401,10.1016/j.bmcl.2009.12.086,,Journal Article,https://doi.org/10.1016/j.bmcl.2009.12.086,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1156873,PIK3CA/mTOR,PM48_34,PIK3CA,CHEMBL1068273,1,classify_then_read_full_text_and_supporting_information
CHEMBL1157563,article_unclassified,"Discovery of 7-(4-(3-ethynylphenylamino)-7-methoxyquinazolin-6-yloxy)-N-hydroxyheptanamide (CUDc-101) as a potent multi-acting HDAC, EGFR, and HER2 inhibitor for the treatment of cancer.",Journal of medicinal chemistry,2010,20143778,10.1021/jm901453q,,Journal Article,https://doi.org/10.1021/jm901453q,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1157563,EGFR/HER2,EH40_10,EGFR;HER2,CHEMBL1064921;CHEMBL1064922,2,classify_then_read_full_text_and_supporting_information
CHEMBL1157610,article_unclassified,"Bis(morpholino-1,3,5-triazine) derivatives: potent adenosine 5'-triphosphate competitive phosphatidylinositol-3-kinase/mammalian target of rapamycin inhibitors: discovery of compound 26 (PKI-587), a highly efficacious dual inhibitor.",Journal of medicinal chemistry,2010,20166697,10.1021/jm901830p,,Journal Article,https://doi.org/10.1021/jm901830p,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1157610,PIK3CA/mTOR,PM48_03,PIK3CA,CHEMBL1065055,1,classify_then_read_full_text_and_supporting_information
CHEMBL1157624,article_unclassified,Targeting Alzheimer's disease: Novel indanone hybrids bearing a pharmacophoric fragment of AP2238.,Bioorganic & medicinal chemistry,2010,20171894,10.1016/j.bmc.2010.01.071,,Journal Article,https://doi.org/10.1016/j.bmc.2010.01.071,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1157624,AChE/BChE,AB_037;AB_038;AB_039,AChE;BChE,CHEMBL1067130;CHEMBL1067131,6,classify_then_read_full_text_and_supporting_information
CHEMBL1157666,article_unclassified,"Design, synthesis and biological evaluation of thiazolidinone derivatives as potential EGFR and HER-2 kinase inhibitors.",Bioorganic & medicinal chemistry,2010,19914835,10.1016/j.bmc.2009.10.051,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1016/j.bmc.2009.10.051,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1157666,EGFR/HER2,EH40_24,EGFR;HER2,CHEMBL1064820;CHEMBL1064821,2,classify_then_read_full_text_and_supporting_information
CHEMBL1157668,article_unclassified,Synthesis and structure-activity relationships of N-benzyl-N-(X-2-hydroxybenzyl)-N'-phenylureas and thioureas as antitumor agents.,Bioorganic & medicinal chemistry,2010,19914837,10.1016/j.bmc.2009.10.054,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1016/j.bmc.2009.10.054,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1157668,EGFR/HER2,EH40_19,EGFR;HER2,CHEMBL1064829;CHEMBL1064830,2,classify_then_read_full_text_and_supporting_information
CHEMBL1201862,deposited_dataset,ChEMBL kinase profiling dataset/source,,,,,,,,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1201862,EGFR/HER2,EH40_02;EH40_04;EH40_18;EH40_25;EH40_30;EH40_38,EGFR;HER2,CHEMBL1963766;CHEMBL1963780,12,audit_dataset_assay_description_and_provenance
CHEMBL1240340,article_unclassified,Targeted polypharmacology: discovery of dual inhibitors of tyrosine and phosphoinositide kinases.,Nature chemical biology,2008,18849971,10.1038/nchembio.117,,"Comparative Study;Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",https://doi.org/10.1038/nchembio.117,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1240340,PIK3CA/PIK3CB;PIK3CA/mTOR,PAB_085;PAB_088;PAB_091;PAB_094;PAB_097;PM48_45;PM48_46;PM48_47;PM48_48,PIK3CA;PIK3CB;mTOR,CHEMBL1243965;CHEMBL1243966;CHEMBL1243969,18,classify_then_read_full_text_and_supporting_information
CHEMBL1255185,article_unclassified,"Substituted 4-amino-1H-pyrazolo[3,4-d]pyrimidines as multi-targeted inhibitors of insulin-like growth factor-1 receptor (IGF1R) and members of ErbB-family receptor kinases.",Bioorganic & medicinal chemistry letters,2010,20817523,10.1016/j.bmcl.2010.08.052,,Journal Article,https://doi.org/10.1016/j.bmcl.2010.08.052,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1255185,EGFR/HER2,EH120_085;EH120_088,EGFR;HER2,CHEMBL1260610;CHEMBL1261098,4,classify_then_read_full_text_and_supporting_information
CHEMBL1255226,article_unclassified,"Discovery of 1-(4-(4-propionylpiperazin-1-yl)-3-(trifluoromethyl)phenyl)-9-(quinolin-3-yl)benzo[h][1,6]naphthyridin-2(1H)-one as a highly potent, selective mammalian target of rapamycin (mTOR) inhibitor for the treatment of cancer.",Journal of medicinal chemistry,2010,20860370,10.1021/jm101144f,,Journal Article,https://doi.org/10.1021/jm101144f,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1255226,PIK3CA/mTOR,PM48_10,PIK3CA;mTOR,CHEMBL1261684;CHEMBL1261686,2,classify_then_read_full_text_and_supporting_information
CHEMBL1641446,article_unclassified,"Novel pyrrolo[2,1-f][1,2,4]triazin-4-amines: Dual inhibitors of EGFR and HER2 protein tyrosine kinases.",Bioorganic & medicinal chemistry letters,2011,21177105,10.1016/j.bmcl.2010.11.100,,Journal Article,https://doi.org/10.1016/j.bmcl.2010.11.100,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1641446,EGFR/HER2,EH40_15,EGFR;HER2,CHEMBL1647391;CHEMBL1647392,2,classify_then_read_full_text_and_supporting_information
CHEMBL1681756,article_unclassified,Synthesis and evaluation of novel pyrimidine-based dual EGFR/Her-2 inhibitors.,Bioorganic & medicinal chemistry letters,2011,21334203,10.1016/j.bmcl.2011.01.119,,Journal Article,https://doi.org/10.1016/j.bmcl.2011.01.119,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1681756,EGFR/HER2,EH40_39,EGFR;HER2,CHEMBL1686142;CHEMBL1686143,2,classify_then_read_full_text_and_supporting_information
CHEMBL1806467,article_unclassified,Identification of 2-oxatriazines as highly potent pan-PI3K/mTOR dual inhibitors.,Bioorganic & medicinal chemistry letters,2011,21763134,10.1016/j.bmcl.2011.06.063,,Journal Article,https://doi.org/10.1016/j.bmcl.2011.06.063,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1806467,PIK3CA/mTOR,PM48_03,mTOR,CHEMBL1810297,1,classify_then_read_full_text_and_supporting_information
CHEMBL1908390,article_unclassified,Comprehensive analysis of kinase inhibitor selectivity.,Nature biotechnology,2011,22037378,10.1038/nbt.1990,,Journal Article,https://doi.org/10.1038/nbt.1990,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1908390,EGFR/HER2;PIK3CA/mTOR,EH120_066;EH40_27;PM48_01,EGFR;HER2;PIK3CA,CHEMBL1908501;CHEMBL1908694;CHEMBL1908695;CHEMBL1908734,4,classify_then_read_full_text_and_supporting_information
CHEMBL1909046,deposited_dataset,DrugMatrix protein kinase inhibition dataset,,,,,,,,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1909046,EGFR/HER2,EH120_077,HER2,CHEMBL1909205,1,audit_dataset_assay_description_and_provenance
CHEMBL1938252,article_unclassified,Structure-based optimization of morpholino-triazines as PI3K and mTOR inhibitors.,Bioorganic & medicinal chemistry letters,2012,22197143,10.1016/j.bmcl.2011.12.001,,Journal Article,https://doi.org/10.1016/j.bmcl.2011.12.001,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1938252,PIK3CA/mTOR,PM48_18,mTOR,CHEMBL1942431,1,classify_then_read_full_text_and_supporting_information
CHEMBL1949622,article_unclassified,Rational design of phosphoinositide 3-kinase α inhibitors that exhibit selectivity over the phosphoinositide 3-kinase β isoform.,Journal of medicinal chemistry,2011,21985639,10.1021/jm2007084,,Journal Article,https://doi.org/10.1021/jm2007084,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1949622,PIK3CA/PIK3CB,PAB_023,PIK3CA;PIK3CB,CHEMBL1954955;CHEMBL1954958;CHEMBL1954960;CHEMBL1954961,4,classify_then_read_full_text_and_supporting_information
