pair,pubmed_id,doi,patent_id
EGFR/HER2,,10.1039/c0md00228c,
EGFR/HER2,,10.1039/c2md20089a,
EGFR/HER2,,10.6019/chembl3301361,
EGFR/HER2,25692815,10.1021/np500700z,
EGFR/HER2,25822739,10.1021/jm501759m,
EGFR/HER2,25455409,10.1021/np500760v,
EGFR/HER2,26099538,10.1016/j.bmcl.2015.06.001,
EGFR/HER2,26455654,10.1016/j.bmc.2015.09.038,
EGFR/HER2,26288266,10.1021/acs.jmedchem.5b00446,
EGFR/HER2,26711147,10.1016/j.bmcl.2015.12.006,
EGFR/HER2,27109867,10.1021/acs.jmedchem.6b00211,
EGFR/HER2,28280261,10.1038/nrd.2016.266,
EGFR/HER2,,,US-9187470-B2
EGFR/HER2,28009172,10.1021/acs.jnatprod.6b00698,
EGFR/HER2,28291685,10.1016/j.bmc.2017.02.065,
EGFR/HER2,28834431,10.1021/acs.jmedchem.7b00745,
EGFR/HER2,28613871,10.1021/acs.jmedchem.6b01647,
EGFR/HER2,29541362,10.1021/acsmedchemlett.7b00477,
EGFR/HER2,,10.21203/rs.3.rs-23951/v1,
EGFR/HER2,30253095,10.1021/acs.jmedchem.8b01248,
EGFR/HER2,31520926,10.1016/j.ejmech.2019.111684,
EGFR/HER2,31702918,10.1021/acs.jmedchem.9b01227,
EGFR/HER2,31445234,10.1016/j.ejmech.2019.111624,
EGFR/HER2,31096153,10.1016/j.ejmech.2019.04.035,
EGFR/HER2,29763564,10.1021/acs.jmedchem.7b00967,
EGFR/HER2,30792101,10.1016/j.bmc.2019.02.027,
EGFR/HER2,,10.6019/chembl4495564,
EGFR/HER2,,10.6019/chembl4495565,
EGFR/HER2,30978288,10.1021/acs.jmedchem.9b00058,
EGFR/HER2,,10.6019/chembl4651402,
EGFR/HER2,29937980,10.1021/acsmedchemlett.8b00081,
EGFR/HER2,,10.6019/chembl4689842,
EGFR/HER2,33601311,10.1016/j.ejmech.2021.113277,
EGFR/HER2,,10.6019/chembl4808148,
EGFR/HER2,,10.6019/chembl5096127,
EGFR/HER2,35576655,10.1016/j.bmc.2022.116811,
EGFR/HER2,33539089,10.1021/acs.jmedchem.0c01467,
EGFR/HER2,33970631,10.1021/acs.jmedchem.1c00302,
EGFR/HER2,34081439,10.1021/acs.jmedchem.1c00335,
EGFR/HER2,,10.6019/chembl5209801,
EGFR/HER2,36490325,10.1021/acs.jmedchem.2c00799,
EGFR/HER2,34213340,10.1021/acs.jmedchem.1c00790,
EGFR/HER2,27559828,10.1021/acs.jmedchem.6b00438,
EGFR/HER2,37857324,10.1021/acs.jmedchem.3c00593,
EGFR/HER2,,10.6019/chembl5442687,
EGFR/HER2,37722288,10.1016/j.ejmech.2023.115817,
EGFR/HER2,38157838,10.1016/j.bmc.2023.117561,
EGFR/HER2,38964974,10.1016/j.bmc.2024.117788,
EGFR/HER2,37531744,10.1016/j.ejmech.2023.115683,
EGFR/HER2,,10.6019/chembl5665443,
EGFR/HER2,31937753,10.1038/s41467-019-14083-4,
EGFR/HER2,22198732,10.1038/nchembio.761,
EGFR/HER2,25075558,10.1021/jm500480k,
EGFR/HER2,26254279,10.18632/oncotarget.4214,
EGFR/HER2,,,US-10865384-B2
EGFR/HER2,39406118,10.1016/j.ejmech.2024.116950,
EGFR/HER2,3302258,10.1021/jm00391a037,
EGFR/HER2,11728183,10.1021/jm010960b,
EGFR/HER2,4020834,10.1021/jm00146a028,
EGFR/HER2,1433223,10.1021/jm00100a030,
EGFR/HER2,8336342,10.1021/jm00066a014,
EGFR/HER2,6298430,10.1021/jm00357a023,
EGFR/HER2,6834379,10.1021/jm00358a003,
EGFR/HER2,14521410,10.1021/jm030191r,
EGFR/HER2,15055987,10.1021/jm0499716,
EGFR/HER2,14698156,10.1016/j.bmcl.2003.11.004,
EGFR/HER2,10956200,10.1021/jm0000822,
EGFR/HER2,3546691,10.1021/jm00386a019,
EGFR/HER2,3302257,10.1021/jm00391a014,
EGFR/HER2,6834396,10.1021/jm00358a032,
EGFR/HER2,11448232,10.1021/jm0100990,
EGFR/HER2,3309312,10.1021/jm00393a005,
EGFR/HER2,12773039,10.1021/jm020576u,
EGFR/HER2,12699389,10.1021/jm021012t,
EGFR/HER2,14741287,10.1016/j.bmcl.2003.11.018,
EGFR/HER2,7310826,10.1021/jm00144a024,
EGFR/HER2,15686890,10.1016/j.bmcl.2004.12.050,
EGFR/HER2,15261267,10.1016/j.bmcl.2004.06.014,
EGFR/HER2,16464586,10.1016/j.bmcl.2006.01.080,
EGFR/HER2,16824761,10.1016/j.bmcl.2006.06.027,
EGFR/HER2,17263523,10.1021/jm061429p,
EGFR/HER2,17158937,10.1128/aac.01510-06,
EGFR/HER2,17447748,10.1021/jm061317y,
EGFR/HER2,17129641,10.1016/j.ejmech.2006.10.003,
EGFR/HER2,17189664,10.1016/j.ejmech.2006.09.023,
EGFR/HER2,17489580,10.1021/jm061349l,
EGFR/HER2,17337097,10.1016/j.ejmech.2007.01.022,
EGFR/HER2,17350734,10.1016/j.ejmech.2007.01.011,
EGFR/HER2,17493808,10.1016/j.bmcl.2007.04.077,
EGFR/HER2,17560783,10.1016/j.bmcl.2007.05.078,
EGFR/HER2,18232633,10.1021/jm070663s,
EGFR/HER2,18278860,10.1021/jm701247k,
EGFR/HER2,17194716,10.1124/dmd.106.013888,
EGFR/HER2,17200113,10.1074/jbc.m610346200,
EGFR/HER2,18672374,10.1016/j.bmc.2008.06.035,
EGFR/HER2,19113955,10.1021/jm801352s,
EGFR/HER2,19027297,10.1016/j.bmcl.2008.11.001,
EGFR/HER2,18417256,10.1016/j.ejmech.2008.02.038,
EGFR/HER2,19282171,10.1016/j.bmcl.2009.02.077,
EGFR/HER2,18457386,10.1021/jm7015683,
EGFR/HER2,18788725,10.1021/jm8003152,
EGFR/HER2,17988765,10.1016/j.ejmech.2007.09.017,
EGFR/HER2,18973326,10.1021/jm800337r,
EGFR/HER2,18983136,10.1021/jm800731b,
EGFR/HER2,19299129,10.1016/j.bmcl.2009.02.101,
EGFR/HER2,17620378,10.1128/aac.00654-07,
EGFR/HER2,2509636,10.1021/np50064a022,
EGFR/HER2,18718695,10.1016/j.ejmech.2008.07.004,
EGFR/HER2,12193012,10.1021/np0201523,
EGFR/HER2,16499319,10.1021/np050372r,
EGFR/HER2,18656986,10.1021/np800142n,
EGFR/HER2,19251421,10.1016/j.bmc.2009.02.004,
EGFR/HER2,18760508,10.1016/j.ejmech.2008.07.012,
EGFR/HER2,19128860,10.1016/j.ejmech.2008.12.004,
EGFR/HER2,19168262,10.1016/j.ejmech.2008.12.019,
EGFR/HER2,19700225,10.1016/j.ejmech.2009.07.003,
EGFR/HER2,18579783,10.1073/pnas.0802982105,
EGFR/HER2,19962890,10.1016/j.bmcl.2009.10.026,
EGFR/HER2,20180535,10.1021/jm901613f,
EGFR/HER2,20106559,10.1016/j.ejmech.2009.12.023,
EGFR/HER2,20413308,10.1016/j.bmcl.2010.03.113,
EGFR/HER2,18223646,10.1038/nchembio.65,
EGFR/HER2,20705370,10.1016/j.ejmech.2010.07.036,
EGFR/HER2,17417631,10.1038/nchembio873,
EGFR/HER2,19734910,10.1038/nchembio.215,
EGFR/HER2,20813527,10.1016/j.bmcl.2010.08.060,
EGFR/HER2,20739103,10.1016/j.ejmech.2010.07.050,
EGFR/HER2,18694951,10.1128/aac.00517-08,
EGFR/HER2,20801553,10.1016/j.ejmech.2010.08.007,
EGFR/HER2,20970223,10.1016/j.ejmech.2010.10.001,
EGFR/HER2,19380598,10.1128/aac.01384-08,
EGFR/HER2,21084135,10.1016/j.ejmech.2010.10.027,
EGFR/HER2,19786608,10.1128/aac.00803-09,
EGFR/HER2,20547793,10.1128/aac.00303-10,
EGFR/HER2,21185109,10.1016/j.ejmech.2010.11.036,
EGFR/HER2,21211971,10.1016/j.bmcl.2010.12.024,
EGFR/HER2,19075057,10.1128/aac.01237-08,
EGFR/HER2,21185626,10.1016/j.ejmech.2010.11.042,
EGFR/HER2,20660663,10.1128/aac.00316-10,
EGFR/HER2,20733039,10.1128/aac.00348-10,
EGFR/HER2,20733045,10.1128/aac.00349-10,
EGFR/HER2,20553011,10.1021/tx1000865,
EGFR/HER2,20843939,10.1124/dmd.110.035113,
EGFR/HER2,20014752,10.1021/tx900326k,
EGFR/HER2,22096101,10.1126/science.1211936,
EGFR/HER2,21514980,10.1016/j.ejmech.2011.03.063,
EGFR/HER2,21570162,10.1016/j.ejmech.2011.04.036,
EGFR/HER2,21542602,10.1021/np200120d,
EGFR/HER2,21840088,10.1016/j.ejmech.2011.07.035,
EGFR/HER2,21849221,10.1016/j.ejmech.2011.08.003,
EGFR/HER2,21890245,10.1016/j.ejmech.2011.08.018,
EGFR/HER2,21937152,10.1016/j.ejmech.2011.09.007,
EGFR/HER2,21624500,10.1016/j.drudis.2011.05.007,
EGFR/HER2,22194678,10.1371/journal.pcbi.1002310,
EGFR/HER2,22365752,10.1016/j.bmcl.2012.01.067,
EGFR/HER2,22560629,10.1016/j.ejmech.2012.04.006,
EGFR/HER2,22846796,10.1016/j.ejmech.2012.07.029,
EGFR/HER2,22931300,10.1021/tx300075j,
EGFR/HER2,11297522,10.1074/jbc.m010173200,
EGFR/HER2,8632764,10.1016/s0026-895x(25)08713-9,
EGFR/HER2,11836020,10.1016/s0300-483x(01)00570-4,
EGFR/HER2,14570758,10.1124/dmd.31.11.1296,
EGFR/HER2,8917702,10.1006/taap.1996.0286,
EGFR/HER2,12235267,10.1124/jpet.102.037549,
EGFR/HER2,11961113,10.1124/mol.61.5.964,
EGFR/HER2,22939606,10.1016/j.ejmech.2012.07.022,
EGFR/HER2,22541068,10.1021/jm300212s,
EGFR/HER2,22882119,10.1021/jm3006096,
EGFR/HER2,22783984,10.1021/jm300802s,
EGFR/HER2,23122865,10.1016/j.bmcl.2012.10.010,
EGFR/HER2,,10.1007/s00044-011-9753-7,
EGFR/HER2,,10.1007/s00044-011-9708-z,
EGFR/HER2,,10.1007/s00044-011-9802-2,
EGFR/HER2,,10.1007/s00044-011-9811-1,
EGFR/HER2,,10.1007/s00044-011-9612-6,
EGFR/HER2,,10.1007/s00044-011-9644-y,
EGFR/HER2,,10.1007/s00044-011-9687-0,
EGFR/HER2,,10.1007/s00044-010-9328-z,
EGFR/HER2,,10.1007/s00044-010-9360-z,
EGFR/HER2,,10.1007/s00044-009-9288-3,
EGFR/HER2,,10.1007/s00044-010-9394-2,
EGFR/HER2,,10.1007/s00044-007-9047-2,
EGFR/HER2,,10.1007/s00044-007-9054-3,
EGFR/HER2,,10.1007/s00044-009-9191-y,
EGFR/HER2,,10.1007/s00044-012-0063-5,
EGFR/HER2,,10.1007/s00044-012-0076-0,
EGFR/HER2,,10.1007/s00044-012-0129-4,
EGFR/HER2,,10.1007/s00044-012-0135-6,
EGFR/HER2,,10.1007/s00044-012-0259-8,
EGFR/HER2,,10.1007/s00044-012-0324-3,
EGFR/HER2,,10.1007/s00044-012-0337-y,
EGFR/HER2,,10.1007/s00044-012-0255-z,
EGFR/HER2,23437772,10.1021/jm301749y,
EGFR/HER2,23416189,10.1016/j.ejmech.2013.01.025,
EGFR/HER2,23433667,10.1016/j.bmc.2013.01.041,
EGFR/HER2,23688559,10.1016/j.bmc.2013.04.069,
EGFR/HER2,23702472,10.1016/j.ejmech.2013.04.042,
EGFR/HER2,23811259,10.1016/j.ejmech.2013.05.038,
EGFR/HER2,23792351,10.1016/j.ejmech.2013.05.039,
EGFR/HER2,23811090,10.1016/j.ejmech.2013.05.028,
EGFR/HER2,23973821,10.1016/j.ejmech.2013.07.024,
EGFR/HER2,,10.1007/s00044-013-0857-0,
EGFR/HER2,,10.1007/s00044-013-0761-7,
EGFR/HER2,23927763,10.1021/jm4004279,
EGFR/HER2,24900592,10.1021/ml4002248,
EGFR/HER2,24112024,10.1021/jm4009357,
EGFR/HER2,23571415,10.1124/mol.112.084152,
EGFR/HER2,24184775,10.1016/j.ejmech.2013.09.003,
EGFR/HER2,24304219,10.1021/jm401497a,
EGFR/HER2,24583356,10.1016/j.ejmech.2014.02.027,
EGFR/HER2,15646539,10.1016/s0399-8320(04)95062-2,
EGFR/HER2,,10.1039/c2md20109g,
EGFR/HER2,357722,10.1021/jm00206a028,
EGFR/HER2,24992075,10.1016/j.ejmech.2014.06.048,
EGFR/HER2,25096298,10.1016/j.bmcl.2014.07.030,
EGFR/HER2,25038485,10.1016/j.ejmech.2014.07.042,
EGFR/HER2,,10.6019/chembl3392926,
EGFR/HER2,25740159,10.1016/j.bmcl.2015.02.013,
EGFR/HER2,25969171,10.1016/j.ejmech.2015.05.002,
EGFR/HER2,22761000,10.1002/jat.2784,
EGFR/HER2,22328583,10.1124/dmd.111.043505,
EGFR/HER2,,10.1039/c4md00257a,
EGFR/HER2,26562544,10.1016/j.ejmech.2015.10.048,
EGFR/HER2,26717202,10.1016/j.ejmech.2015.12.018,
EGFR/HER2,26789657,10.1021/acs.jmedchem.5b01696,
EGFR/HER2,26881456,10.1021/acs.jmedchem.5b01264,
EGFR/HER2,27002486,10.1021/acs.jmedchem.6b00007,
EGFR/HER2,27100030,10.1016/j.ejmech.2016.04.012,
EGFR/HER2,27554444,10.1016/j.bmcl.2016.08.022,
EGFR/HER2,27856238,10.1016/j.bmc.2016.11.007,
EGFR/HER2,27889456,10.1016/j.bmcl.2016.11.032,
EGFR/HER2,,10.6019/chembl3885881,
EGFR/HER2,,,US-9138393-B2
EGFR/HER2,27894044,10.1016/j.ejmech.2016.11.019,
EGFR/HER2,28230985,10.1021/acs.jmedchem.6b01317,
EGFR/HER2,24799086,10.1002/hep.27206,
EGFR/HER2,22961681,10.1124/dmd.112.047068,
EGFR/HER2,26948801,10.1016/j.drudis.2016.02.015,
EGFR/HER2,29185746,10.1021/acs.jmedchem.7b01562,
EGFR/HER2,28456033,10.1016/j.ejmech.2017.04.044,
EGFR/HER2,29920099,10.1021/acs.jnatprod.7b00816,
EGFR/HER2,29273417,10.1016/j.bmc.2017.10.012,
EGFR/HER2,29317147,10.1016/j.bmc.2017.12.049,
EGFR/HER2,28963991,10.1016/j.ejmech.2017.09.026,
EGFR/HER2,29499486,10.1016/j.ejmech.2018.01.082,
EGFR/HER2,29274492,10.1016/j.ejmech.2017.12.020,
EGFR/HER2,,10.1101/2020.04.03.023846,
EGFR/HER2,31605865,10.1016/j.ejmech.2019.111744,
EGFR/HER2,31288127,10.1016/j.ejmech.2019.07.003,
EGFR/HER2,31550150,10.1021/acs.jmedchem.9b01318,
EGFR/HER2,31411465,10.1021/acs.jmedchem.9b00723,
EGFR/HER2,30904780,10.1016/j.ejmech.2019.03.023,
EGFR/HER2,31074269,10.1021/acs.jmedchem.9b00258,
EGFR/HER2,32030976,10.1021/acs.jmedchem.9b01509,
EGFR/HER2,,,US-20170182047-A9
EGFR/HER2,,,WO-2014018375-A1
EGFR/HER2,,,US-8409550-B2
EGFR/HER2,31257085,10.1016/j.bmcl.2019.06.040,
EGFR/HER2,27397500,10.1016/j.bmcl.2016.06.088,
EGFR/HER2,30837169,10.1016/j.bmc.2019.02.051,
EGFR/HER2,,10.6019/chembl4513141,
EGFR/HER2,32119543,10.1021/acs.jnatprod.9b01066,
EGFR/HER2,33479627,10.1039/c9md00479c,
EGFR/HER2,27720324,10.1016/j.bmc.2016.09.064,
EGFR/HER2,33861594,10.1021/acs.jnatprod.0c01308,
EGFR/HER2,33784097,10.1021/acs.jmedchem.0c02129,
EGFR/HER2,34812616,10.1021/acs.jmedchem.1c01547,
EGFR/HER2,,,US-11185548-B2
EGFR/HER2,35567964,10.1016/j.ejmech.2022.114438,
EGFR/HER2,35065413,10.1016/j.ejmech.2022.114105,
EGFR/HER2,35271771,10.1021/acs.jnatprod.1c01035,
EGFR/HER2,34217061,10.1016/j.ejmech.2021.113621,
EGFR/HER2,30312931,10.1016/j.ejmech.2018.09.055,
EGFR/HER2,34003642,10.1021/acs.jmedchem.0c02245,
EGFR/HER2,27437828,10.1021/acs.jmedchem.6b00305,
EGFR/HER2,37468498,10.1038/s41467-023-40064-9,
EGFR/HER2,,10.6019/chembl5303304,
EGFR/HER2,,10.6019/chembl5308504,
EGFR/HER2,36577217,10.1016/j.ejmech.2022.115026,
EGFR/HER2,37526586,10.1021/acs.jnatprod.3c00144,
EGFR/HER2,38116435,10.1021/acsmedchemlett.3c00406,
EGFR/HER2,38318365,10.1016/j.isci.2024.108907,
EGFR/HER2,38683753,10.1021/acs.jmedchem.4c00303,
EGFR/HER2,39563813,10.1021/acsmedchemlett.4c00416,
EGFR/HER2,39818112,10.1016/j.bmc.2025.118069,
EGFR/HER2,39999647,10.1016/j.bmc.2024.118051,
EGFR/HER2,39948695,10.1021/acs.jnatprod.4c00834,
EGFR/HER2,19815412,10.1016/j.bmcl.2009.09.038,
EGFR/HER2,20166736,10.1021/np900539j,
EGFR/HER2,31494475,10.1016/j.ejmech.2019.111664,
EGFR/HER2,36496202,10.1016/j.bmcl.2022.129102,
EGFR/HER2,14561085,10.1021/jm030065n,
EGFR/HER2,7902440,10.1021/jm00075a010,
EGFR/HER2,34844036,10.1016/j.bmc.2021.116521,
EGFR/HER2,20817523,10.1016/j.bmcl.2010.08.052,
EGFR/HER2,,10.1007/s00044-011-9877-9,
EGFR/HER2,22003817,10.1021/jm2008634,
EGFR/HER2,22980219,10.1016/j.bmc.2012.08.002,
EGFR/HER2,24900643,10.1021/ml300327z,
EGFR/HER2,23490150,10.1016/j.bmc.2013.02.014,
EGFR/HER2,26475520,10.1016/j.bmcl.2015.10.003,
EGFR/HER2,29191878,10.1126/science.aan4368,
EGFR/HER2,28787156,10.1021/acs.jmedchem.7b00794,
EGFR/HER2,32931277,10.1021/acs.jmedchem.0c00870,
EGFR/HER2,27414067,10.1021/acs.jmedchem.6b00618,
EGFR/HER2,,10.6019/eos300033,
EGFR/HER2,,10.6019/eos300108,
EGFR/HER2,21177105,10.1016/j.bmcl.2010.11.100,
EGFR/HER2,21334203,10.1016/j.bmcl.2011.01.119,
EGFR/HER2,15715478,10.1021/jm040159c,
EGFR/HER2,17416531,10.1016/j.bmc.2007.03.055,
EGFR/HER2,18077425,10.1073/pnas.0707498104,
EGFR/HER2,19028424,10.1016/j.bmcl.2008.11.023,
EGFR/HER2,19239229,10.1021/jm8010542,
EGFR/HER2,22227214,10.1016/j.bmcl.2011.12.067,
EGFR/HER2,23602524,10.1016/j.bmc.2013.03.053,
EGFR/HER2,23930994,10.1021/jm400822z,
EGFR/HER2,24517277,10.1021/jm401719n,
EGFR/HER2,26256032,10.1016/j.ejmech.2015.07.030,
EGFR/HER2,23956101,10.1093/toxsci/kft176,
EGFR/HER2,28282122,10.1021/acs.jmedchem.6b01907,
EGFR/HER2,,10.1101/2020.04.21.054387,
EGFR/HER2,31550151,10.1021/acs.jmedchem.9b00640,
EGFR/HER2,31023512,10.1016/j.bmcl.2019.04.029,
EGFR/HER2,30973735,10.1021/acs.jmedchem.9b00350,
EGFR/HER2,33314925,10.1021/acs.jmedchem.0c01647,
EGFR/HER2,34015505,10.1016/j.bmcl.2021.128118,
EGFR/HER2,34749202,10.1016/j.ejmech.2021.113963,
EGFR/HER2,35439421,10.1021/acs.jmedchem.1c02134,
EGFR/HER2,35319895,10.1021/acs.jmedchem.1c00710,
EGFR/HER2,34778767,10.1039/d1md00131k,
EGFR/HER2,36265280,10.1016/j.ejmech.2022.114847,
EGFR/HER2,36332549,10.1016/j.ejmech.2022.114861,
EGFR/HER2,30108900,10.1039/c7md00510e,
EGFR/HER2,37098296,10.1016/j.ejmech.2023.115404,
EGFR/HER2,38422480,10.1021/acs.jmedchem.3c02217,
EGFR/HER2,38134304,10.1021/acs.jmedchem.3c01502,
EGFR/HER2,38518121,10.1021/acs.jmedchem.3c02302,
EGFR/HER2,38870832,10.1016/j.ejmech.2024.116561,
EGFR/HER2,37506545,10.1016/j.ejmech.2023.115675,
EGFR/HER2,20033049,10.1038/nature08622,
EGFR/HER2,,,US-10822334-B2
EGFR/HER2,39059182,10.1016/j.ejmech.2024.116702,
EGFR/HER2,39236467,10.1016/j.bmc.2024.117902,
EGFR/HER2,39626019,10.1021/acs.jmedchem.4c02311,
EGFR/HER2,39674380,10.1016/j.bmcl.2024.130069,
EGFR/HER2,39832390,10.1016/j.ejmech.2025.117287,
EGFR/HER2,21958547,10.1016/j.bmcl.2011.09.008,
EGFR/HER2,22394077,10.1021/jm300035p,
EGFR/HER2,22621397,10.1021/jm3003203,
EGFR/HER2,24915291,10.1021/jm4017762,
EGFR/HER2,25222877,10.1016/j.ejmech.2014.09.018,
EGFR/HER2,26258521,10.1021/acs.jmedchem.5b00710,
EGFR/HER2,26277759,10.1016/j.bmc.2015.05.043,
EGFR/HER2,26344595,10.1016/j.bmc.2015.08.039,
EGFR/HER2,,,US-8476284-B2
EGFR/HER2,26630553,10.1021/acs.jmedchem.5b01611,
EGFR/HER2,27210433,10.1016/j.bmcl.2016.05.014,
EGFR/HER2,27077228,10.1021/acs.jmedchem.6b00400,
EGFR/HER2,27994736,10.1021/acsmedchemlett.6b00235,
EGFR/HER2,27956037,10.1016/j.bmc.2016.11.054,
EGFR/HER2,,,US-8497277-B2
EGFR/HER2,,,US-9108973-B2
EGFR/HER2,,,US-9133201-B2
EGFR/HER2,,,US-9181263-B2
EGFR/HER2,,,US-9278100-B2
EGFR/HER2,27912175,10.1016/j.ejmech.2016.11.047,
EGFR/HER2,28945083,10.1021/acs.jmedchem.7b01075,
EGFR/HER2,29457982,10.1021/acs.jmedchem.7b01712,
EGFR/HER2,28315597,10.1016/j.ejmech.2017.03.001,
EGFR/HER2,29172502,10.1021/acs.jmedchem.7b01290,
EGFR/HER2,28858511,10.1021/acs.jmedchem.7b00916,
EGFR/HER2,28956923,10.1021/acs.jmedchem.7b00840,
EGFR/HER2,28274675,10.1016/j.bmc.2017.02.054,
EGFR/HER2,28853575,10.1021/acs.jmedchem.7b00515,
EGFR/HER2,28337328,10.1021/acsmedchemlett.7b00008,
EGFR/HER2,28432946,10.1016/j.ejmech.2017.04.037,
