document_chembl_id,audit_tier,source_type,title,journal,year,pubmed_id,doi,patent_id,publication_types,direct_url,chembl_url,pairs,ligands,targets,assay_chembl_ids,n_activity_rows,review_trigger
CHEMBL1134843,mandatory_first_pass,article_unclassified,"Tyrosine kinase inhibitors. 18. 6-Substituted 4-anilinoquinazolines and 4-anilinopyrido[3,4-d]pyrimidines as soluble, irreversible inhibitors of the epidermal growth factor receptor.",Journal of medicinal chemistry,2001,11462982,10.1021/jm000372i,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm000372i,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1134843,EGFR/HER2,EH120_055,EGFR,CHEMBL673925;CHEMBL677216,2,always_review_now
CHEMBL1134862,mandatory_first_pass,article_unclassified,"Rational design of 4,5-disubstituted-5,7-dihydro-pyrrolo[2,3-d]pyrimidin-6-ones as a novel class of inhibitors of epidermal growth factor receptor (EGF-R) and Her2(p185(erbB)) tyrosine kinases.",Bioorganic & medicinal chemistry letters,2002,12127526,10.1016/s0960-894x(02)00364-5,,Journal Article,https://doi.org/10.1016/s0960-894x(02)00364-5,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1134862,EGFR/HER2,EH120_059,EGFR;HER2,CHEMBL615491;CHEMBL674637,2,always_review_now
CHEMBL1135324,conditional_follow_up,article_unclassified,Quaternary salts of E2020 analogues as acetylcholinesterase inhibitors for the reversal of neuromuscular block.,Bioorganic & medicinal chemistry letters,2002,12182861,10.1016/s0960-894x(02)00482-1,,Journal Article,https://doi.org/10.1016/s0960-894x(02)00482-1,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1135324,AChE/BChE,AB_018,AChE,CHEMBL684541,1,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1135547,conditional_follow_up,article_unclassified,"Anticholinesterase activity of compounds related to geneserine tautomers. N-Oxides and 1,2-oxazines.",Journal of medicinal chemistry,2002,12166941,10.1021/jm010491d,,Journal Article,https://doi.org/10.1021/jm010491d,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1135547,AChE/BChE,AB_018,AChE;BChE,CHEMBL644832;CHEMBL654402,2,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1135689,conditional_follow_up,article_unclassified,Anthranilic acid amides: a novel class of antiangiogenic VEGF receptor kinase inhibitors.,Journal of medicinal chemistry,2002,12477352,10.1021/jm020899q,,Journal Article,https://doi.org/10.1021/jm020899q,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1135689,EGFR/HER2,EH120_060,EGFR,CHEMBL677882;CHEMBL677883,2,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1135763,mandatory_first_pass,article_unclassified,"Discovery of aminothiazole inhibitors of cyclin-dependent kinase 2: synthesis, X-ray crystallographic analysis, and biological activities.",Journal of medicinal chemistry,2002,12190313,10.1021/jm0201520,,Journal Article,https://doi.org/10.1021/jm0201520,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1135763,EGFR/HER2,EH40_27,EGFR;HER2,CHEMBL677888;CHEMBL683805,2,always_review_now
CHEMBL1135889,conditional_follow_up,article_unclassified,"Novel 4-anilinoquinazolines with C-7 basic side chains: design and structure activity relationship of a series of potent, orally active, VEGF receptor tyrosine kinase inhibitors.",Journal of medicinal chemistry,2002,11881999,10.1021/jm011022e,,Journal Article,https://doi.org/10.1021/jm011022e,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1135889,EGFR/HER2,EH120_060,EGFR,CHEMBL677388;CHEMBL691873,2,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1136484,mandatory_first_pass,article_unclassified,3D-QSAR studies on natural acetylcholinesterase inhibitors of Sarcococca saligna by comparative molecular field analysis (CoMFA).,Bioorganic & medicinal chemistry letters,2003,14643329,10.1016/j.bmcl.2003.09.034,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1016/j.bmcl.2003.09.034,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1136484,AChE/BChE,AB_087,AChE,CHEMBL641237,1,always_review_now
CHEMBL1136802,mandatory_first_pass,article_unclassified,Receptor-guided alignment-based comparative 3D-QSAR studies of benzylidene malonitrile tyrphostins as EGFR and HER-2 kinase inhibitors.,Journal of medicinal chemistry,2003,14561085,10.1021/jm030065n,,Comparative Study;Journal Article,https://doi.org/10.1021/jm030065n,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1136802,EGFR/HER2,EH120_067;EH120_094;EH40_40,EGFR;HER2,CHEMBL676067;CHEMBL769140,4,always_review_now
CHEMBL1137325,conditional_follow_up,article_unclassified,Multitarget-directed drug design strategy: a novel molecule designed to block epidermal growth factor receptor (EGFR) and to exert proapoptotic effects.,Journal of medicinal chemistry,2006,17154492,10.1021/jm0608762,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm0608762,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1137325,EGFR/HER2,EH120_054,EGFR,CHEMBL908277,1,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1138126,mandatory_first_pass,article_unclassified,"Tyrosine kinase inhibitors. 19. 6-Alkynamides of 4-anilinoquinazolines and 4-anilinopyrido[3,4-d]pyrimidines as irreversible inhibitors of the erbB family of tyrosine kinase receptors.",Journal of medicinal chemistry,2006,16480284,10.1021/jm050936o,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm050936o,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1138126,EGFR/HER2,EH120_044;EH120_048;EH120_049;EH120_052,EGFR;HER2,CHEMBL862512;CHEMBL862513;CHEMBL862515;CHEMBL862521;CHEMBL862531,17,always_review_now
CHEMBL1139130,mandatory_first_pass,article_unclassified,New C-5 substituted pyrrolotriazine dual inhibitors of EGFR and HER2 protein tyrosine kinases.,Bioorganic & medicinal chemistry letters,2007,17270437,10.1016/j.bmcl.2007.01.002,,Journal Article,https://doi.org/10.1016/j.bmcl.2007.01.002,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1139130,EGFR/HER2,EH40_32,EGFR;HER2,CHEMBL903493;CHEMBL903494,2,always_review_now
CHEMBL1139297,mandatory_first_pass,article_unclassified,"Synthesis and stereochemical effects of pyrrolidinyl-acetylenic thieno[3,2-d]pyrimidines as EGFR and ErbB-2 inhibitors.",Bioorganic & medicinal chemistry letters,2009,19028424,10.1016/j.bmcl.2008.11.023,,Journal Article,https://doi.org/10.1016/j.bmcl.2008.11.023,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1139297,EGFR/HER2,EH120_047,EGFR;HER2,CHEMBL1009318;CHEMBL1009319,2,always_review_now
CHEMBL1139709,conditional_follow_up,article_unclassified,6-Hydroxy- and 6-methoxy-beta-carbolines as acetyl- and butyrylcholinesterase inhibitors.,Bioorganic & medicinal chemistry letters,2006,16945529,10.1016/j.bmcl.2006.08.067,,"Comparative Study;Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1016/j.bmcl.2006.08.067,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1139709,AChE/BChE,AB_018,AChE;BChE,CHEMBL911302;CHEMBL911303,4,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1140078,conditional_follow_up,article_unclassified,"The identification of 2-(1H-indazol-4-yl)-6-(4-methanesulfonyl-piperazin-1-ylmethyl)-4-morpholin-4-yl-thieno[3,2-d]pyrimidine (GDC-0941) as a potent, selective, orally bioavailable inhibitor of class I PI3 kinase for the treatment of cancer .",Journal of medicinal chemistry,2008,18754654,10.1021/jm800295d,,Journal Article,https://doi.org/10.1021/jm800295d,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1140078,PIK3CA/mTOR,PM48_05,PIK3CA;mTOR,CHEMBL967868;CHEMBL967881;CHEMBL980850;CHEMBL980857,5,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1140398,mandatory_first_pass,article_unclassified,New dual inhibitors of EGFR and HER2 protein tyrosine kinases.,Bioorganic & medicinal chemistry letters,2005,16111887,10.1016/j.bmcl.2005.07.027,,Journal Article,https://doi.org/10.1016/j.bmcl.2005.07.027,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1140398,EGFR/HER2,EH120_075;EH120_079;EH40_08;EH40_26,EGFR;HER2,CHEMBL873517;CHEMBL880259;CHEMBL881943;CHEMBL884054,10,always_review_now
CHEMBL1140495,mandatory_first_pass,article_unclassified,"Neutral 5-substituted 4-anilinoquinazolines as potent, orally active inhibitors of erbB2 receptor tyrosine kinase.",Bioorganic & medicinal chemistry letters,2007,17869514,10.1016/j.bmcl.2007.08.073,,Journal Article,https://doi.org/10.1016/j.bmcl.2007.08.073,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1140495,EGFR/HER2,EH120_090,EGFR;HER2,CHEMBL924155;CHEMBL924156;CHEMBL924157,3,always_review_now
CHEMBL1140899,conditional_follow_up,article_unclassified,"Computational studies of epidermal growth factor receptor: docking reliability, three-dimensional quantitative structure-activity relationship analysis, and virtual screening studies.",Journal of medicinal chemistry,2009,19170633,10.1021/jm800829v,,"Journal Article;Research Support, N.I.H., Extramural",https://doi.org/10.1021/jm800829v,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1140899,EGFR/HER2,EH40_02,EGFR,CHEMBL944276,1,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1141048,mandatory_first_pass,article_unclassified,"5-Substituted 4-anilinoquinazolines as potent, selective and orally active inhibitors of erbB2 receptor tyrosine kinase.",Bioorganic & medicinal chemistry letters,2005,16055332,10.1016/j.bmcl.2005.06.068,,Journal Article,https://doi.org/10.1016/j.bmcl.2005.06.068,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1141048,EGFR/HER2,EH120_091;EH120_097,EGFR;HER2,CHEMBL881949;CHEMBL881955,4,always_review_now
CHEMBL1141279,conditional_follow_up,article_unclassified,Benzylphenethylamine alkaloids from Hosta plantaginea with inhibitory activity against tobacco mosaic virus and acetylcholinesterase.,Journal of natural products,2007,17822295,10.1021/np0702077,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/np0702077,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1141279,AChE/BChE,AB_018,AChE,CHEMBL925438,1,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1141539,mandatory_first_pass,article_unclassified,"Neutral 5-substituted 4-indazolylaminoquinazolines as potent, orally active inhibitors of erbB2 receptor tyrosine kinase.",Bioorganic & medicinal chemistry letters,2008,18313293,10.1016/j.bmcl.2008.02.035,,Journal Article,https://doi.org/10.1016/j.bmcl.2008.02.035,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1141539,EGFR/HER2,EH40_12,EGFR;HER2,CHEMBL928909;CHEMBL928912;CHEMBL928913,3,always_review_now
CHEMBL1141561,mandatory_first_pass,article_unclassified,"A new series of neutral 5-substituted 4-anilinoquinazolines as potent, orally active inhibitors of erbB2 receptor tyrosine kinase.",Bioorganic & medicinal chemistry letters,2008,18061446,10.1016/j.bmcl.2007.11.052,,Journal Article,https://doi.org/10.1016/j.bmcl.2007.11.052,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1141561,EGFR/HER2,EH120_082;EH120_095,EGFR;HER2,CHEMBL930659;CHEMBL930777;CHEMBL930778,5,always_review_now
CHEMBL1142630,conditional_follow_up,article_unclassified,The application of HPLC with on-line coupled UV/MS-biochemical detection for isolation of an acetylcholinesterase inhibitor from narcissus 'Sir Winston Churchill'.,Journal of natural products,2000,10869205,10.1021/np9905719,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/np9905719,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1142630,AChE/BChE,AB_018,AChE,CHEMBL974116,1,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1142663,mandatory_first_pass,article_unclassified,"Optimization of 6,7-disubstituted-4-(arylamino)quinoline-3-carbonitriles as orally active, irreversible inhibitors of human epidermal growth factor receptor-2 kinase activity.",Journal of medicinal chemistry,2005,15715478,10.1021/jm040159c,,Journal Article,https://doi.org/10.1021/jm040159c,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1142663,EGFR/HER2,EH120_047;EH120_078;EH40_09,EGFR;HER2,CHEMBL873338;CHEMBL874202,6,always_review_now
CHEMBL1143160,mandatory_first_pass,article_unclassified,"Novel 3-alkoxy-1H-pyrazolo[3,4-d]pyrimidines as EGFR and erbB2 receptor tyrosine kinase inhibitors.",Bioorganic & medicinal chemistry letters,2008,18182285,10.1016/j.bmcl.2007.12.035,,Journal Article,https://doi.org/10.1016/j.bmcl.2007.12.035,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1143160,EGFR/HER2,EH40_31,EGFR;HER2,CHEMBL947895;CHEMBL947896,2,always_review_now
CHEMBL1143164,mandatory_first_pass,article_unclassified,Synthesis and structure-activity relationships of ring-opened 17-hydroxywortmannins: potent phosphoinositide 3-kinase inhibitors with improved properties and anticancer efficacy.,Journal of medicinal chemistry,2008,18269228,10.1021/jm7012858,,Journal Article,https://doi.org/10.1021/jm7012858,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1143164,PIK3CA/mTOR,PM48_25,PIK3CA;mTOR,CHEMBL934448;CHEMBL934449,2,always_review_now
CHEMBL1144455,conditional_follow_up,article_unclassified,A small molecule-kinase interaction map for clinical kinase inhibitors.,Nature biotechnology,2005,15711537,10.1038/nbt1068,,Evaluation Study;Journal Article,https://doi.org/10.1038/nbt1068,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1144455,EGFR/HER2,EH120_060;EH120_077;EH40_02,EGFR;HER2,CHEMBL859867;CHEMBL860920,4,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1145020,mandatory_first_pass,article_unclassified,"Synthesis and structure-activity relationships of 6,7-disubstituted 4-anilinoquinoline-3-carbonitriles. The design of an orally active, irreversible inhibitor of the tyrosine kinase activity of the epidermal growth factor receptor (EGFR) and the human epidermal growth factor receptor-2 (HER-2).",Journal of medicinal chemistry,2003,12502359,10.1021/jm020241c,,Journal Article,https://doi.org/10.1021/jm020241c,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1145020,EGFR/HER2,EH120_054;EH120_065;EH120_069,EGFR;HER2,CHEMBL680028;CHEMBL769139,5,always_review_now
CHEMBL1145585,mandatory_first_pass,article_unclassified,Discovery of novel 4-amino-6-arylaminopyrimidine-5-carbaldehyde oximes as dual inhibitors of EGFR and ErbB-2 protein tyrosine kinases.,Bioorganic & medicinal chemistry letters,2008,18508264,10.1016/j.bmcl.2008.05.024,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1016/j.bmcl.2008.05.024,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1145585,EGFR/HER2,EH40_07,EGFR;HER2,CHEMBL934832;CHEMBL934833,2,always_review_now
CHEMBL1145898,mandatory_first_pass,article_unclassified,Molecular docking studies of natural cholinesterase-inhibiting steroidal alkaloids from Sarcococca saligna.,Journal of medicinal chemistry,2003,14584959,10.1021/jm0309194,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm0309194,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1145898,AChE/BChE,AB_087,BChE,CHEMBL651728;CHEMBL654391,2,always_review_now
CHEMBL1146616,conditional_follow_up,article_unclassified,Synthesis and structure-activity relationships of open D-Ring galanthamine analogues.,Bioorganic & medicinal chemistry letters,2003,12824041,10.1016/s0960-894x(03)00397-4,,Journal Article,https://doi.org/10.1016/s0960-894x(03)00397-4,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1146616,AChE/BChE,AB_018,BChE,CHEMBL654405,1,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1146682,conditional_follow_up,article_unclassified,Synthesis and SAR of potent EGFR/erbB2 dual inhibitors.,Bioorganic & medicinal chemistry letters,2004,14684309,10.1016/j.bmcl.2003.10.010,,Journal Article,https://doi.org/10.1016/j.bmcl.2003.10.010,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1146682,EGFR/HER2,EH40_02,EGFR;HER2,CHEMBL674106;CHEMBL682312,2,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1147004,mandatory_first_pass,article_unclassified,Alkynyl pyrimidines as dual EGFR/ErbB2 kinase inhibitors.,Bioorganic & medicinal chemistry letters,2006,16483772,10.1016/j.bmcl.2006.01.111,,Journal Article,https://doi.org/10.1016/j.bmcl.2006.01.111,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1147004,EGFR/HER2,EH120_074,EGFR;HER2,CHEMBL861550;CHEMBL861551,2,always_review_now
CHEMBL1147619,mandatory_first_pass,article_unclassified,"Syntheses and EGFR kinase inhibitory activity of 6-substituted-4-anilino [1,7] and [1,8] naphthyridine-3-carbonitriles.",Bioorganic & medicinal chemistry letters,2004,15006373,10.1016/j.bmcl.2004.01.034,,Journal Article,https://doi.org/10.1016/j.bmcl.2004.01.034,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1147619,EGFR/HER2,EH120_065;EH120_069,EGFR,CHEMBL677384;CHEMBL677385,4,always_review_now
CHEMBL1147965,conditional_follow_up,article_unclassified,Dual irreversible kinase inhibitors: quinazoline-based inhibitors incorporating two independent reactive centers with each targeting different cysteine residues in the kinase domains of EGFR and VEGFR-2.,Bioorganic & medicinal chemistry,2007,17416531,10.1016/j.bmc.2007.03.055,,Journal Article,https://doi.org/10.1016/j.bmc.2007.03.055,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1147965,EGFR/HER2,EH120_047;EH120_054;EH120_060,EGFR,CHEMBL892951;CHEMBL892954,4,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1148382,mandatory_first_pass,article_unclassified,Synthesis and structure-activity relationship for a novel class of potent and selective carbamoyl-triazole based inhibitors of hormone sensitive lipase.,Journal of medicinal chemistry,2004,14711311,10.1021/jm031004s,,Journal Article,https://doi.org/10.1021/jm031004s,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1148382,AChE/BChE,AB_020,AChE;BChE,CHEMBL643384;CHEMBL654878,2,always_review_now
CHEMBL1148814,conditional_follow_up,article_unclassified,Novel class of quinone-bearing polyamines as multi-target-directed ligands to combat Alzheimer's disease.,Journal of medicinal chemistry,2007,17850125,10.1021/jm070559a,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm070559a,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1148814,AChE/BChE,AB_018,AChE;BChE,CHEMBL895407;CHEMBL895408,2,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1149251,conditional_follow_up,article_unclassified,Acetylcholinesterase inhibitory activity of scopolin and scopoletin discovered by virtual screening of natural products.,Journal of medicinal chemistry,2004,15566295,10.1021/jm049655r,,Journal Article,https://doi.org/10.1021/jm049655r,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1149251,AChE/BChE,AB_018,AChE,CHEMBL919956,1,review_if_decisive_source_is_excluded_or_for_all-measurement_sensitivity
CHEMBL1149275,mandatory_first_pass,article_unclassified,Structure-activity relationships of acetylcholinesterase noncovalent inhibitors based on a polyamine backbone. 3. Effect of replacing the inner polymethylene chain with cyclic moieties.,Journal of medicinal chemistry,2004,15588084,10.1021/jm0494366,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm0494366,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1149275,AChE/BChE,AB_040,AChE;BChE,CHEMBL917209;CHEMBL917210,3,always_review_now
