document_chembl_id,pubmed_id,doi,patent_id,year
CHEMBL1156213,20346655,10.1016/j.bmcl.2010.03.015,,2010
CHEMBL1156214,20346656,10.1016/j.bmcl.2010.03.046,,2010
CHEMBL1156263,20092323,10.1021/jm9011142,,2010
CHEMBL1156637,18681480,10.1021/np800305b,,2008
CHEMBL1156800,20025280,10.1021/jm901296p,,2010
CHEMBL1156873,20089401,10.1016/j.bmcl.2009.12.086,,2010
CHEMBL1156886,20095624,10.1021/jm901338g,,2010
CHEMBL1157122,20403693,10.1016/j.bmcl.2010.03.064,,2010
CHEMBL1157126,20403700,10.1016/j.bmc.2010.03.052,,2010
CHEMBL1157563,20143778,10.1021/jm901453q,,2010
CHEMBL1157610,20166697,10.1021/jm901830p,,2010
CHEMBL1157624,20171894,10.1016/j.bmc.2010.01.071,,2010
CHEMBL1157666,19914835,10.1016/j.bmc.2009.10.051,,2010
CHEMBL1157668,19914837,10.1016/j.bmc.2009.10.054,,2010
CHEMBL1157716,20005116,10.1016/j.bmc.2009.11.037,,2010
CHEMBL1157942,16724838,10.1021/np058123q,,2006
CHEMBL1158060,16989531,10.1021/np060268p,,2006
CHEMBL1158598,20483602,10.1016/j.bmcl.2010.04.139,,2010
CHEMBL1201862,,,,
CHEMBL1212808,20081827,10.1038/nchembio.293,,2010
CHEMBL1221246,20655219,10.1016/j.bmcl.2010.06.130,,2010
CHEMBL1240306,16415863,10.1038/nchembio760,,2006
CHEMBL1240340,18849971,10.1038/nchembio.117,,2008
CHEMBL1240341,19039322,10.1038/leu.2008.334,,2009
CHEMBL1240346,19654408,10.1182/blood-2009-05-222034,,2009
CHEMBL1240436,20580136,10.1016/j.ejmech.2010.05.072,,2010
CHEMBL1240490,20684567,10.1021/jm100573q,,2010
CHEMBL1250424,20558072,10.1016/j.bmc.2010.05.049,,2010
CHEMBL1255185,20817523,10.1016/j.bmcl.2010.08.052,,2010
CHEMBL1255226,20860370,10.1021/jm101144f,,2010
CHEMBL1629443,21080629,10.1021/jm100665z,,2010
CHEMBL1641399,21049906,10.1021/np100474y,,2010
CHEMBL1641446,21177105,10.1016/j.bmcl.2010.11.100,,2011
CHEMBL1649337,20954721,10.1021/np100494u,,2010
CHEMBL1667723,21189039,10.1021/np100416v,,2011
CHEMBL1681756,21334203,10.1016/j.bmcl.2011.01.119,,2011
CHEMBL1759974,21376583,10.1016/j.bmcl.2011.02.007,,2011
CHEMBL1759979,21353546,10.1016/j.bmcl.2011.01.137,,2011
CHEMBL1759999,21295380,10.1016/j.ejmech.2011.01.020,,2011
CHEMBL1764969,21429752,10.1016/j.bmc.2011.02.030,,2011
CHEMBL1765054,21322566,10.1021/jm101520v,,2011
CHEMBL1770076,21216144,10.1016/j.bmcl.2010.12.041,,2011
CHEMBL1773070,21397996,10.1016/j.ejmech.2011.02.019,,2011
CHEMBL1781893,21435752,10.1016/j.ejmech.2011.02.073,,2011
CHEMBL1781988,21459491,10.1016/j.ejmech.2011.02.071,,2011
CHEMBL1795334,17689836,10.1016/j.ejmech.2007.06.006,,2008
CHEMBL1800032,20561789,10.1016/j.bmcl.2010.05.099,,2010
CHEMBL1806392,21126060,10.1021/np100668s,,2011
CHEMBL1806467,21763134,10.1016/j.bmcl.2011.06.063,,2011
CHEMBL1833829,21873056,10.1016/j.bmcl.2011.07.091,,2011
CHEMBL1908390,22037378,10.1038/nbt.1990,,2011
CHEMBL1909046,,,,
CHEMBL1909493,21882832,10.1021/jm200688y,,2011
CHEMBL1914368,21958547,10.1016/j.bmcl.2011.09.008,,2011
CHEMBL1914457,22014755,10.1016/j.bmc.2011.09.042,,2011
CHEMBL1921673,22003817,10.1021/jm2008634,,2011
CHEMBL1921798,21981714,10.1021/jm2009327,,2011
CHEMBL1926611,22182581,10.1016/j.bmc.2011.11.056,,2012
CHEMBL1926631,22204741,10.1016/j.bmc.2011.11.058,,2012
CHEMBL1926681,22169601,10.1016/j.bmc.2011.11.023,,2012
CHEMBL1933031,22130133,10.1016/j.bmcl.2011.11.003,,2012
CHEMBL1933060,22101132,10.1016/j.bmcl.2011.10.103,,2012
CHEMBL1938252,22197143,10.1016/j.bmcl.2011.12.001,,2012
CHEMBL1944545,22227214,10.1016/j.bmcl.2011.12.067,,2012
CHEMBL1944561,21978683,10.1016/j.bmcl.2011.09.035,,2011
CHEMBL1949622,21985639,10.1021/jm2007084,,2011
CHEMBL1955729,22370340,10.1016/j.bmc.2012.01.029,,2012
CHEMBL1955734,22336246,10.1016/j.bmc.2012.01.017,,2012
CHEMBL1955857,22361133,10.1016/j.bmcl.2012.01.092,,2012
CHEMBL2010698,22185619,10.1021/jm200840c,,2012
CHEMBL2016472,24900266,10.1021/ml200156t,,2011
CHEMBL2016507,22425563,10.1016/j.bmcl.2012.02.057,,2012
CHEMBL2016534,24900269,10.1021/ml200126j,,2011
CHEMBL2016543,22243648,10.1021/jm201460y,,2012
CHEMBL2029299,22595177,10.1016/j.bmcl.2012.04.092,,2012
CHEMBL2034880,22372864,10.1021/jm201758g,,2012
CHEMBL2046278,22704921,10.1016/j.bmcl.2012.05.077,,2012
CHEMBL2046359,22739090,10.1016/j.bmc.2012.05.068,,2012
CHEMBL2046372,22439974,10.1021/jm300185p,,2012
CHEMBL2057167,22819764,10.1016/j.bmcl.2012.06.093,,2012
CHEMBL2062364,22524426,10.1021/jm300241b,,2012
CHEMBL2062461,22818849,10.1016/j.ejmech.2012.06.051,,2012
CHEMBL2069170,22775474,10.1021/np2009626,,2012
CHEMBL2086238,22520259,10.1016/j.bmcl.2012.03.090,,2012
CHEMBL2086270,24900504,10.1021/ml300045b,,2012
CHEMBL2086312,23063566,10.1016/j.ejmech.2012.09.001,,2012
CHEMBL2150966,22548342,10.1021/jm300403a,,2012
CHEMBL2150988,22981333,10.1016/j.bmcl.2012.08.072,,2012
CHEMBL2157925,23041347,10.1016/j.bmc.2012.09.016,,2012
CHEMBL2163268,22548365,10.1021/jm300184s,,2012
CHEMBL2163325,23010262,10.1016/j.bmcl.2012.08.102,,2012
CHEMBL2169748,22877085,10.1021/jm300717c,,2012
CHEMBL2169756,23063403,10.1016/j.bmcl.2012.09.044,,2012
CHEMBL2176962,23098137,10.1021/jm300667v,,2012
CHEMBL2203023,21413808,10.1021/jm1013693,,2011
CHEMBL2203170,23059543,10.1016/j.ejmech.2012.08.035,,2012
CHEMBL2216751,22924688,10.1021/jm300847w,,2012
CHEMBL2218924,23398362,10.1042/bj20121418,,2013
CHEMBL2311296,23360348,10.1021/jm3008745,,2013
CHEMBL2311409,23199476,10.1016/j.bmc.2012.10.045,,2013
CHEMBL2321654,23391364,10.1016/j.bmc.2013.01.013,,2013
CHEMBL2321664,23795239,10.1021/ml300336j,,2013
CHEMBL2321748,24900643,10.1021/ml300327z,,2013
CHEMBL2321769,23265896,10.1016/j.bmcl.2012.11.076,,2013
CHEMBL2321770,23410005,10.1021/jm301522m,,2013
CHEMBL2331095,23434139,10.1016/j.bmc.2013.01.040,,2013
CHEMBL2331378,23454132,10.1016/j.bmc.2013.01.066,,2013
CHEMBL2331448,23375793,10.1016/j.bmcl.2013.01.019,,2013
CHEMBL2331499,23375090,10.1016/j.bmc.2012.12.045,,2013
CHEMBL2346616,23490150,10.1016/j.bmc.2013.02.014,,2013
CHEMBL2375270,23506825,10.1016/j.bmcl.2013.02.020,,2013
CHEMBL2380218,23570788,10.1016/j.bmcl.2013.03.027,,2013
CHEMBL2380294,23540646,10.1016/j.bmcl.2013.02.103,,2013
CHEMBL2380305,23540645,10.1016/j.bmcl.2013.02.102,,2013
CHEMBL2384937,23602524,10.1016/j.bmc.2013.03.053,,2013
CHEMBL2384988,23662903,10.1021/jm4003632,,2013
CHEMBL2396607,23726034,10.1016/j.bmcl.2013.05.007,,2013
CHEMBL2417380,23838422,10.1016/j.ejmech.2013.06.021,,2013
CHEMBL2417437,23932790,10.1016/j.bmcl.2013.07.027,,2013
CHEMBL2417539,23855836,10.1021/jm400915j,,2013
CHEMBL3045386,,10.1007/s00044-012-0353-y,,2013
CHEMBL3045895,,10.1007/s00044-011-9804-0,,2012
CHEMBL3046340,,10.1007/s00044-011-9754-6,,2012
CHEMBL3046694,,10.1007/s00044-004-0105-8,,2004
CHEMBL3085720,23984975,10.1021/jm400990p,,2013
CHEMBL3091342,24220173,10.1016/j.bmcl.2013.10.043,,2013
CHEMBL3098113,24355130,10.1016/j.bmcl.2013.11.064,,2014
CHEMBL3108771,24900786,10.1021/ml400378e,,2014
CHEMBL3112396,24485122,10.1016/j.bmc.2014.01.010,,2014
CHEMBL3112407,24411123,10.1016/j.bmcl.2013.12.079,,2014
CHEMBL3112424,24387221,10.1021/jm401642q,,2014
CHEMBL3112490,24461561,10.1016/j.bmc.2014.01.002,,2014
CHEMBL3112582,24433860,10.1016/j.bmcl.2013.12.112,,2014
CHEMBL3124749,24508831,10.1016/j.ejmech.2014.01.020,,2014
CHEMBL3124816,24560540,10.1016/j.bmcl.2014.02.004,,2014
CHEMBL3132856,,10.1039/c3md00221g,,2014
CHEMBL3217416,,10.1039/c0md00183j,,2011
CHEMBL3217449,,10.1039/c0md00072h,,2010
CHEMBL3217752,,10.1039/c2md20044a,,2012
CHEMBL3232729,24673187,10.1021/np4009255,,2014
CHEMBL3232744,24704612,10.1016/j.ejmech.2014.03.067,,2014
CHEMBL3232805,24606395,10.1021/np400978x,,2014
CHEMBL3286093,24805946,10.1021/jm500361r,,2014
CHEMBL3286193,24915291,10.1021/jm4017762,,2014
CHEMBL3297684,24801610,10.1021/jm500034j,,2014
CHEMBL3351335,25440879,10.1016/j.ejmech.2014.10.022,,2014
CHEMBL3351561,24992874,10.1016/j.bmcl.2014.06.040,,2014
CHEMBL3351633,25455147,10.1021/np500558b,,2014
CHEMBL3351642,25139570,10.1016/j.bmcl.2014.07.073,,2014
CHEMBL3351667,25409491,10.1021/jm5014659,,2014
CHEMBL3351711,25189690,10.1016/j.bmc.2014.08.016,,2014
CHEMBL3351862,24934993,10.1016/j.bmc.2014.05.032,,2014
CHEMBL3352124,24517277,10.1021/jm401719n,,2014
CHEMBL3352165,25305330,10.1016/j.ejmech.2014.10.006,,2014
CHEMBL3352170,25537270,10.1016/j.bmcl.2014.12.006,,2015
CHEMBL3352220,25468038,10.1016/j.bmc.2014.11.003,,2014
CHEMBL3352241,25260958,10.1016/j.bmc.2014.08.033,,2014
CHEMBL3352345,25086238,10.1016/j.ejmech.2014.07.099,,2014
CHEMBL3352433,25589915,10.1021/ml500354e,,2015
CHEMBL3352452,25466188,10.1016/j.bmcl.2014.10.085,,2014
CHEMBL3352617,25042253,10.1016/j.bmcl.2014.07.007,,2014
CHEMBL3352817,25088549,10.1016/j.bmc.2014.06.057,,2014
CHEMBL3392967,25387153,10.1021/jm501026z,,2015
CHEMBL3399917,25765909,10.1016/j.bmcl.2015.02.067,,2015
CHEMBL3400094,25666823,10.1016/j.bmcl.2015.01.001,,2015
CHEMBL3400147,25813159,10.1016/j.bmcl.2015.03.028,,2015
CHEMBL3407416,25514658,10.1021/jm501629p,,2015
CHEMBL3407435,25418133,10.1021/jm501501a,,2014
CHEMBL3407441,25659752,10.1016/j.ejmech.2015.01.061,,2015
CHEMBL3414443,25768701,10.1016/j.ejmech.2015.03.004,,2015
CHEMBL3414491,25911625,10.1016/j.ejmech.2015.04.037,,2015
CHEMBL3576869,25893045,10.1021/ml5005014,,2015
CHEMBL3585326,25921269,10.1016/j.bmc.2015.04.019,,2015
CHEMBL3596160,26003339,10.1016/j.bmcl.2015.05.002,,2015
CHEMBL3596196,26105711,10.1016/j.bmc.2015.06.005,,2015
CHEMBL3600363,26087940,10.1016/j.bmcl.2015.05.093,,2015
CHEMBL3600364,26210161,10.1016/j.bmc.2015.07.017,,2015
CHEMBL3603757,26164189,10.1016/j.bmcl.2015.06.077,,2015
CHEMBL3608239,26206504,10.1016/j.bmcl.2015.06.078,,2015
CHEMBL3608263,26199119,10.1016/j.bmcl.2015.06.067,,2015
CHEMBL3611967,26256032,10.1016/j.ejmech.2015.07.030,,2015
CHEMBL3632542,26159481,10.1016/j.bmcl.2015.06.047,,2015
CHEMBL3632549,26475520,10.1016/j.bmcl.2015.10.003,,2015
CHEMBL3638541,,,US-8772480-B2,2014
CHEMBL3638644,,,US-9102670-B2,2015
CHEMBL3639030,,,US-8633204-B2,2014
CHEMBL3639119,,,US-8623883-B2,2014
CHEMBL3639238,,,US-8841453-B2,2014
CHEMBL3734757,26596710,10.1016/j.bmc.2015.11.003,,2015
CHEMBL3745647,26652482,10.1016/j.bmcl.2015.11.040,,2016
CHEMBL3751677,26735910,10.1016/j.ejmech.2015.12.024,,2016
CHEMBL3751805,26632651,10.1021/acs.jmedchem.5b01119,,2016
CHEMBL3751820,26599534,10.1016/j.ejmech.2015.11.002,,2016
CHEMBL3763019,26819001,10.1016/j.bmc.2016.01.008,,2016
CHEMBL3769318,26741947,10.1021/acs.jmedchem.5b01483,,2016
CHEMBL3769338,,10.1039/c5md00274e,,2015
CHEMBL3769354,26731167,10.1016/j.ejmech.2015.11.038,,2016
CHEMBL3779897,,10.1039/c5md00401b,,2016
CHEMBL3792291,27043268,10.1016/j.ejmech.2016.03.033,,2016
CHEMBL3797054,26996374,10.1016/j.bmcl.2016.03.034,,2016
CHEMBL3797068,,10.1039/c5md00493d,,2016
CHEMBL3804755,27234887,10.1016/j.bmc.2016.01.003,,2016
CHEMBL3804794,27089211,10.1016/j.ejmech.2016.03.074,,2016
CHEMBL3808312,26841168,10.1021/acs.jnatprod.5b00877,,2016
CHEMBL3813614,27096040,10.1021/acsmedchemlett.6b00005,,2016
CHEMBL3813636,27288180,10.1016/j.bmc.2016.05.063,,2016
CHEMBL3813678,27353887,10.1016/j.bmc.2016.06.032,,2016
CHEMBL3817754,,10.1039/c6md00053c,,2016
CHEMBL3822387,27460699,10.1016/j.bmc.2016.07.025,,2016
CHEMBL3826956,27492195,10.1016/j.bmc.2016.07.043,,2016
CHEMBL3853296,27187856,10.1016/j.ejmech.2016.04.072,,2016
CHEMBL3853319,27491023,10.1021/acs.jmedchem.6b00883,,2016
CHEMBL3860068,27644332,10.1021/acs.jmedchem.6b00963,,2017
CHEMBL3861952,26471320,10.1016/j.ejmech.2015.10.001,,2016
CHEMBL3864168,27994725,10.1021/acsmedchemlett.6b00406,,2016
CHEMBL3865805,27387421,10.1016/j.ejmech.2016.06.010,,2016
CHEMBL3865829,27448924,10.1016/j.ejmech.2016.06.030,,2016
CHEMBL3868583,27479483,10.1016/j.ejmech.2016.07.006,,2016
CHEMBL3870312,27484514,10.1016/j.ejmech.2016.07.052,,2016
CHEMBL3870325,27769671,10.1016/j.bmc.2016.10.006,,2017
CHEMBL3870350,27923619,10.1016/j.bmcl.2016.11.067,,2017
CHEMBL3871299,27914796,10.1016/j.bmcl.2016.11.065,,2017
CHEMBL3877259,27688180,10.1016/j.ejmech.2016.09.039,,2017
CHEMBL3881527,,,US-20080221132-A1,2008
CHEMBL3881529,,,US-8188102-B2,2012
CHEMBL3882246,,,US-20100184760-A1,2010
CHEMBL3882729,,,US-20090318373-A1,2009
CHEMBL3886207,,,US-9422297-B2,2016
CHEMBL3886284,,,US-9156831-B2,2015
CHEMBL3886356,,,US-9181263-B2,2015
CHEMBL3886434,,,US-9216985-B2,2015
CHEMBL3886513,,,US-9255091-B2,2016
CHEMBL3886601,,,US-9284315-B2,2016
CHEMBL3886627,,,US-9278100-B2,2016
CHEMBL3991601,29191878,10.1126/science.aan4368,,2017
CHEMBL3992535,28092860,10.1016/j.ejmech.2016.12.055,,2017
CHEMBL3992539,28109945,10.1016/j.ejmech.2017.01.016,,2017
CHEMBL3994591,27951489,10.1016/j.ejmech.2016.12.003,,2017
CHEMBL3994595,27987485,10.1016/j.ejmech.2016.12.014,,2017
CHEMBL4000150,26652969,10.1016/j.bmc.2015.11.027,,2015
CHEMBL4002588,27951490,10.1016/j.ejmech.2016.12.005,,2017
CHEMBL4004868,28238614,10.1016/j.bmcl.2017.02.027,,2017
CHEMBL4007445,28235701,10.1016/j.ejmech.2017.02.015,,2017
CHEMBL4007475,28279561,10.1016/j.bmc.2017.02.017,,2017
CHEMBL4011587,28279845,10.1016/j.ejmech.2017.02.039,,2017
CHEMBL4017490,28714692,10.1021/acs.jmedchem.7b00076,,2017
CHEMBL4017506,28829592,10.1021/acs.jmedchem.7b00930,,2017
CHEMBL4020795,28552337,10.1016/j.bmcl.2017.05.050,,2017
CHEMBL4020805,28571824,10.1016/j.bmcl.2017.05.044,,2017
CHEMBL4020831,29457982,10.1021/acs.jmedchem.7b01712,,2018
CHEMBL4024706,28315597,10.1016/j.ejmech.2017.03.001,,2017
CHEMBL4024719,28371641,10.1016/j.ejmech.2017.03.062,,2017
CHEMBL4024773,29227101,10.1021/acs.jmedchem.7b01086,,2018
CHEMBL4028814,28341403,10.1016/j.bmc.2017.02.056,,2017
CHEMBL4033707,28526367,10.1016/j.bmcl.2017.05.028,,2017
CHEMBL4038351,28853575,10.1021/acs.jmedchem.7b00515,,2017
CHEMBL4043197,28838691,10.1016/j.bmcl.2017.08.035,,2017
CHEMBL4043222,28916158,10.1016/j.bmc.2017.08.039,,2017
CHEMBL4049393,28242549,10.1016/j.ejmech.2017.02.042,,2017
CHEMBL4049399,28259529,10.1016/j.bmc.2017.02.030,,2017
CHEMBL4049404,28282122,10.1021/acs.jmedchem.6b01907,,2017
CHEMBL4049442,28409639,10.1021/acs.jmedchem.7b00357,,2017
CHEMBL4052600,28128944,10.1021/acs.jmedchem.6b01801,,2017
CHEMBL4052785,28734581,10.1016/j.bmcl.2017.07.009,,2017
CHEMBL4118086,28835784,10.1021/acsmedchemlett.7b00254,,2017
CHEMBL4118094,28835793,10.1021/acsmedchemlett.7b00111,,2017
CHEMBL4130348,28628824,10.1016/j.ejmech.2017.06.016,,2017
CHEMBL4130435,28898076,10.1021/acs.jnatprod.7b00301,,2017
CHEMBL4138094,28505534,10.1016/j.ejmech.2017.05.019,,2017
CHEMBL4138158,29126732,10.1016/j.ejmech.2017.10.019,,2018
CHEMBL4138291,29400966,10.1021/acs.jnatprod.7b00847,,2018
CHEMBL4145533,29421573,10.1016/j.ejmech.2018.01.090,,2018
CHEMBL4145625,29927604,10.1021/acs.jmedchem.8b00416,,2018
CHEMBL4145670,30040425,10.1021/acs.jnatprod.7b00892,,2018
CHEMBL4152193,29625382,10.1016/j.ejmech.2018.03.066,,2018
CHEMBL4152228,29684708,10.1016/j.ejmech.2018.04.029,,2018
CHEMBL4152344,30053721,10.1016/j.ejmech.2018.07.036,,2018
CHEMBL4184325,29715023,10.1021/acs.jmedchem.8b00441,,2018
CHEMBL4190270,28711703,10.1016/j.ejmech.2017.06.023,,2017
CHEMBL4190343,28923380,10.1016/j.ejmech.2017.09.008,,2017
CHEMBL4196007,29407971,10.1016/j.ejmech.2018.01.081,,2018
CHEMBL4196123,30034607,10.1021/acsmedchemlett.8b00167,,2018
CHEMBL4219058,29305298,10.1016/j.bmc.2017.12.025,,2018
CHEMBL4219144,29534936,10.1016/j.bmc.2018.03.002,,2018
CHEMBL4229346,29547832,10.1016/j.ejmech.2018.03.013,,2018
CHEMBL4229349,29549836,10.1016/j.ejmech.2018.02.080,,2018
CHEMBL4229415,29937355,10.1016/j.bmc.2018.06.022,,2018
CHEMBL4229417,29945756,10.1016/j.bmc.2018.06.025,,2018
CHEMBL4229497,30077608,10.1016/j.bmc.2018.07.047,,2018
CHEMBL4229542,30122225,10.1016/j.bmcl.2018.07.008,,2018
CHEMBL4251615,29275232,10.1016/j.ejmech.2017.12.022,,2018
CHEMBL4251652,29335209,10.1016/j.ejmech.2018.01.007,,2018
CHEMBL4251704,29541370,10.1021/acsmedchemlett.8b00002,,2018
CHEMBL4257496,30108960,10.1039/c8md00019k,,2018
CHEMBL4265945,30245395,10.1016/j.ejmech.2018.09.002,,2018
CHEMBL4270496,28754471,10.1016/j.ejmech.2017.07.023,,2017
CHEMBL4270530,29902719,10.1016/j.ejmech.2018.06.011,,2018
CHEMBL4270563,30025348,10.1016/j.ejmech.2018.07.026,,2018
CHEMBL4270567,30031971,10.1016/j.ejmech.2018.07.033,,2018
CHEMBL4270595,30096580,10.1016/j.ejmech.2018.06.061,,2018
CHEMBL4270669,30359003,10.1021/acs.jmedchem.8b01262,,2018
CHEMBL4304802,31488358,10.1016/j.bmc.2019.06.001,,2019
CHEMBL4308824,29211480,10.1021/acs.jmedchem.7b01019,,2018
CHEMBL4311940,31117517,10.1021/acs.jmedchem.9b00390,,2019
CHEMBL4312005,31655429,10.1016/j.ejmech.2019.111780,,2020
CHEMBL4316628,30910460,10.1016/j.bmcl.2019.03.024,,2019
CHEMBL4321790,31188592,10.1021/acs.jmedchem.8b01732,,2019
CHEMBL4321805,31465220,10.1021/acs.jmedchem.9b00972,,2019
