pair,ligand,molecule_chembl_id,frozen_class,target_name,target_chembl_id,assay_chembl_id,document_chembl_id,assay_type,standard_type,standard_relation,pchembl_value,assay_organism,confidence_score,protein_construct,wildtype_or_mutant,priority_flags,original_label,human_include_exclude,human_reviewed_label,human_rationale,incomparable_record,note
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL3991696,CHEMBL3991601,B,Kd,=,7.29,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL4274201,CHEMBL4270595,B,IC50,=,7.42,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL4274202,CHEMBL4270595,B,IC50,=,6.65,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL4322135,CHEMBL4321790,B,Ki,=,8.52,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL4388527,CHEMBL4387720,B,IC50,=,8.74,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL4394506,CHEMBL4393671,B,Kd,=,7.96,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL4628613,CHEMBL4627322,B,IC50,=,7.66,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL4670927,CHEMBL4665812,B,IC50,=,4.83,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL4670928,CHEMBL4665812,B,IC50,=,5.57,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL4670929,CHEMBL4665812,B,IC50,=,7.62,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL4670930,CHEMBL4665812,B,IC50,=,9.7,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL4670931,CHEMBL4665812,B,IC50,=,10.22,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL4769431,CHEMBL4765304,B,IC50,=,7.34,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL4769432,CHEMBL4765304,B,IC50,=,4.21,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL4810017,CHEMBL4808203,B,IC50,=,7.82,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL5031645,CHEMBL5030535,B,IC50,=,7.87,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL5444897,CHEMBL5444388,F,IC50,=,4.1,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Functional (cellular) assay in human context retained as include; not merged with biochemical potency.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL5444898,CHEMBL5444388,F,IC50,=,6.68,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Functional (cellular) assay in human context retained as include; not merged with biochemical potency.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL5444899,CHEMBL5444388,F,IC50,=,7.22,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Functional (cellular) assay in human context retained as include; not merged with biochemical potency.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL5444900,CHEMBL5444388,F,IC50,=,5.58,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Functional (cellular) assay in human context retained as include; not merged with biochemical potency.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL5444901,CHEMBL5444388,F,IC50,=,7.1,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Functional (cellular) assay in human context retained as include; not merged with biochemical potency.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL5444902,CHEMBL5444388,F,IC50,=,5.0,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Functional (cellular) assay in human context retained as include; not merged with biochemical potency.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL5444903,CHEMBL5444388,F,IC50,=,4.85,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Functional (cellular) assay in human context retained as include; not merged with biochemical potency.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL5444904,CHEMBL5444388,F,IC50,=,4.98,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Functional (cellular) assay in human context retained as include; not merged with biochemical potency.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL5444905,CHEMBL5444388,F,IC50,=,4.84,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Functional (cellular) assay in human context retained as include; not merged with biochemical potency.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL5444906,CHEMBL5444388,F,IC50,=,5.96,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Functional (cellular) assay in human context retained as include; not merged with biochemical potency.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL5444907,CHEMBL5444388,F,IC50,=,8.0,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Functional (cellular) assay in human context retained as include; not merged with biochemical potency.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL5444908,CHEMBL5444388,F,IC50,=,7.05,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Functional (cellular) assay in human context retained as include; not merged with biochemical potency.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL5444909,CHEMBL5444388,F,IC50,=,6.46,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Functional (cellular) assay in human context retained as include; not merged with biochemical potency.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL5444910,CHEMBL5444388,F,IC50,=,4.65,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Functional (cellular) assay in human context retained as include; not merged with biochemical potency.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
