pair,channel,role,ligand_panel_source,activity_source,activity_source_kind,label_rule,ligand_smiles_source,ligand_prep_method,ligand_prep_version,ligand_prep_seed,ligand_prep_evidence,receptor_pdb,receptor_chain_or_construct,receptor_input_file,receptor_prep_method,receptor_prep_evidence,cognate_ligand,box_file,box_definition,vina_version,dock_seed,exhaustiveness,num_modes,energy_range,score_definition,score_source_file,sample_membership_rule,analysis_script,canonical_output,figure_table_destination,provenance_status,notes
AChE/BChE,production_vina,current_primary,data/ache_bche_panel_v0/tables/panel_v0_strict.csv,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,chembl_assay_adjudicated + 5 panel_pchembl_no_audit_rows (only AB_056 in primary),panel constructed strict_6.5_5.5; primary evaluation theta_6.0; AB_087 unresolved excluded,panel_v0_strict.csv smiles,rdkit_etkdg_meeko,,20260727,protocol.yaml; ligand PDBQT not in current tree,4EY7+4BDS,AB / A,"data/ache_bche_panel_v0/receptors/{ACHE,BCHE}_receptor.pdbqt",not_recoverable,deposited pdbqt; alt receptors 5DYW/6QAA/6ZWI sensitivity only,E20 / THA,"data/ache_bche_panel_v0/boxes/{4EY7,4BDS}_box.json",,1.2.7,20260727,8,9,,score_S=-vina_mode1,data/ache_bche_panel_v0/tables/ablation_ligand_scores.csv,activity_eligible AND complete_case AND analysis_set=main,scripts/analysis/build_current_score_master.py; compute_canonical_results.py,results/canonical/primary_summary_min.csv,Table 2; Fig 2; Fig 4,confirmed,"panel label_rule vs theta=6.0 evaluation is documented dual-layer, not two current truths"
AChE/BChE,five_seed_vina,current_robustness,data/ache_bche_panel_v0/tables/panel_v0_strict.csv,,chembl_assay_adjudicated,,,rdkit_etkdg_meeko,,,,4EY7+4BDS,,,,,,,,1.2.7,"20260727,20260811-14",8,9,,,data/jcim_multiseed_v0/tables/multiseed_scores_long_v1.csv,,,results/canonical/five_seed_summary_min.csv,Fig 5C,confirmed,
AChE/BChE,gnina_panel_scores,historical/superseded_as_independent_gnina,,,,,,,,,,,,,,,,,,,,,,,,data/ache_bche_panel_v0/tables/scores_gnina_best.csv,,,not in GNINA_SOURCES,none,superseded,not wired into computational_robustness GNINA channel
JAK1/JAK2,production_vina,current_primary,data/jcim_chembl_universe_v0/tables/track_b_panels/panel_JAK1_JAK2_v1.csv,data/jcim_chembl_universe_v0/tables/track_b_panels/panel_JAK1_JAK2_v1.csv,chembl37_dump_panel,panel constructed strict_6.5_5.5; primary evaluation theta_6.0 from dump pChEMBL; not assay-adjudicated,panel_JAK1_JAK2_v1.csv canonical_smiles,rdkit_etkdgv3_mmff_meeko,meeko 0.7.1,20260727,track_b_local_run_v1.yaml no_ligprep; historical prep_track_b_ligands_v1.py in git; ligands_pdbqt dir absent; production poses deposited,6N7A+8BXH,,data/jcim_chembl_universe_v0/local_track_b_v0/receptors/*_receptor.pdbqt,not_recoverable,deposited pdbqt; yaml records site/cognate; no PPW/pH/loop protocol,KEV / C87,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/{pdb}_box.json,"cognate heavy-atom AABB + 5 A, min edge 20 A",1.2.7,20260727,8,9,3,score_S=-vina_mode1,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_vina_mode1_v1.csv,activity_eligible default 1 AND complete_case AND analysis_set=main,scripts/analysis/build_current_score_master.py; compute_canonical_results.py,results/canonical/primary_summary_min.csv,Table 2; Fig 2,confirmed,Track-B is dump-gated labels; do not call assay-adjudicated
JAK1/JAK2,five_seed_vina,current_robustness,,,chembl37_dump_panel,,,rdkit_etkdgv3_mmff_meeko,,,,6N7A+8BXH,,,,,,,,1.2.7,"20260727,20260811-14",8,9,3,,data/jcim_chembl_universe_v0/local_track_b_v0/tables/multiseed/scores_vina_mode1_seed{seed}.csv,,,results/canonical/five_seed_summary_min.csv,Fig 5C,confirmed,
JAK1/JAK2,rtm_best9_rescore,sensitivity,,,,,,,,,,,,,,,,,,,,,,,,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_rtm_best9_v1.csv,,,results/canonical/computational_robustness.csv,Table S7 not Fig 5,confirmed,"rescore of Vina poses, not independent docking"
JAK1/JAK2,gnina_cnn_best9_rescore,sensitivity,,,,,,,,,,,,,,,,,,,,,,,,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_gnina_cnn_best9_v1.csv,,,results/canonical/computational_robustness.csv,Table S7 not Fig 5,confirmed,CNN rescore of Vina poses; distinct from independent GNINA search
JAK1/TYK2,production_vina,current_primary,data/jcim_chembl_universe_v0/tables/track_b_panels/panel_JAK1_TYK2_v1.csv,data/jcim_chembl_universe_v0/tables/track_b_panels/panel_JAK1_TYK2_v1.csv,chembl37_dump_panel,panel constructed strict_6.5_5.5; primary evaluation theta_6.0 from dump pChEMBL; not assay-adjudicated,panel_JAK1_TYK2_v1.csv canonical_smiles,rdkit_etkdgv3_mmff_meeko,meeko 0.7.1,20260727,track_b_local_run_v1.yaml no_ligprep; historical prep_track_b_ligands_v1.py in git; ligands_pdbqt dir absent; production poses deposited,6N7A+3LXP,,data/jcim_chembl_universe_v0/local_track_b_v0/receptors/*_receptor.pdbqt,not_recoverable,deposited pdbqt; yaml records site/cognate; no PPW/pH/loop protocol,KEV / IZA,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/{pdb}_box.json,"cognate heavy-atom AABB + 5 A, min edge 20 A",1.2.7,20260727,8,9,3,score_S=-vina_mode1,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_vina_mode1_v1.csv,activity_eligible default 1 AND complete_case AND analysis_set=main,scripts/analysis/build_current_score_master.py; compute_canonical_results.py,results/canonical/primary_summary_min.csv,Table 2; Fig 2,confirmed,Track-B is dump-gated labels; do not call assay-adjudicated
JAK1/TYK2,five_seed_vina,current_robustness,,,chembl37_dump_panel,,,rdkit_etkdgv3_mmff_meeko,,,,6N7A+3LXP,,,,,,,,1.2.7,"20260727,20260811-14",8,9,3,,data/jcim_chembl_universe_v0/local_track_b_v0/tables/multiseed/scores_vina_mode1_seed{seed}.csv,,,results/canonical/five_seed_summary_min.csv,Fig 5C,confirmed,
JAK1/TYK2,rtm_best9_rescore,sensitivity,,,,,,,,,,,,,,,,,,,,,,,,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_rtm_best9_v1.csv,,,results/canonical/computational_robustness.csv,Table S7 not Fig 5,confirmed,"rescore of Vina poses, not independent docking"
JAK1/TYK2,gnina_cnn_best9_rescore,sensitivity,,,,,,,,,,,,,,,,,,,,,,,,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_gnina_cnn_best9_v1.csv,,,results/canonical/computational_robustness.csv,Table S7 not Fig 5,confirmed,CNN rescore of Vina poses; distinct from independent GNINA search
JAK1/TYK2,gnina_independent,current_robustness,,,chembl37_dump_panel,,,,,,,6N7A+3LXP,,,,,,,,GNINA independent search,,,,,,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_gnina_independent_jak1_tyk2_v1.csv,,,results/canonical/computational_robustness.csv,Fig 5A; Table S7,confirmed,independent search on JAK1/TYK2 only among Track-B pairs
F2/F10,production_vina,current_primary,data/jcim_chembl_universe_v0/tables/track_b_panels/panel_F2_F10_v1.csv,data/jcim_chembl_universe_v0/tables/track_b_panels/panel_F2_F10_v1.csv,chembl37_dump_panel,panel constructed strict_6.5_5.5; primary evaluation theta_6.0 from dump pChEMBL; not assay-adjudicated,panel_F2_F10_v1.csv canonical_smiles,rdkit_etkdgv3_mmff_meeko,meeko 0.7.1,20260727,track_b_local_run_v1.yaml no_ligprep; historical prep_track_b_ligands_v1.py in git; ligands_pdbqt dir absent; production poses deposited,4UDW+2JKH,,data/jcim_chembl_universe_v0/local_track_b_v0/receptors/*_receptor.pdbqt,not_recoverable,deposited pdbqt; yaml records site/cognate; no PPW/pH/loop protocol,N6L / BI7,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/{pdb}_box.json,"cognate heavy-atom AABB + 5 A, min edge 20 A",1.2.7,20260727,8,9,3,score_S=-vina_mode1,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_vina_mode1_v1.csv,activity_eligible default 1 AND complete_case AND analysis_set=main,scripts/analysis/build_current_score_master.py; compute_canonical_results.py,results/canonical/primary_summary_min.csv,Table 2; Fig 2,confirmed,Track-B is dump-gated labels; do not call assay-adjudicated
F2/F10,five_seed_vina,current_robustness,,,chembl37_dump_panel,,,rdkit_etkdgv3_mmff_meeko,,,,4UDW+2JKH,,,,,,,,1.2.7,"20260727,20260811-14",8,9,3,,data/jcim_chembl_universe_v0/local_track_b_v0/tables/multiseed/scores_vina_mode1_seed{seed}.csv,,,results/canonical/five_seed_summary_min.csv,Fig 5C,confirmed,
F2/F10,rtm_best9_rescore,sensitivity,,,,,,,,,,,,,,,,,,,,,,,,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_rtm_best9_v1.csv,,,results/canonical/computational_robustness.csv,Table S7 not Fig 5,confirmed,"rescore of Vina poses, not independent docking"
F2/F10,gnina_cnn_best9_rescore,sensitivity,,,,,,,,,,,,,,,,,,,,,,,,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_gnina_cnn_best9_v1.csv,,,results/canonical/computational_robustness.csv,Table S7 not Fig 5,confirmed,CNN rescore of Vina poses; distinct from independent GNINA search
PPARG/PPARA,production_vina,current_primary,data/jcim_chembl_universe_v0/tables/track_b_panels/panel_PPARG_PPARA_v1.csv,data/jcim_chembl_universe_v0/tables/track_b_panels/panel_PPARG_PPARA_v1.csv,chembl37_dump_panel,panel constructed strict_6.5_5.5; primary evaluation theta_6.0 from dump pChEMBL; not assay-adjudicated,panel_PPARG_PPARA_v1.csv canonical_smiles,rdkit_etkdgv3_mmff_meeko,meeko 0.7.1,20260727,track_b_local_run_v1.yaml no_ligprep; historical prep_track_b_ligands_v1.py in git; ligands_pdbqt dir absent; production poses deposited,9V8H+6LXA,,data/jcim_chembl_universe_v0/local_track_b_v0/receptors/*_receptor.pdbqt,not_recoverable,deposited pdbqt; yaml records site/cognate; no PPW/pH/loop protocol,BRL / EPA,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/{pdb}_box.json,"cognate heavy-atom AABB + 5 A, min edge 20 A",1.2.7,20260727,8,9,3,score_S=-vina_mode1,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_vina_mode1_v1.csv,activity_eligible default 1 AND complete_case AND analysis_set=main,scripts/analysis/build_current_score_master.py; compute_canonical_results.py,results/canonical/primary_summary_min.csv,Table 2; Fig 2,confirmed,Track-B is dump-gated labels; do not call assay-adjudicated
PPARG/PPARA,five_seed_vina,current_robustness,,,chembl37_dump_panel,,,rdkit_etkdgv3_mmff_meeko,,,,9V8H+6LXA,,,,,,,,1.2.7,"20260727,20260811-14",8,9,3,,data/jcim_chembl_universe_v0/local_track_b_v0/tables/multiseed/scores_vina_mode1_seed{seed}.csv,,,results/canonical/five_seed_summary_min.csv,Fig 5C,confirmed,
PPARG/PPARA,rtm_best9_rescore,sensitivity,,,,,,,,,,,,,,,,,,,,,,,,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_rtm_best9_v1.csv,,,results/canonical/computational_robustness.csv,Table S7 not Fig 5,confirmed,"rescore of Vina poses, not independent docking"
PPARG/PPARA,gnina_cnn_best9_rescore,sensitivity,,,,,,,,,,,,,,,,,,,,,,,,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_gnina_cnn_best9_v1.csv,,,results/canonical/computational_robustness.csv,Table S7 not Fig 5,confirmed,CNN rescore of Vina poses; distinct from independent GNINA search
PPARA/PPARD,production_vina,current_primary,data/jcim_chembl_universe_v0/tables/track_b_panels/panel_PPARA_PPARD_v1.csv,data/jcim_chembl_universe_v0/tables/track_b_panels/panel_PPARA_PPARD_v1.csv,chembl37_dump_panel,panel constructed strict_6.5_5.5; primary evaluation theta_6.0 from dump pChEMBL; not assay-adjudicated,panel_PPARA_PPARD_v1.csv canonical_smiles,rdkit_etkdgv3_mmff_meeko,meeko 0.7.1,20260727,track_b_local_run_v1.yaml no_ligprep; historical prep_track_b_ligands_v1.py in git; ligands_pdbqt dir absent; production poses deposited,6LXA+5U3Q,,data/jcim_chembl_universe_v0/local_track_b_v0/receptors/*_receptor.pdbqt,not_recoverable,deposited pdbqt; yaml records site/cognate; no PPW/pH/loop protocol,EPA / 7UJ,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/{pdb}_box.json,"cognate heavy-atom AABB + 5 A, min edge 20 A",1.2.7,20260727,8,9,3,score_S=-vina_mode1,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_vina_mode1_v1.csv,activity_eligible default 1 AND complete_case AND analysis_set=main,scripts/analysis/build_current_score_master.py; compute_canonical_results.py,results/canonical/primary_summary_min.csv,Table 2; Fig 2,confirmed,Track-B is dump-gated labels; do not call assay-adjudicated
PPARA/PPARD,five_seed_vina,current_robustness,,,chembl37_dump_panel,,,rdkit_etkdgv3_mmff_meeko,,,,6LXA+5U3Q,,,,,,,,1.2.7,"20260727,20260811-14",8,9,3,,data/jcim_chembl_universe_v0/local_track_b_v0/tables/multiseed/scores_vina_mode1_seed{seed}.csv,,,results/canonical/five_seed_summary_min.csv,Fig 5C,confirmed,
PPARA/PPARD,rtm_best9_rescore,sensitivity,,,,,,,,,,,,,,,,,,,,,,,,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_rtm_best9_v1.csv,,,results/canonical/computational_robustness.csv,Table S7 not Fig 5,confirmed,"rescore of Vina poses, not independent docking"
PPARA/PPARD,gnina_cnn_best9_rescore,sensitivity,,,,,,,,,,,,,,,,,,,,,,,,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_gnina_cnn_best9_v1.csv,,,results/canonical/computational_robustness.csv,Table S7 not Fig 5,confirmed,CNN rescore of Vina poses; distinct from independent GNINA search
