file,claim,matched_text,context,expected,status
docs/MANUSCRIPT_JCIM_ZH.md,EGFR Top-10 composition,1 / 4 / 6 / 0,"-----------------------------------:| | EGFR/HER2 | 0.759 [0.551, 0.926] | 12 | 1 / 4 / 6 / 0 | 0.351 | | JAK1/JAK2 | 0.730 [0.558, 0.882] | 14 | 6 / 5 / 0 / 0 | 1.875 | | J",MATCH,MATCH
docs/MANUSCRIPT_JCIM_ZH.md,EGFR Top-10 composition,1 / 4 / 6 / 0,"AK1/TYK2）和 0.351（EGFR/HER2）到 2.133（PIK3CA/mTOR）和 2.168（PPARG/PPARA）。EGFR/HER2 为 1 / 4 / 6 / 0（\(\mathrm{EF}_{\mathrm{dual},10\%}=0.351\)）；AChE/BChE 为 5 / 3 / 1 / 1（\(\mathrm",MATCH,MATCH
docs/SUPPORTING_INFORMATION_JCIM_EN_V1.md,EGFR summary_min,0.334," 68 / 21 / 10 | 0.379 | [0.185, 0.591] | | EGFR/HER2 | θ = 6.0 | 28 / 37 / 31 | 0.334 | [0.197, 0.471] | | EGFR/HER2 | θ = 6.5 | 26 / 28 / 28 | 0.363 | [0.213, 0.522",0.3341,MATCH
docs/SUPPORTING_INFORMATION_JCIM_EN_V1.md,EGFR summary_min,0.334,"--------:|--:|--------|:----------------:| | EGFR/HER2 | pocket A (vs B-only) | 0.334 | 0.780 | 0.446 | [0.259, 0.632] | no | | EGFR/HER2 | pocket B (vs A-only) | 0.",0.3341,MATCH
docs/SUPPORTING_INFORMATION_JCIM_EN_V1.md,EGFR summary_min,0.334,.822 | 0.807 | −0.015 | 0.663 | | EGFR/HER2 | D vs B | 0.879 | 0.870 | −0.009 | 0.334 | | JAK1/JAK2 | D vs A | 0.915 | 0.916 | +0.002 | 0.588 | | JAK1/JAK2 | D vs B ,0.3341,MATCH
docs/SUPPORTING_INFORMATION_JCIM_EN_V1.md,EGFR summary_min,0.334,"-----------|----------------:| | EGFR/HER2 | Vina primary | 28 / 37 / 31 / 12 | 0.334 [0.197, 0.471] | dual–B-only (pocket A) 0.334 [0.197, 0.471] | 0.759 [0.551, 0.",0.3341,MATCH
docs/SUPPORTING_INFORMATION_JCIM_EN_V1.md,EGFR summary_min,0.334,"ina primary | 28 / 37 / 31 / 12 | 0.334 [0.197, 0.471] | dual–B-only (pocket A) 0.334 [0.197, 0.471] | 0.759 [0.551, 0.926] | | EGFR/HER2 | GNINA independent | 20 / ",0.3341,MATCH
docs/SUPPORTING_INFORMATION_JCIM_EN_V1.md,analysis Python,3.12.3,ical ligand PDBQT.  | Item | Value | |------|------| | Analysis freeze | Python 3.12.3; NumPy 2.5.2; pandas 3.0.5; SciPy 1.18.1; scikit-learn 1.9.0; RDKit 2026.03.5 (,3.12.3,MATCH
docs/SUPPORTING_INFORMATION_JCIM_EN_V1.md,RMSD or AChE score token,9.505,lots use the unified chemically mapped CalcRMS table (Table S2). The historical 9.505 Å value is not a current result.  ### Figure S4. Label and source robustness  !,CONTEXT,HISTORICAL_WITH_CONTEXT
docs/SUPPORTING_INFORMATION_JCIM_EN_V1.md,EGFR scaffold cluster CI,"[0.232, 0.637]","mary) | 0.446 | [0.259, 0.632] | yes | | EGFR/HER2 | scaffold cluster | 0.446 | [0.232, 0.637] | yes | | EGFR/HER2 | document cluster | 0.446 | [0.117, 0.636] | yes | | JAK1/",MATCH,MATCH
docs/SUPPORTING_INFORMATION_JCIM_EN_V1.md,EGFR document cluster CI,"[0.117, 0.636]","uster | 0.446 | [0.232, 0.637] | yes | | EGFR/HER2 | document cluster | 0.446 | [0.117, 0.636] | yes | | JAK1/TYK2 | ligand-level (primary) | 0.444 | [0.261, 0.630] | yes | |",MATCH,MATCH
docs/SUPPORTING_INFORMATION_JCIM_EN_V1.md,EGFR D-vs-neither CI,"[0.551, 0.926]","12 | 0.334 [0.197, 0.471] | dual–B-only (pocket A) 0.334 [0.197, 0.471] | 0.759 [0.551, 0.926] | | EGFR/HER2 | GNINA independent | 20 / 33 / 26 / 10 | 0.227 [0.104, 0.373] | ",MATCH,MATCH
docs/SUPPORTING_INFORMATION_JCIM_EN_V1.md,EGFR Top-10 composition,1 / 4 / 6 / 0,-----------:|-------------------:| | EGFR/HER2 | 108 (28 / 37 / 31 / 12) | 11 | 1 / 4 / 6 / 0 | 0.091 | 0.259 | 0.351 | 97 → 47 (14 / 9 / 24) | 0.298 | | JAK1/JAK2 | 110 (32,MATCH,MATCH
docs/SUPPORTING_INFORMATION_DRAFT_ZH_JCIM_V1.md,EGFR summary_min,0.334," 68 / 21 / 10 | 0.379 | [0.185, 0.591] | | EGFR/HER2 | θ = 6.0 | 28 / 37 / 31 | 0.334 | [0.197, 0.471] | | EGFR/HER2 | θ = 6.5 | 26 / 28 / 28 | 0.363 | [0.213, 0.522",0.3341,MATCH
docs/SUPPORTING_INFORMATION_DRAFT_ZH_JCIM_V1.md,EGFR summary_min,0.334,"--------------:|--:|--------|:----------------:| | EGFR/HER2 | 口袋 A（对 B-only） | 0.334 | 0.780 | 0.446 | [0.259, 0.632] | 否 | | EGFR/HER2 | 口袋 B（对 A-only） | 0.663 | 0",0.3341,MATCH
docs/SUPPORTING_INFORMATION_DRAFT_ZH_JCIM_V1.md,EGFR summary_min,0.334,.822 | 0.807 | −0.015 | 0.663 | | EGFR/HER2 | D vs B | 0.879 | 0.870 | −0.009 | 0.334 | | JAK1/JAK2 | D vs A | 0.915 | 0.916 | +0.002 | 0.588 | | JAK1/JAK2 | D vs B ,0.3341,MATCH
docs/SUPPORTING_INFORMATION_DRAFT_ZH_JCIM_V1.md,EGFR summary_min,0.334,"---------------|----------------:| | EGFR/HER2 | Vina 主分析 | 28 / 37 / 31 / 12 | 0.334 [0.197, 0.471] | dual–B-only（口袋 A） 0.334 [0.197, 0.471] | 0.759 [0.551, 0.926] ",0.3341,MATCH
docs/SUPPORTING_INFORMATION_DRAFT_ZH_JCIM_V1.md,EGFR summary_min,0.334,"/HER2 | Vina 主分析 | 28 / 37 / 31 / 12 | 0.334 [0.197, 0.471] | dual–B-only（口袋 A） 0.334 [0.197, 0.471] | 0.759 [0.551, 0.926] | | EGFR/HER2 | GNINA 独立 | 20 / 33 / 26 /",0.3341,MATCH
docs/SUPPORTING_INFORMATION_DRAFT_ZH_JCIM_V1.md,analysis Python,3.12.3,得把分析 RDKit 版本自动当成历史配体 PDBQT 的制备版本。  | 项目 | 取值 | |------|------| | 分析冻结 | Python 3.12.3；NumPy 2.5.2；pandas 3.0.5；SciPy 1.18.1；scikit-learn 1.9.0；RDKit 2026.03.5（`requi,3.12.3,MATCH
docs/SUPPORTING_INFORMATION_DRAFT_ZH_JCIM_V1.md,RMSD or AChE score token,9.505, Å，HER2 3RCD 的 top-1 为 1.947 Å，均低于 2 Å。14 个受体统一使用化学对应 CalcRMS 表（Table S2）。不得将历史 9.505 Å 作为当前结果。  ### Figure S4. 标签与来源稳健性  ![Figure S4](../figures/jcim_article/FigS4_,CONTEXT,UNSUPPORTED
docs/SUPPORTING_INFORMATION_DRAFT_ZH_JCIM_V1.md,EGFR scaffold cluster CI,"[0.232, 0.637]"," EGFR/HER2 | 配体层（正式） | 0.446 | [0.259, 0.632] | 是 | | EGFR/HER2 | 骨架簇 | 0.446 | [0.232, 0.637] | 是 | | EGFR/HER2 | 文献簇 | 0.446 | [0.117, 0.636] | 是 | | JAK1/TYK2 | 配体层（正式） | ",MATCH,MATCH
docs/SUPPORTING_INFORMATION_DRAFT_ZH_JCIM_V1.md,EGFR document cluster CI,"[0.117, 0.636]"," | | EGFR/HER2 | 骨架簇 | 0.446 | [0.232, 0.637] | 是 | | EGFR/HER2 | 文献簇 | 0.446 | [0.117, 0.636] | 是 | | JAK1/TYK2 | 配体层（正式） | 0.444 | [0.261, 0.630] | 是 | | JAK1/TYK2 | 骨架簇 | ",MATCH,MATCH
docs/SUPPORTING_INFORMATION_DRAFT_ZH_JCIM_V1.md,EGFR D-vs-neither CI,"[0.551, 0.926]","31 / 12 | 0.334 [0.197, 0.471] | dual–B-only（口袋 A） 0.334 [0.197, 0.471] | 0.759 [0.551, 0.926] | | EGFR/HER2 | GNINA 独立 | 20 / 33 / 26 / 10 | 0.227 [0.104, 0.373] | dual–B-on",MATCH,MATCH
docs/SUPPORTING_INFORMATION_DRAFT_ZH_JCIM_V1.md,EGFR Top-10 composition,1 / 4 / 6 / 0,-----------:|-------------------:| | EGFR/HER2 | 108 (28 / 37 / 31 / 12) | 11 | 1 / 4 / 6 / 0 | 0.091 | 0.259 | 0.351 | 97 → 47 (14 / 9 / 24) | 0.298 | | JAK1/JAK2 | 110 (32,MATCH,MATCH
docs/WRITING_INDEX_FREEZE.md,EGFR summary_min,0.334,"al.** D vs A (pocket B) 0.663 [0.521, 0.792]; D vs B (pocket A) = `summary_min` 0.334 [0.197, 0.471]. Fixed-score Δ on the EGFR pocket: 0.446 [0.259, 0.632]. 5. **Co",0.3341,MATCH
docs/WRITING_INDEX_FREEZE.md,stale ECFP incremental,0.0112,ed-value authority: `figures/jcim_article/plotted_values_postfix.json`. The old 0.0112 value is a superseded historical-environment result; background is the supersed,STALE,HISTORICAL_WITH_CONTEXT
docs/WRITING_INDEX_FREEZE.md,ECFP max |Δ|,0.0234,include 0. Not multiplicity-adjusted. 7. **ECFP incremental.** Freeze max |Δ| = 0.0234 at PPARA/PPARD D vs B (three-decimal claim 0.023). Figure 3A/B is redrawn from ,0.0234,MATCH
docs/WRITING_INDEX_FREEZE.md,RMSD or AChE score token,9.505,ate_rmsd_calcrrms_v1.csv`. EGFR 3POZ CalcRMS top-1 = best = 1.019 Å. Historical 9.505 Å is not current.  ## What must not be claimed  - Pre-fix EGFR AUROCs 0.430 / 0,CONTEXT,HISTORICAL_WITH_CONTEXT
docs/WRITING_INDEX_FREEZE.md,RMSD or AChE score token,9.505,s 0.430 / 0.808 / 0.378 as current results. - PR #35 reconstructed EGFR 0.760 / 9.505 Å as current SI Table S2. - Five-seed complete-case D vs A 0.6607 (historical 2,CONTEXT,HISTORICAL_WITH_CONTEXT
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,EGFR summary_min,0.334,"lagship values  EGFR/HER2: D vs A-only pocket B = 0.663; D vs B-only pocket A = 0.334; summary_min = 0.334 [0.197, 0.471].   Same pocket-A score: D vs B-only = 0.334",0.3341,MATCH
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,EGFR summary_min,0.334,"HER2: D vs A-only pocket B = 0.663; D vs B-only pocket A = 0.334; summary_min = 0.334 [0.197, 0.471].   Same pocket-A score: D vs B-only = 0.334; D vs neither = 0.78",0.3341,MATCH
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,EGFR summary_min,0.334,"0.334; summary_min = 0.334 [0.197, 0.471].   Same pocket-A score: D vs B-only = 0.334; D vs neither = 0.780; fixed-score ΔAUROC = 0.446 [0.259, 0.632].   Two-pocket ",0.3341,MATCH
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,stale ECFP incremental,0.0112,ical/ecfp4_incremental_information.csv` (0.0234 at PPARA/PPARD D vs B). The old 0.0112 value is a superseded historical-environment result; background is the supersed,STALE,HISTORICAL_WITH_CONTEXT
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,ECFP max |Δ|,0.0234," | ΔAUROC = ECFP4+docking − ECFP4; same folds, same ligands. Freeze max \|Δ\| = 0.0234 (PPARA/PPARD D vs B), written as 0.023 | `results/canonical/ecfp4_incremental_i",0.0234,MATCH
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,ECFP max |Δ|,0.0234, max \|Δ\| is taken from `results/canonical/ecfp4_incremental_information.csv` (0.0234 at PPARA/PPARD D vs B). The old 0.0112 value is a superseded historical-environ,0.0234,MATCH
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,RMSD or AChE score token,9.505,"78, 20.000 (from JSON).  Pre-fix tokens 0.430 / 0.808 / 0.378 / 0.170 / 0.161 / 9.505 and old EGFR box coordinates are not current publication results.   Current can",CONTEXT,UNSUPPORTED
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,EGFR D-vs-neither CI,"[0.551, 0.926]","xed-score ΔAUROC = 0.446 [0.259, 0.632].   Two-pocket mean D-vs-neither = 0.759 [0.551, 0.926].   Matched-minus-mismatched = 0.107 [0.006, 0.220]; CI excludes zero.   AChE/BC",MATCH,MATCH
docs/FIGURE_TABLE_LOCK_POSTFIX_V4.md,EGFR Top-10 composition,1 / 4 / 6 / 0,"/BChE are the two main-panel intervals that exclude zero.   EGFR/HER2 Top 10% = 1 / 4 / 6 / 0; EFdual,10% = 0.351.   AChE/BChE Top 10% = 5 / 3 / 1 / 1; EFdual,10% = 1.759.  ",MATCH,MATCH
