ligand_id,keep_urat1_acid,acid_arg477_min_A,u_CNNscore,u_CNNaffinity,pose_selection_status,keep_nlrp3_pose,n_CNNscore,n_CNNaffinity,keep_dual_acid_geometry
REP_07880,True,5.282019878796368,0.639763355,7.58828354,a2_geometry_then_cnnscore,False,0.357533246,6.5976758,False
REP_07885,True,5.751582477892492,0.589696109,7.72037363,a2_geometry_then_cnnscore,False,0.287225187,6.41205072,False
REP_07899,True,2.858469870402694,0.602905929,6.86097097,a2_geometry_then_cnnscore,False,0.432260543,5.39072609,False
REP_07907,True,2.9761972380875505,0.77425468,8.45892715,a2_geometry_then_cnnscore,True,0.673051298,7.35968065,True
REP_07910,False,,,,a2_no_geometry_pass,True,0.818975151,6.91371489,False
REP_07969,True,3.1336406941447428,0.68897748,6.15281057,a2_geometry_then_cnnscore,True,0.697434247,6.77268171,True
REP_07977,True,2.88037653788529,0.436872244,7.00205469,a2_geometry_then_cnnscore,True,0.705627859,6.42184591,True
REP_08002,True,5.269947817578471,0.282194316,7.47546625,a2_geometry_then_cnnscore,False,0.303966701,5.97345161,False
REP_08014,True,7.150813799841244,0.674474418,6.94076681,a2_geometry_then_cnnscore,True,0.519792855,7.13025331,True
REP_08064,False,,,,a2_no_geometry_pass,True,0.959497869,7.11492872,False
REP_08103,True,3.0282582452624376,0.490956753,6.43858194,a2_geometry_then_cnnscore,True,0.755845249,7.10162878,True
REP_08132,True,7.310211830036116,0.612292528,7.58706045,a2_geometry_then_cnnscore,False,0.298008382,6.62412882,False
REP_08137,True,4.9587047704012415,0.5909217,6.52163744,a2_geometry_then_cnnscore,False,0.461462706,6.37455225,False
REP_08143,True,4.368393182853392,0.649606049,6.38205719,a2_geometry_then_cnnscore,True,0.77643311,6.5784049,True
REP_08161,True,7.664433573330774,0.854465604,6.96281433,a2_geometry_then_cnnscore,True,0.833936334,6.8559494,True
REP_08210,True,3.1765190067115903,0.845389128,7.5578475,a2_geometry_then_cnnscore,True,0.815809846,7.53336573,True
REP_08222,True,3.5991478158030707,0.366640359,6.71330643,a2_geometry_then_cnnscore,False,0.321309894,6.43205118,False
REP_08266,True,4.7007779143456645,0.477050632,7.54488182,a2_geometry_then_cnnscore,True,0.649643123,7.30954885,True
